timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5058.89,10,262144,64,23974,1579968244,111,1,585,395167,8,3084,67,124484256,1172,1,66,3969,1339478,2,610723,585,4346115,23146185,513689725,585,1500,2,1,2,2,719,1,511353244,465128219,37106764,35555761,35572145,2,1,1564453484,73389,73389,2,2,2,35555761,7,3,150038,19102050,988987,22509,3903,511353244,372658,3356537,10293
10069.66,10,262144,64,30530,2011745876,112,1,585,484152,8,4928,67,124484256,1172,1,66,4932,1470240,2,610723,585,6279906,27905806,640491367,585,1500,2,1,2,2,719,1,637575580,591352553,71511632,45377081,45377081,2,1,1996591564,73389,73389,2,2,2,45377081,7,3,159253,21638322,1096301,26887,4866,637575580,457265,5183937,10293
15079.55,10,262144,64,42458,2797706516,114,1,585,633129,8,8289,67,124749708,1172,1,66,6683,1531115,2,610723,585,10185275,33204457,870976000,585,1500,2,1,2,2,719,1,867082652,821103130,130526479,63225673,63242057,2,1,2781929612,73389,73389,2,2,2,63225673,7,3,172149,23976969,1276824,33900,6617,867082652,599229,8909347,10293
20085.67,10,262144,64,88213,5812776286,122,1,585,1015358,8,21207,67,126076968,1172,1,66,13405,1545871,2,610723,585,20474909,35236664,1755380972,585,1500,2,1,2,2,719,1,1748148636,1702493951,186307962,131757159,131773543,2,1,5797314996,73389,73389,2,2,2,131757159,7,3,212446,25085705,1554101,43351,13339,1748148636,972007,18922116,10293
25102.02,10,262144,64,121172,7984698518,128,1,585,1309892,8,30527,67,127102578,1172,1,66,18247,1578067,2,610723,585,28566051,37076291,2392507080,585,1500,2,1,2,2,719,1,2382799260,2337367907,218275870,181131492,181131492,2,1,7969785648,73389,73389,2,2,2,181131492,7,3,222761,26401809,1731657,51787,18182,2382799260,1258105,26835081,10293
30119.59,10,262144,64,129837,8555753382,129,1,585,1427218,8,32943,67,127368030,1172,1,66,19521,1684053,2,610723,585,30861819,41510988,2560362154,585,1500,2,1,2,2,719,1,2549916060,2504321991,262940110,194098096,194114480,2,1,8540316224,73389,73389,2,2,2,194098096,7,3,227668,28880393,1844349,57381,19456,2549916060,1369837,29018873,10293
35132.99,10,262144,64,140385,9250743438,131,1,585,1562769,8,35928,67,127621416,1172,1,66,21070,1792637,2,610723,585,34250260,46306375,2764140410,585,1500,2,1,2,2,719,1,2752815516,2707493322,338690368,209886622,209903006,2,1,9235011368,73389,73389,2,2,2,209886622,7,3,240957,31116671,2027749,63650,21004,2752815516,1499119,32223767,10293
40138.21,10,262144,64,187677,12367060878,139,1,585,1951511,8,49232,67,128948676,1172,1,66,28018,1795899,2,610723,585,44498297,47346772,3678274167,585,1500,2,1,2,2,719,1,3663503772,3618427920,434084422,280715742,280732126,2,1,12351492648,73389,73389,2,2,2,280715742,7,3,286086,32088021,2285903,75240,27952,3663503772,1876271,42213235,10293
45162.20,10,262144,64,225717,14873322918,145,1,585,2277455,8,59967,67,129745032,1172,1,66,33606,1827208,2,610723,585,53139423,48804638,4413512995,585,1500,2,1,2,2,719,1,4395934108,4351143166,474472638,337681456,337681456,2,1,14857263168,73389,73389,2,2,2,337665072,7,3,302337,33376960,2473457,84299,33540,4395934108,2193156,50666473,10293
50185.25,10,262144,64,237533,15652015922,147,2,585,2422719,8,63300,67,130010484,1172,1,66,35343,1894810,2,610723,585,57509366,53918241,4642159343,585,1500,2,1,2,2,719,1,4623606172,4578835491,549578211,355374400,355374400,2,1,15636473600,73389,73389,2,2,2,355374400,7,3,317967,35608602,2669418,90685,35277,4623606172,2332034,54840652,10293
