timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5067.26,3,262144,64,25778,1698726092,112,585,1982615,4,3630,46,67,164983,124484256,1172,1,66,4235,993678,2,356907,585,4990509,19272382,548673626,585,1188,2,1,2,2,613,1,546218396,499837775,37599075,38262995,38262995,2,1,1683571780,73389,73389,2,2,2,38262995,8,3,216480,17992621,1273443,17018,4169,546218396,1965597,3720218,7300
10077.90,3,262144,64,31868,2099963948,113,585,2065410,4,5346,46,67,164983,124749708,1172,1,66,5129,1094056,2,356907,585,7386637,24305163,666389191,585,1188,2,1,2,2,613,1,663396764,617155446,81294857,47371611,47387995,2,1,2084350884,73389,73389,2,2,2,47371611,8,3,228180,20502687,1373450,21962,5063,663396764,2043448,6016513,7300
15100.48,3,262144,64,37783,2489733004,114,585,2144627,4,7014,46,67,164983,124749708,1172,1,66,5995,1245800,2,356907,585,9225429,29182290,780554432,585,1188,2,1,2,2,613,1,777036188,731097924,113834355,56226275,56242659,2,1,2473956100,73389,73389,2,2,2,56226275,8,3,235447,23365053,1471414,25837,5930,777036188,2118790,7757222,7300
20123.23,3,262144,64,44053,2903032792,115,585,2231285,4,8780,46,67,164983,125015160,1172,1,66,6918,1401327,2,356907,585,10943474,33749599,901956576,585,1188,2,1,2,2,613,1,897884572,851905674,133091833,65635836,65635836,2,1,2887976784,73389,73389,2,2,2,65635836,8,3,239761,26094464,1548701,29640,6852,897884572,2201645,9398159,7300
25128.92,3,262144,64,62161,4096141594,118,585,2401667,4,13873,46,67,164983,125546064,1172,1,66,9576,1477862,2,356907,585,16106560,37964565,1251737676,585,1188,2,1,2,2,613,1,1246273948,1200761672,237077409,92748692,92748692,2,1,4080942448,73389,73389,2,2,2,92748692,8,3,268760,28033460,1731236,35712,9510,1246273948,2365955,14378870,7300
30135.14,3,262144,64,108970,7180515562,126,585,2772442,4,27037,46,67,164983,126837126,1172,1,66,16456,1479796,2,356907,585,27574130,38218604,2156926658,585,1188,2,1,2,2,613,1,2148049308,2102336899,268704593,162834499,162850883,2,1,7164717956,73389,73389,2,2,2,162834499,8,3,297774,28858575,1974104,46446,16390,2148049308,2725996,25603508,7300
35140.50,3,262144,64,155366,10237847294,133,585,3143914,4,40091,46,67,164983,127886868,1172,1,66,23274,1481750,2,356907,585,37759843,38362676,3053944240,585,1188,2,1,2,2,613,1,3041698204,2996073798,294549525,232322290,232338674,2,1,10222180760,73389,73389,2,2,2,232322290,8,3,329330,29675755,2206263,57066,23208,3041698204,3086848,35557556,7300
40146.65,3,262144,64,201957,13307958546,141,585,3507964,4,53232,46,67,164983,129214128,1172,1,66,30116,1484846,2,356907,585,48920981,38780857,3954121671,585,1188,2,1,2,2,613,1,3938492828,3893525386,369937204,302088609,302104993,2,1,13291898796,73389,73389,2,2,2,302088609,8,3,349387,30510834,2422702,67297,30050,3938492828,3440667,46502311,7300
45151.94,3,262144,64,254118,16744770426,150,585,3922878,4,67947,46,67,164983,130541388,1172,1,66,37780,1486354,2,356907,585,60043656,38857681,4962441499,585,1188,2,1,2,2,613,1,4943028636,4898192621,398927312,380206006,380222390,2,1,16729064264,73389,73389,2,2,2,380206006,8,3,386978,31367695,2651759,77828,37714,4943028636,3845050,57395757,7300
50156.61,3,262144,64,307680,20274122202,159,585,4339608,4,83091,46,67,164983,131868648,1172,1,66,45650,1487270,2,356907,585,71664345,38920665,5997737943,585,1188,2,1,2,2,613,1,5974434204,5929987967,432658163,460422270,460438654,2,1,20258579880,73389,73389,2,2,2,460422270,8,3,412531,32197510,2861156,87977,45584,5974434204,4251631,68806743,7300
55160.61,3,262144,64,365040,24053706966,168,585,4791029,4,99228,46,67,164983,133195908,1172,1,66,54072,1488021,2,356907,585,81813100,38929501,7105914948,585,1188,2,1,2,2,613,1,7078453660,7034778251,454679736,546337563,546337563,2,1,24038131876,73389,73389,2,2,2,546321179,8,3,431918,33066525,3043332,97941,54006,7078453660,4693088,78773675,7300
