timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5026.52,5,262144,64,30287,1995820628,112,2,585,469014,14,4862,67,7258,124484256,1172,1,66,4896,989420,2,247565,585,5981342,14652210,635632291,585,1162,2,1,2,2,723,1,632856988,586681214,40103810,45016633,45016633,2,1,1980731852,73389,73389,2,2,2,45016633,50,1,3,242387,11110681,1293438,28301,4830,632856988,440713,4687844,7778
10031.34,5,262144,64,66791,4401165986,118,2,585,790846,14,15132,67,7258,125546064,1172,1,66,10258,1001419,2,247565,585,13902045,16895015,1341137136,585,1162,2,1,2,2,723,1,1335665052,1289898946,71453699,99682554,99682554,2,1,4386032376,73389,73389,2,2,2,99682554,50,1,3,285080,12364277,1582020,36938,10192,1335665052,753908,12319998,7778
15036.18,5,262144,64,119603,7881341630,127,2,585,1219175,14,29988,67,7258,127102578,1172,1,66,18020,1001978,2,247565,585,24675379,16982267,2362217572,585,1162,2,1,2,2,723,1,2352914844,2307204667,98205235,178768322,178784706,2,1,7865806168,73389,73389,2,2,2,178768322,50,1,3,318192,13174078,1776120,46137,17954,2352914844,1173038,22899481,7778
20041.01,5,262144,64,175796,11583914978,137,2,585,1672745,14,45863,67,7258,128417772,1172,1,66,26273,1002407,2,247565,585,35111493,16984719,3448204091,585,1162,2,1,2,2,723,1,3434783132,3389528864,127429542,262926653,262926653,2,1,11568051836,73389,73389,2,2,2,262910269,50,1,3,344377,14039182,1951032,55590,26207,3434783132,1617155,33160670,7778
25046.68,5,262144,64,235920,15545775450,147,2,585,2139545,14,62850,67,7258,130010484,1172,1,66,35103,1002617,2,247565,585,45346479,16994061,4609967287,585,1162,2,1,2,2,723,1,4592148892,4547726593,169848510,352953886,352970270,2,1,15529970984,73389,73389,2,2,2,352953886,50,1,3,380178,14927633,2172640,65521,35037,4592148892,2074024,43173793,7778
30051.89,5,262144,64,301441,19862854030,158,2,585,2665589,14,81282,67,7258,131603196,1172,1,66,44730,1002992,2,247565,585,55506658,16994704,5876641719,585,1162,2,1,2,2,723,1,5853979036,5809773898,190594137,451078245,451094629,2,1,19847442780,73389,73389,2,2,2,451078245,50,1,3,392835,15917193,2383158,76040,44664,5853979036,2589549,53124497,7778
35062.13,5,262144,64,352998,23260275222,166,2,585,3095766,14,95833,67,7258,132930456,1172,1,66,52306,1022044,2,247565,585,64390377,18193994,6873459334,585,1162,2,1,2,2,723,1,6846980508,6802846608,257300999,528292363,528308747,2,1,23244863972,73389,73389,2,2,2,528292363,50,1,3,420204,17130610,2643173,86477,52240,6846980508,3009289,61747100,7778
40080.19,5,262144,64,364414,24012415978,168,2,585,3248553,14,99059,67,7258,133195908,1172,1,66,53981,1128566,2,247565,585,68147672,22467964,7093939401,585,1162,2,1,2,2,723,1,7066526108,7022732492,345545305,545397642,545397642,2,1,23997496248,73389,73389,2,2,2,545397642,50,1,3,425504,19327861,2802665,93574,53915,7066526108,3154979,65345824,7778
45094.95,5,262144,64,371674,24490873924,170,2,585,3351695,14,101148,67,7258,133461360,1172,1,66,55048,1234066,2,247565,585,70536095,26914024,7234424868,585,1162,2,1,2,2,723,1,7206379932,7162622024,420418811,556255028,556271412,2,1,24475221232,73389,73389,2,2,2,556255028,50,1,3,434475,21662584,2934548,98287,54982,7206379932,3253408,67602329,7778
50106.38,5,262144,64,380233,25054981972,171,2,585,3469506,14,103536,67,7258,133726812,1172,1,66,56304,1405487,2,247565,585,73082206,31300052,7399783130,585,1162,2,1,2,2,723,1,7371006364,7327498936,488008958,569090560,569090560,2,1,25039984640,73389,73389,2,2,2,569090560,50,1,3,441155,23986755,3066569,103806,56239,7371006364,3365700,70016509,7778
