timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5034.83,10,262144,64,22829,1504398620,111,585,379459,8,2772,57,124484256,1172,1,56,3791,3786200,2,987504,585,4305785,24091550,491600475,585,1658,2,1,2,2,637,1,489333148,443014741,39014481,33839759,33856143,2,1,1488949396,73389,73389,2,2,2,33839759,14,1,3,146963,24321872,1028253,14855,3735,489333148,364604,3276907,9298
10054.37,10,262144,64,27328,1800837796,112,585,444021,8,4053,57,124484256,1172,1,56,4453,3964456,2,987504,585,5619090,29108366,578782214,585,1658,2,1,2,2,637,1,576102812,529714976,69476579,40568821,40585205,2,1,1785028124,73389,73389,2,2,2,40568821,14,1,3,149442,27437332,1103692,17929,4397,576102812,426092,4514250,9298
15084.92,10,262144,64,33552,2211122928,113,585,529510,8,5805,57,124749708,1172,1,56,5368,4100841,2,987504,585,7796158,33917320,699265226,585,1658,2,1,2,2,637,1,696033692,649652972,103497867,49896462,49912846,2,1,2195444328,73389,73389,2,2,2,49896462,14,1,3,155529,30002568,1202998,21893,5312,696033692,507617,6592490,9298
20097.87,10,262144,64,43610,2873734892,115,585,654244,8,8657,57,125015160,1172,1,56,6842,4179015,2,987504,585,11420560,39031076,893302364,585,1658,2,1,2,2,637,1,889233820,843345336,190443545,64958059,64974443,2,1,2858154596,73389,73389,2,2,2,64958059,14,1,3,165029,32328433,1359430,27421,6786,889233820,626823,10060874,9298
25102.82,10,262144,64,78674,5184177506,120,585,958253,8,18441,57,125811516,1172,1,56,11994,4208147,2,987504,585,19535553,41065177,1571174372,585,1658,2,1,2,2,637,1,1564516764,1518781512,224791673,117465610,117481994,2,1,5168486840,73389,73389,2,2,2,117465610,14,1,3,186233,33598565,1563246,35758,11938,1564516764,922495,17971505,9298
30121.20,10,262144,64,119932,7903168426,127,585,1305767,8,30132,57,127102578,1172,1,56,18056,4229668,2,987504,585,27888689,41899391,2368774919,585,1658,2,1,2,2,637,1,2359206300,2313563604,253256271,179265875,179282259,2,1,7887698500,73389,73389,2,2,2,179265875,14,1,3,201306,34700167,1723922,45355,18001,2359206300,1260412,26164853,9298
35130.07,10,262144,64,130503,8599665810,129,585,1444358,8,33125,57,127368030,1172,1,56,19610,4380644,2,987504,585,31220110,46317826,2573339146,585,1658,2,1,2,2,637,1,2562761116,2517204833,348601245,195103553,195103553,2,1,8584556332,73389,73389,2,2,2,195103553,14,1,3,209612,36994259,1885472,52470,19554,2562761116,1391888,29334725,9298
40138.93,10,262144,64,139286,9178188470,131,585,1562238,8,35630,57,127621416,1172,1,56,20900,4479288,2,987504,585,35179136,51368722,2743169322,585,1658,2,1,2,2,637,1,2731843996,2686285992,453332355,208252540,208252540,2,1,9163111760,73389,73389,2,2,2,208252540,14,1,3,221366,39330594,2060700,58836,20844,2731843996,1503402,33118784,9298
45144.18,10,262144,64,177974,11727448742,137,585,1892713,8,46497,57,128417772,1172,1,56,26583,4503280,2,987504,585,43763148,53223551,3490899030,585,1658,2,1,2,2,637,1,3476726172,3431500313,492668444,266172400,266188784,2,1,11711585600,73389,73389,2,2,2,266172400,14,1,3,246166,40546374,2271510,67666,26527,3476726172,1825047,41492059,9298
50161.20,10,262144,64,220651,14539459378,144,585,2232508,8,58533,57,129479580,1172,1,56,32852,4511025,2,987504,585,52820683,53940955,4315846906,585,1658,2,1,2,2,637,1,4298547612,4253505868,528513047,330086201,330102585,2,1,14523792844,73389,73389,2,2,2,330086201,14,1,3,259443,41480753,2414706,76377,32797,4298547612,2156131,50407178,9298
55178.27,10,262144,64,233241,15369335754,146,585,2382193,8,62076,57,130010484,1172,1,56,34703,4577632,2,987504,585,56818155,58382375,4559491244,585,1658,2,1,2,2,637,1,4541161884,4496115398,651307268,348946283,348962667,2,1,15353636452,73389,73389,2,2,2,348946283,14,1,3,268607,43637008,2573160,83103,34648,4541161884,2299090,54246158,9298
