timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5060.92,7,262144,64,25315,1668117472,112,585,1475015,4,3500,58,67,2,195404,124484256,1172,1,66,4165,1589387,2,268942,585,4829486,20847054,539486249,585,1056,2,1,2,2,592,1,537043356,490884373,40456250,37568834,37568834,2,1,1653028696,73389,73389,2,2,2,37568834,11,1,3,211948,18257267,1194515,14588,4099,537043356,1460427,3634578,7422
10080.78,7,262144,64,30730,2024853076,112,585,1549418,4,4983,58,67,2,195404,124484256,1172,1,66,4961,1787949,2,268942,585,6631143,26151971,644437739,585,1056,2,1,2,2,592,1,641507740,595187737,60215935,45671993,45688377,2,1,2009567692,73389,73389,2,2,2,45671993,11,1,3,219444,21132039,1291756,18190,4896,641507740,1531228,5338512,7422
15103.07,7,262144,64,36730,2420458144,113,585,1636426,4,6672,58,67,2,195404,124749708,1172,1,66,5844,2078075,2,268942,585,8437971,30859441,760445756,585,1056,2,1,2,2,592,1,756982172,710834715,99354342,54655570,54671954,2,1,2404845080,73389,73389,2,2,2,54655570,11,1,3,227273,24114848,1378252,26859,5778,756982172,1609567,7058666,7422
20132.23,7,262144,64,43467,2864363244,115,585,1727636,4,8619,58,67,2,195404,125015160,1172,1,66,6832,2235570,2,268942,585,10888506,36460914,890665936,585,1056,2,1,2,2,592,1,886612380,840628964,167255235,64745067,64761451,2,1,2848782948,73389,73389,2,2,2,64745067,11,1,3,244925,26663498,1524027,31030,6766,886612380,1696606,9363923,7422
25156.17,7,262144,64,49570,3266453068,116,585,1806256,4,10338,58,67,2,195404,125280612,1172,1,66,7729,2383666,2,268942,585,12422726,41298054,1008777319,585,1056,2,1,2,2,592,1,1004183964,958235976,208781909,73878259,73894643,2,1,3250643396,73389,73389,2,2,2,73878259,11,1,3,249632,29203134,1610815,34734,7663,1004183964,1771522,10810338,7422
30177.46,7,262144,64,55519,3658462414,117,585,1886113,4,12018,58,67,2,195404,125280612,1172,1,66,8603,2533945,2,268942,585,14882987,46405777,1123861627,585,1056,2,1,2,2,592,1,1118740892,1072787404,263683032,82798459,82814843,2,1,3643132196,73389,73389,2,2,2,82798459,11,1,3,256146,31664338,1721878,38536,8537,1118740892,1847577,13159162,7422
35193.70,7,262144,64,61886,4078119194,118,585,1974032,4,13806,58,67,2,195404,125546064,1172,1,66,9538,2793186,2,268942,585,17307866,51128783,1246975418,585,1056,2,1,2,2,592,1,1241293212,1195469736,319279151,92339092,92339092,2,1,4062920048,73389,73389,2,2,2,92339092,11,1,3,266268,34255931,1845052,43969,9472,1241293212,1930063,15460660,7422
40198.71,7,262144,64,76161,5018689182,120,585,2125274,4,17792,58,67,2,195404,125811516,1172,1,66,11636,2874258,2,268942,585,20731208,55229386,1523084072,585,1056,2,1,2,2,592,1,1516282268,1470441285,355848886,113711959,113711959,2,1,5002605300,73389,73389,2,2,2,113695575,11,1,3,273497,36492947,1972319,56101,11570,1516282268,2069173,18756718,7422
45204.01,7,262144,64,120031,7909656490,127,585,2472232,4,30155,58,67,2,195404,127102578,1172,1,66,18080,2876521,2,268942,585,30782485,55745463,2370773681,585,1056,2,1,2,2,592,1,2360779164,2315452582,436632770,179413331,179429715,2,1,7894186564,73389,73389,2,2,2,179413331,11,1,3,297053,37262762,2183465,66097,18014,2360779164,2406135,28596358,7422
50209.65,7,262144,64,162355,10698267466,135,585,2810625,4,42087,58,67,2,195404,128152320,1172,1,66,24301,2878700,2,268942,585,44027037,55912721,3189264437,585,1056,2,1,2,2,592,1,3176178076,3130658674,467780529,242788619,242805003,2,1,10682699236,73389,73389,2,2,2,242788619,11,1,3,317547,38009697,2415470,75934,24235,3176178076,2734691,41608541,7422
