timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5060.62,4,262144,64,24758,1631613920,111,585,613230,1,3297,3,67,1371,149880,124484256,1172,1,66,4085,629131,2,301252,585,4169809,16617289,528923331,585,926,2,1,2,2,564,1,526557596,480235581,27332475,36725058,36741442,2,1,1615902552,73389,73389,2,2,2,36725058,7,3,115110,13244228,696590,71900,4019,526557596,541330,3471576,6947
10080.45,4,262144,64,32050,2112156952,113,585,709131,1,5394,3,67,1371,149880,124749708,1172,1,66,5156,741327,2,301252,585,6677922,21439766,669936444,585,926,2,1,2,2,564,1,666935708,620758072,65797665,47656172,47656172,2,1,2096871568,73389,73389,2,2,2,47656172,7,3,124274,15738424,826895,76392,5090,666935708,632739,5848820,6947
15122.09,4,262144,64,37792,2490322828,114,585,792429,1,7017,3,67,1371,149880,124749708,1172,1,66,5999,859080,2,301252,585,8540199,26416376,780942872,585,926,2,1,2,2,564,1,777429404,731244308,116152999,56242659,56259043,2,1,2474676996,73389,73389,2,2,2,56242659,7,3,133934,18280253,950651,84461,5933,777429404,707968,7587272,6947
20148.21,4,262144,64,44003,2899490540,115,585,878135,1,8766,3,67,1371,149880,125015160,1172,1,66,6909,1019416,2,301252,585,10837150,31523744,900769497,585,926,2,1,2,2,564,1,896704924,850834553,146967821,65547883,65564267,2,1,2884106852,73389,73389,2,2,2,65547883,7,3,139932,20905019,1056574,88400,6843,896704924,789735,9778541,6947
25178.65,4,262144,64,50872,3352311844,116,585,972212,1,10692,3,67,1371,149880,125280612,1172,1,66,7919,1150838,2,301252,585,13533836,37037033,1033753287,585,926,2,1,2,2,564,1,1029087644,983348886,259607935,75840021,75840021,2,1,3336240028,73389,73389,2,2,2,75823637,7,3,153985,23609338,1218888,94175,7853,1029087644,878037,12312765,6947
30184.42,4,262144,64,72479,4775792918,119,585,1165150,1,16750,3,67,1371,149880,125546064,1172,1,66,11092,1249977,2,301252,585,18312314,40340692,1451304210,585,926,2,1,2,2,564,1,1444979100,1399479506,314497794,108187121,108203505,2,1,4760233324,73389,73389,2,2,2,108187121,7,3,172584,25528510,1398538,104443,11026,1444979100,1060707,16911166,6947
35190.80,4,262144,64,118191,7788273894,127,585,1528304,1,29604,3,67,1371,149880,127102578,1172,1,66,17811,1252214,2,301252,585,30010386,40541604,2335377379,585,926,2,1,2,2,564,1,2325651868,2280008822,372125747,176659104,176675488,2,1,7773000576,73389,73389,2,2,2,176659104,7,3,191581,26335028,1630274,115355,17745,2325651868,1412949,28377425,6947
40196.44,4,262144,64,162712,10721663818,135,585,1887861,1,42185,3,67,1371,149880,128152320,1172,1,66,24352,1254008,2,301252,585,41306070,40694440,3195997966,585,926,2,1,2,2,564,1,3182993820,3137528527,403887606,243329291,243329291,2,1,10705767908,73389,73389,2,2,2,243312907,7,3,209080,27121877,1840941,125933,24286,3182993820,1761928,39462948,6947
45201.93,4,262144,64,209120,13779781982,142,585,2252666,1,55236,3,67,1371,149880,129214128,1172,1,66,31167,1258440,2,301252,585,51611876,41071856,4092696871,585,926,2,1,2,2,564,1,4076249500,4031420509,451840798,312817082,312833466,2,1,13763951608,73389,73389,2,2,2,312817082,7,3,244691,27955295,2078124,136280,31101,4076249500,2116386,49531231,6947
50206.87,4,262144,64,258704,17046911234,151,585,2651617,1,69240,3,67,1371,149880,130541388,1172,1,66,38451,1260066,2,301252,585,61537004,41161975,5051054417,585,926,2,1,2,2,564,1,5030977948,4986499751,483254941,387082524,387082524,2,1,17031631056,73389,73389,2,2,2,387082524,7,3,256292,28777078,2262059,146541,38385,5030977948,2505076,59272735,6947
55211.26,4,262144,64,311308,20513214070,159,585,3076139,1,84081,3,67,1371,149880,131868648,1172,1,66,46183,1260616,2,301252,585,71221075,41172338,6068329212,585,926,2,1,2,2,564,1,6044426652,5999868195,505262978,465859155,465875539,2,1,20497802820,73389,73389,2,2,2,465859155,7,3,280318,29606591,2439942,156718,46117,6044426652,2919421,68777664,6947
60215.38,4,262144,64,364540,24020673514,168,585,3502579,1,99089,3,67,1371,149880,133195908,1172,1,66,53999,1261156,2,301252,585,83077283,41206456,7096536284,585,926,2,1,2,2,564,1,7068754332,7025102614,541496678,545577866,545594250,2,1,24005426104,73389,73389,2,2,2,545577866,7,3,310759,30417870,2652130,166071,53933,7068754332,3336508,80421971,6947
