event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,1269105,1404462,135357,Total time spent analyzing index of patch parts
ArenaAllocBytes,827727872,1035345920,207618048,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,201942,252630,50688,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,7420772,7420772,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,67,67,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,3,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,67,67,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,3655318,4685562,1030244,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,524,566,42,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,27628,27628,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,1378665065,1724954350,346289285,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,90843152888956,113661222551486,22818069662530,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,100690,145047,44357,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,40321155929,69739993966,29418838037,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,1134928,1910763,775835,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,100690,145047,44357,Total number of CPU slots acquired
ConcurrencyControlUpscales,100690,145047,44357,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,31937075931,58407144923,26470068992,Total time a query was waiting on resource requests for CPU slots.
ContextLock,5424194,6771890,1347696,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,478245,511760,33515,Context lock wait time in microseconds
CreatedReadBufferOrdinary,1882676,2355473,472797,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,16522392672,20578216936,4055824264,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,11,11,0,Total time spent waiting for write syscall. This include writes to page cache.
FailedQuery,1,1,0,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,1,1,0,"Same as FailedQuery, but only for SELECT queries."
FairPolicyDequeue,28824410,43587441,14763031,Number of dequeues invoked at all FairPolicyNodes
FileOpen,7911,8987,1076,Number of files opened.
