timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1123961.94,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0
1125966.17,1,0,0,18625,1225917040,0,0,0,1,1,5488,117,0,567,124548,31,1739,16,16,116910020,1136,1,0,15,15,12,14,80,567,0,0,0,1980545,9548,403436247,0,567,438,2,1,14,14,472,1,404127940,361528064,1990833,27555668,27572052,1,2,1,1212449392,73389,73389,14,14,14,27555668,10,1,3,354418,126640,788240,3101,404127940,124548,1192508,1812
1127970.98,1,253952,62,31916,2101746218,30,31262689,53,32,32,5488,119,0,675,199551,31,4802,47,35,140299886,1352,1,0,46,46,104,14,212,675,0,0,0,4484820,14518,667753035,0,675,508,2,1,14,14,472,1,669383472,618221628,38268293,47398790,47415174,1,2,1,2085546760,73389,73389,14,14,14,47398790,10,1,3,473535,203282,1124072,5126,669383472,199551,3361059,2118
1129974.38,1,253952,62,48771,3212460894,30,32745746,87,38,38,5488,122,0,675,288695,31,9545,47,35,140830790,1352,1,0,46,52,104,14,212,675,0,0,0,8205434,356730,992569796,0,675,508,2,1,14,14,472,1,993786672,942916006,44626201,72654221,72654221,1,2,1,3196785724,73389,73389,14,14,14,72654221,10,1,3,484298,294433,1257328,7601,993786672,288695,6948576,2118
1131985.15,1,253952,62,64835,4271071142,34,38761951,121,38,38,5488,124,0,675,395466,31,14040,47,35,141096242,1352,1,0,46,52,104,14,212,675,0,0,0,12243071,1007299,1303104225,0,675,508,2,1,14,14,472,1,1303116592,1252385987,61292637,96715779,96715779,1,2,1,4255494276,73389,73389,14,14,14,96715779,10,1,3,491613,403535,1401518,9961,1303116592,395466,10842189,2118
1133991.87,1,253952,62,80034,5272196394,34,40731154,153,40,40,5488,127,0,675,517763,31,18347,47,35,141361694,1352,1,0,46,54,104,14,212,675,0,0,0,16542055,1822244,1593189480,0,675,508,2,1,14,14,472,1,1594882864,1545016115,69571240,119473094,119473094,1,2,1,5256816136,73389,73389,14,14,14,119473094,10,1,3,510723,528350,1574742,12187,1594882864,517763,14967109,2118
1135996.56,1,253952,62,92839,6116283670,37,45484317,208,40,40,5488,129,0,675,616714,31,21948,47,35,141892598,1352,1,0,46,54,104,14,212,675,0,0,0,20083890,2351760,1841822297,0,675,508,2,1,14,14,472,1,1841953584,1791754952,78724819,138636280,138658697,1,2,1,6099996320,73389,73389,14,14,14,138636280,10,1,3,512812,629305,1704571,14073,1842084656,616739,18380239,2118
1138000.29,1,253952,62,111625,7354224058,38,47087032,212,43,43,5488,132,0,675,690310,31,27239,47,35,142423502,1352,1,0,46,57,104,14,212,675,0,0,0,23487724,2353050,2203340749,0,675,508,2,1,14,14,472,1,2203974448,2153666247,84976660,166777010,166793394,1,2,1,7338188440,73389,73389,14,14,14,166777010,10,1,3,523624,704543,1810430,16834,2203974448,690310,21678376,2118
1140003.86,1,253952,62,134559,8865190242,38,47087032,212,43,43,5488,136,0,675,772641,31,33713,47,35,142688954,1352,1,0,46,57,104,14,212,675,0,0,0,27420327,2353168,2644445168,0,675,508,2,1,14,14,472,1,2645162800,2595374020,90926844,201126832,201126832,1,2,1,8849580608,73389,73389,14,14,14,201126832,10,1,3,525443,788706,1909935,20200,2645162800,772641,25511651,2118
1142007.37,1,253952,62,157682,10388483810,38,47087032,212,43,43,5488,139,0,675,854436,31,40181,47,35,143473244,1352,1,0,46,57,104,14,212,675,0,0,0,31411356,2353241,3089062592,0,675,508,2,1,14,14,472,1,3089337296,3040586897,96947635,235750864,235750864,1,2,1,10373038016,73389,73389,14,14,14,235750864,10,1,3,528858,872477,2012767,23592,3089337296,854436,29400040,2118
