timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1196077.47,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
1198083.52,0,253952,62,18680,1229593916,0,1112885,0,69,6,6,2996,173,0,567,130850,0,14,7305,15,12,97896197,1136,1,0,4,611,23104308,6,92287936,14,20,0,8,312,567,0,0,0,8852709,678,420230583,0,567,363,0,3,1,14,14,1100,3,421020569,389980331,9967104,23449761,23466145,1,3,1,1219387604,73389,73389,14,14,14,23449765,7,3,90667,133790,289765,3546,421020569,130850,8563304,1358
1200088.33,0,253952,62,39672,2613470178,1,2843682,0,185,8,8,2996,290,1,567,316343,0,14,15560,17,12,101021291,1136,1,0,4,611,49314501,6,197193288,16,22,0,8,337,567,0,0,0,21387510,102710,854108616,0,567,363,0,3,1,14,14,1100,3,854130594,825604094,24265340,50066779,50083163,1,3,1,2603472540,73389,73389,14,14,14,50066783,7,3,101221,323444,505458,7095,854130594,316343,20882820,1358
1202102.89,1,253952,62,58660,3863526700,3,6090024,0,275,11,11,2996,433,2,567,466429,0,14,23045,18,12,101974505,1136,1,0,4,611,73005213,6,291891328,17,25,0,8,354,567,0,0,0,31180816,191418,1247816181,0,567,363,0,3,1,14,14,1100,3,1248117466,1219332281,37424481,74096013,74112397,1,3,1,3852140740,73389,73389,14,14,14,74079633,7,3,117547,476935,713107,10407,1248117466,466429,30468855,1358
1204111.23,12,253952,62,80810,5323004066,3,7734529,0,422,12,12,2996,561,2,570,694204,0,14,31766,19,12,105826144,1141,1,0,4,611,100702587,6,402754288,18,26,0,8,367,570,0,0,0,45192380,740562,1709511785,0,570,367,0,3,1,14,14,1100,3,1709091975,1678780742,53573924,102165174,102197942,1,3,1,5312589080,73389,73389,14,14,14,102165178,7,3,126219,709590,1002180,14199,1709091975,694204,44191810,1374
1206123.02,22,253952,62,104031,6853087348,3,10890406,0,568,12,12,2996,720,3,585,933437,0,14,40906,19,12,112502405,1172,1,0,4,611,129641733,6,518437580,18,26,0,8,367,585,0,0,0,59857103,1279463,2198076719,0,585,380,0,3,1,14,14,1100,3,2196912075,2161005829,71969126,131540737,131573505,1,3,1,6840118356,73389,73389,14,14,14,131540741,7,3,144160,954006,1320798,18266,2196912075,933437,58538394,1431
1208130.26,31,253952,62,129679,8543993588,3,12272180,0,739,13,13,2996,888,3,603,1215581,0,14,50980,20,12,120797165,1208,1,0,4,611,161597768,6,646261864,19,27,0,8,388,603,0,0,0,76133247,1744328,2741896579,0,603,406,0,3,1,14,14,1100,3,2741503176,2694952985,90075572,163952929,163969313,1,3,1,8525552340,73389,73389,14,14,14,163952933,7,3,165990,1241957,1695748,22788,2741503176,1215581,74440112,1507
1210137.75,38,253952,62,159628,10517500740,3,14421719,0,919,14,14,2996,1078,6,630,1545151,0,14,62770,21,12,126270862,1262,1,0,4,611,198966576,6,795801780,20,28,0,8,403,630,0,0,0,95624136,2214863,3369352303,0,630,437,0,3,1,14,14,1100,3,3367433639,3316496114,112141409,201902469,201902469,1,3,1,10498188720,73389,73389,14,14,14,201888248,7,3,175468,1578427,2096299,27962,3367433639,1545151,93531067,1621
1212151.41,43,253952,62,190297,12537789018,3,16654074,0,1102,14,14,2996,1275,7,630,1878143,0,14,74828,21,12,126874162,1262,1,0,4,611,237210513,6,948777396,20,28,0,8,403,630,0,0,0,115133462,2591298,4009588513,0,630,437,0,3,1,14,14,1100,3,4006949718,3952907669,134160915,240710454,240759606,1,3,1,12516943640,73389,73389,14,14,14,240710458,7,3,186859,1918259,2449627,33268,4006949718,1878143,112687674,1621
1214159.84,69,253952,62,228699,15067376912,3,19614806,0,1303,17,17,2996,1524,7,639,2302222,0,14,89950,24,12,128629031,1280,1,0,4,611,285155299,6,1140491812,23,31,0,8,486,639,0,0,0,139247633,3027040,4816865716,0,639,444,0,3,1,14,14,1100,3,4813783081,4749961406,161631655,289339759,289356143,1,3,1,15044815532,73389,73389,14,14,14,289323379,7,3,209717,2350972,2983554,39967,4813783081,2302222,136268685,1673
