timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
688616.02,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
690620.55,1,0,0,17392,1144580248,0,0,0,1,1,5429,117,531,123607,16,1625,7,0,109294388,1064,1,6,15,0,5,4365,531,1985181,11329,376959340,531,352,2,1,14,14,437,1,377127108,337492900,1996675,25741362,25757746,1,2,1,1132619928,73389,73389,14,14,14,25741362,9,3,331655,125750,818731,2895,377127108,123607,1166546,1680
692628.34,1,253952,62,32996,2173056002,24,25378282,47,28,28,5429,119,675,252008,16,5078,34,33,140299886,1352,1,33,42,7,5,4766,675,5757027,658037,687954811,675,438,2,1,14,14,437,1,689961776,639048301,36068107,49032872,49032872,1,2,1,2157446368,73389,73389,14,14,14,49032872,9,3,491205,256512,1289306,5283,689961776,252008,4467938,2057
694634.79,1,253952,62,46236,3045530778,25,27600407,94,29,29,5429,121,675,373299,16,8797,34,33,140565338,1352,1,33,43,7,5,4766,675,9792307,1244992,943942114,675,438,2,1,14,14,437,1,945158960,894138478,43040523,68859610,68859610,1,2,1,3029101944,73389,73389,14,14,14,68843226,9,3,492646,383278,1426149,7230,945158960,373299,8366518,2057
696638.93,1,253952,62,57324,3775910274,27,31758575,138,29,29,5429,123,675,454172,16,11931,34,33,140830790,1352,1,33,43,7,5,4766,675,12858785,1475322,1158220346,675,438,2,1,14,14,437,1,1158413104,1107605750,50720047,85450952,85467336,1,2,1,3759841888,73389,73389,14,14,14,85450952,9,3,497196,465958,1540155,8857,1158413104,454172,11319096,2057
698648.83,1,253952,62,68361,4503478338,27,33360187,161,30,30,5429,125,675,535179,16,15053,34,33,141361694,1352,1,33,44,7,5,4766,675,15817125,1646008,1368957702,675,438,2,1,14,14,437,1,1370618672,1320355829,55520276,101980632,101997016,1,2,1,4487147808,73389,73389,14,14,14,101980632,9,3,504404,548830,1653218,10476,1370618672,535179,14164483,2057
700654.21,1,253952,62,80805,5323002168,28,35518625,220,31,31,5429,127,675,642201,16,18573,34,33,141361694,1352,1,33,45,7,5,4766,675,19479256,2051984,1608944369,675,438,2,1,14,14,437,1,1610218288,1559869302,61922106,120626007,120626007,1,2,1,5307544308,73389,73389,14,14,14,120626007,9,3,512257,658094,1772263,12304,1610218288,642201,17707694,2057
702666.01,1,253952,62,90623,5970138878,29,38297882,237,31,31,5429,128,675,696172,16,21290,34,33,141627146,1352,1,33,45,7,5,4766,675,21726533,2052221,1799349297,675,438,2,1,14,14,437,1,1799224112,1749031698,66953349,135333189,135333189,1,2,1,5954660316,73389,73389,14,14,14,135333189,9,3,517124,713464,1847324,13746,1799224112,696172,19879992,2057
704672.83,1,253952,62,104678,6896290946,29,40722775,275,33,33,5429,131,675,822180,16,25289,34,33,142158050,1352,1,33,47,7,5,4766,675,25717656,2777372,2069890972,675,438,2,1,14,14,437,1,2069887792,2019879509,72963678,156370184,156386568,1,2,1,6880288096,73389,73389,14,14,14,156370184,9,3,523532,842025,1996285,15811,2069887792,822180,23722291,2057
706677.50,1,253952,62,117262,7725508654,32,45659809,327,35,35,5429,133,675,921682,16,28829,34,33,142423502,1352,1,33,49,7,5,4766,675,29114724,3279804,2311578029,675,438,2,1,14,14,437,1,2311977776,2262208553,83673604,175224233,175224233,1,2,1,7709866252,73389,73389,14,14,14,175224233,9,3,533465,944349,2110436,17658,2311977776,921682,27005331,2057
