timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
205874.07,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,2097278,2,1,1081,0,0,0,0,0,0,0,0,0,0,0,0,1081,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
207884.54,1,253952,62,15985,1052383162,2,2843515,0,120,7,7,1495,156,0,558,141569,0,50,6257,16,1396,97991067,1118,1,1081,0,4,10820,19756169,8,79024676,15,21,49,8,4116,558,1081,6,0,0,8781071,349857,360021137,0,558,520,0,3,1,14,14,11469,3,360217633,334162335,11942261,20038015,20054399,1,3,1,1041976812,73389,73389,14,14,14,20038019,10,3,94299,144657,386082,3041,360217633,141569,8395305,1913
209896.41,1,253952,62,33779,2225384234,2,4405538,0,221,8,8,1495,255,0,558,299343,0,50,13254,16,1396,100778313,1118,1,1081,0,4,10820,42000276,8,167936360,15,22,49,8,4116,558,1081,6,0,0,18623755,532252,732502818,0,558,520,0,3,1,14,14,11469,3,731955483,703416791,23439474,42616821,42616821,1,3,1,2216074724,73389,73389,14,14,14,42616825,10,3,98779,306050,553063,6089,731955483,299343,18071358,1913
211904.41,2,253952,62,50671,3337124086,2,6179494,0,330,8,8,1495,382,0,558,449257,0,50,19918,16,1396,102648543,1118,1,1081,0,4,10820,63080536,8,252322144,15,22,49,8,4116,558,1081,6,0,0,28368284,827074,1083375258,0,558,520,0,3,1,14,14,11469,3,1082360543,1053533128,35301154,63981940,63998324,1,3,1,3327060912,73389,73389,14,14,14,63981944,10,3,106107,459408,745887,9035,1082360543,449257,27623397,1913
213919.33,5,253952,62,65671,4325823040,3,8506971,0,430,8,8,1495,484,0,567,579680,0,50,25834,16,1396,106367983,1136,1,1081,0,4,10820,81803035,8,327212140,15,22,49,8,4116,567,1081,6,0,0,36848090,1046857,1395074413,0,567,528,0,3,1,14,14,11469,3,1394152276,1364796455,46320345,83005862,83005862,1,3,1,4316304856,73389,73389,14,14,14,83005866,10,3,121065,592869,956666,11626,1394152276,579680,35892738,1947
215924.37,5,253952,62,80091,5275533768,3,10180504,0,494,8,8,1495,557,0,567,704037,0,50,31461,16,1396,109155229,1136,1,1081,0,4,10820,99782154,8,399128616,15,22,49,8,4116,567,1081,6,0,0,44715434,1149459,1691951406,0,567,528,0,3,1,14,14,11469,3,1690353937,1663653917,55950981,101274405,101274405,1,3,1,5266269092,73389,73389,14,14,14,101274409,10,3,130575,720021,1113491,14049,1690353937,704037,43603549,1947
217929.19,8,253952,62,91323,6015084996,5,13709187,0,532,8,8,1495,646,1,567,764952,0,50,35887,16,1396,110410093,1136,1,1081,0,4,10820,113779397,8,455053008,15,22,49,8,4116,567,1081,6,0,0,49201314,1149577,1933117926,0,567,528,0,3,1,14,14,11469,3,1932138242,1896716815,63963654,115471968,115488352,1,3,1,6004542368,73389,73389,14,14,14,115471972,10,3,139063,782552,1200444,16093,1932138242,764952,48002641,1947
219935.40,10,253952,62,110564,7283628554,5,14778326,0,627,15,15,1495,756,1,576,918403,0,50,43471,20,1396,114719313,1154,1,1081,0,4,10820,137805292,8,551092104,19,29,49,8,4211,576,1081,6,0,0,59669668,1284548,2330446789,0,576,537,0,3,1,14,14,11469,3,2330704233,2296161812,75616809,139824120,139889656,1,3,1,7270002304,73389,73389,14,14,14,139807740,10,3,153948,939697,1398046,19373,2330704233,918403,58273781,1984
221948.01,12,253952,62,139238,9173824076,6,17877316,0,796,16,16,1495,949,1,585,1169644,0,50,54763,21,1396,118356478,1172,1,1081,0,4,10820,173633981,8,694148468,20,30,49,8,4227,585,1081,6,0,0,76678303,1605754,2931026280,0,585,548,0,3,1,14,14,11469,3,2930032262,2891999473,95992983,176178379,176178379,1,3,1,9161275740,73389,73389,14,14,14,176178383,10,3,168124,1196962,1680510,24359,2930032262,1169644,75000533,2013
223952.50,14,253952,62,163728,10786607418,7,20669712,0,930,16,16,1495,1102,1,594,1374622,0,50,64377,21,1396,119855639,1190,1,1081,0,4,10820,204134019,8,816471532,20,30,49,8,4227,594,1081,6,0,0,90729321,1847913,3439617955,0,594,563,0,3,1,14,14,11469,3,3438001516,3399901402,113000265,207163892,207196660,1,3,1,10772522416,73389,73389,14,14,14,207163896,10,3,178556,1406853,1928941,28565,3438001516,1374622,88803631,2042
