timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
87218.02,7,253952,62,24138,1588857984,4,5757855,150,12,12,1369,204,1,567,233638,2,25,9434,17,100721095,1136,1,4,3117,29861175,8,119315224,16,26,4,6405,567,13897976,499526,535947899,565,613,2,3,1,14,14,3742,3,536524461,503017107,20133369,30353014,30385782,1,3,1,1578356760,73389,73389,14,14,14,30353018,12,3,96764,238424,483397,4499,536524461,233638,13415060,2002
89228.20,8,253952,62,47333,3117122120,4,7953883,285,12,12,1369,371,1,576,438822,2,25,18593,17,105299408,1154,1,4,3117,58809166,8,235172076,16,26,4,6405,576,26860348,844433,1015242644,574,626,2,3,1,14,14,3742,3,1015214452,984201404,35393365,59747120,59763504,1,3,1,3106850272,73389,73389,14,14,14,59747124,12,3,106495,447992,741608,8502,1015214452,438822,26119688,2032
91233.51,9,253952,62,63646,4191266542,8,13485767,344,14,14,1369,449,1,576,529918,2,25,24982,17,106554272,1154,1,4,3117,79191857,8,316573576,16,28,4,6405,576,33496778,847257,1353300577,574,626,2,3,1,14,14,3742,3,1352628304,1322196249,47790868,80421952,80421952,1,3,1,4181941536,73389,73389,14,14,14,80421956,12,3,116381,541394,859542,11253,1352628304,529918,32638437,2032
93243.00,16,253952,62,91348,6017387026,8,15082929,478,17,17,1369,638,1,576,766883,2,25,35907,17,111585794,1154,1,4,3117,113802780,8,455017584,16,31,4,6405,576,48890250,1281789,1928958579,574,626,2,3,1,14,14,3742,3,1928516594,1897249004,65199187,115508610,115541378,1,3,1,6006447752,73389,73389,14,14,14,115508614,12,3,134632,784505,1177993,16045,1928516594,766883,47714017,2032
95249.70,21,253952,62,122247,8053339818,8,18074034,638,19,19,1369,833,9,576,1041485,2,25,48077,17,115603772,1154,1,4,3117,152431266,8,609531276,16,33,4,6405,576,66593629,1589231,2567840148,574,626,2,3,1,14,14,3742,3,2566677085,2538379298,86214866,154672725,154689109,1,3,1,8042129764,73389,73389,14,14,14,154656345,12,3,150544,1065461,1530666,21327,2566677085,1041485,65065358,2032
97254.86,22,253952,62,152933,10074519570,8,19711226,788,19,19,1369,1035,9,594,1312789,2,25,60093,17,120169821,1190,1,4,3117,190572277,8,762160044,16,33,4,6405,594,83272790,1860842,3210828242,592,644,2,3,1,14,14,3742,3,3210091322,3175237309,104750317,193519511,193519511,1,3,1,10063014604,73389,73389,14,14,14,193519515,12,3,161145,1342907,1850485,26681,3210091322,1312789,81425309,2089
99265.22,22,253952,62,176096,11600198464,14,27476363,876,25,25,1369,1186,9,603,1467503,2,25,69267,17,121669067,1208,1,4,3117,219586275,8,878280544,16,39,4,6405,603,93843432,1952591,3703935649,601,656,2,3,1,14,14,3742,3,3703748544,3656771222,123214463,222766161,222798929,1,3,1,11583840404,73389,73389,14,14,14,222766165,12,3,190924,1501358,2064161,30793,3703748544,1467503,91782674,2121
101274.54,31,253952,62,210429,13864676888,14,30124459,1069,27,27,1369,1407,10,621,1781811,2,25,82778,19,124977936,1244,1,4,3117,262431714,8,1049533164,18,41,4,7272,621,113099445,2358552,4432467283,619,668,2,3,1,14,14,3742,3,4430143238,4370692672,145484327,266256479,266256479,1,3,1,13845336940,73389,73389,14,14,14,266256483,12,3,206450,1822534,2447483,36806,4430143238,1781811,110656054,2190
103286.29,36,253952,62,249342,16427826074,14,32830648,1273,28,28,1369,1654,11,621,2136601,2,25,98041,20,124990002,1244,1,4,3117,310836674,8,1243282184,19,42,4,7282,621,135682475,2977915,5255316658,619,668,2,3,1,14,14,3742,3,5252527110,5178846718,171424145,315451032,315467416,1,3,1,16402601728,73389,73389,14,14,14,315434652,12,3,234750,2185376,2897514,43619,5252527110,2136601,132789852,2190
105295.75,39,253952,62,278156,18324361126,18,39919356,1444,28,28,1369,1839,12,621,2395717,2,25,109373,20,125291652,1244,1,4,3117,346852979,8,1387024008,19,42,4,7282,621,152019642,3489649,5867637766,619,668,2,3,1,14,14,3742,3,5863047251,5777057916,194908751,351865682,351865682,1,3,1,18297015496,73389,73389,14,14,14,351865686,12,3,247827,2450281,3233085,48676,5863047251,2395717,148792034,2190
