timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
253644.52,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
255649.72,2,0,0,19371,1275072348,0,0,0,0,1,1,6404,117,585,125927,13,1808,7,0,120717836,1172,1,0,6,15,5,2153,585,0,0,0,1979593,10207,417983646,0,585,324,2,1,14,14,429,1,419987652,376015168,1990522,28659429,28675813,1,2,1,1261014876,73389,73389,14,14,14,28659429,10,3,366873,127986,852983,3222,419987652,125927,1126695,1679
257659.87,2,253952,62,35473,2336185030,32,33313483,0,58,36,36,6404,120,675,241098,13,5769,42,24,140299886,1352,1,0,41,50,5,3142,675,0,0,0,5930688,1005649,735540323,0,675,363,2,1,14,14,429,1,737803056,686781229,46371829,52737371,52737371,1,2,1,2320444324,73389,73389,14,14,14,52737371,10,3,503770,245506,1260507,5648,737803056,241098,4670392,1911
259670.40,2,253952,62,49307,3247853642,33,37926404,0,104,38,38,6404,122,675,360576,13,9696,42,24,140830790,1352,1,0,41,52,5,3142,675,0,0,0,9971182,2161168,998864880,0,675,363,2,1,14,14,429,1,1003879216,953237430,57169551,73446686,73463070,1,2,1,3231654184,73389,73389,14,14,14,73446686,10,3,511582,367489,1414467,7678,1003879216,360576,8557065,1911
261684.67,2,253952,62,63355,4173546958,33,41978830,0,147,38,38,6404,124,675,474588,13,13636,42,24,141096242,1352,1,0,41,52,5,3142,675,0,0,0,14052541,3130517,1273590076,0,675,363,2,1,14,14,429,1,1274411824,1223844421,66823775,94491873,94508257,1,2,1,4157642412,73389,73389,14,14,14,94491873,10,3,519162,483838,1571786,9742,1274411824,474588,12481242,1911
263691.40,2,253952,62,77403,5099240274,34,46282780,0,192,38,38,6404,126,675,594493,13,17573,42,24,141361694,1352,1,0,41,52,5,3142,675,0,0,0,18148636,4003505,1544258526,0,675,363,2,1,14,14,429,1,1544944432,1494500334,76493086,115537060,115537060,1,2,1,5083630640,73389,73389,14,14,14,115537060,10,3,523974,606100,1723568,11806,1544944432,594493,16425692,1911
265695.91,2,253952,62,90139,5938154002,34,48844961,0,243,39,39,6404,128,675,689969,13,21156,42,24,141627146,1352,1,0,41,53,5,3142,675,0,0,0,21536889,4484538,1788560281,0,675,363,2,1,14,14,429,1,1789918000,1739687083,83220461,134606260,134606260,1,2,1,5921954544,73389,73389,14,14,14,134589876,10,3,529881,703504,1840416,13675,1789918000,689969,19697212,1911
267709.16,2,253952,62,100543,6623706874,37,53506814,0,261,40,40,6404,130,675,752542,13,24106,42,24,141892598,1352,1,0,41,54,5,3142,675,0,0,0,24195328,4612620,1989983787,0,675,363,2,1,14,14,429,1,1990196016,1940175142,90907532,150181794,150181794,1,2,1,6607998936,73389,73389,14,14,14,150181794,10,3,533581,767491,1928157,15203,1990196016,752542,22268009,1911
269721.43,2,253952,62,114524,7545274730,37,55411064,0,300,42,42,6404,132,675,869478,13,28032,42,24,142423502,1352,1,0,41,56,5,3142,675,0,0,0,28205207,5263925,2259349628,0,675,363,2,1,14,14,429,1,2259680048,2209543878,97925379,171126518,171126518,1,2,1,7529566792,73389,73389,14,14,14,171126518,10,3,545713,886755,2084692,17259,2259680048,869478,26121497,1911
271726.50,2,253952,62,124914,8229644646,40,60373510,0,336,42,42,6404,134,675,931060,13,30971,42,24,142423502,1352,1,0,41,56,5,3142,675,0,0,0,30805185,5407190,2459198938,0,675,363,2,1,14,14,429,1,2459564848,2409594855,105776416,186679635,186679635,1,2,1,8213903940,73389,73389,14,14,14,186679635,10,3,546720,949794,2156481,18784,2459564848,931060,28649784,1911
273736.47,2,253952,62,135435,8923130682,40,62208359,0,386,42,42,6404,136,675,988896,13,33951,42,24,142942340,1352,1,0,41,56,5,3142,675,0,0,0,33297082,5407612,2662459100,0,675,363,2,1,14,14,429,1,2661940016,2612297574,110120694,202433234,202449618,1,2,1,8907062296,73389,73389,14,14,14,202433234,10,3,551828,1009006,2223390,20328,2661940016,988896,31074870,1911
275746.84,2,253952,62,149771,9867698366,40,63894103,0,415,45,45,6404,138,675,1100070,13,37975,42,24,143207792,1352,1,0,41,59,5,3142,675,0,0,0,37259682,6119794,2937076272,0,675,363,2,1,14,14,429,1,2937846576,2888385271,117125341,223904405,223920789,1,2,1,9851793820,73389,73389,14,14,14,223904405,10,3,564156,1123263,2397701,22433,2937846576,1100070,34863313,1911
277753.35,2,253952,62,164210,10818691886,41,67553076,0,450,47,47,6404,141,675,1206668,13,42073,42,24,143738696,1352,1,0,41,61,5,3142,675,0,0,0,41276783,6926132,3211528927,0,675,363,2,1,14,14,429,1,3215166416,3166289739,126372290,245529065,245529065,1,2,1,10802557964,73389,73389,14,14,14,245512681,10,3,576050,1232179,2555492,24552,3215166416,1206668,38722776,1911
279763.41,2,253952,62,179365,11817199006,43,72228917,0,495,47,47,6404,143,675,1328607,13,46318,42,24,144004148,1352,1,0,41,61,5,3142,675,0,0,0,45436863,7790093,3505419548,0,675,363,2,1,14,14,429,1,3506670544,3458162970,137102639,268218685,268235069,1,2,1,11801622140,73389,73389,14,14,14,268218685,10,3,583899,1357128,2699504,26776,3506670544,1328607,42738997,1911
281768.59,2,253952,62,192133,12658740790,45,76125020,0,544,47,47,6404,145,675,1421242,13,49907,42,24,144535052,1352,1,0,41,61,5,3142,675,0,0,0,48862658,8104354,3753929650,0,675,363,2,1,14,14,429,1,3752561616,3704165613,144979169,287349103,287349103,1,2,1,12643360532,73389,73389,14,14,14,287349103,10,3,593492,1451753,2821112,28652,3752561616,1421242,46043312,1911
