timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
476778.01,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
478783.34,2,253952,62,9745,640916728,2,3391379,55,5,5,3285,115,0,567,74105,19,3797,20,97608067,1136,1,0,4,823,11946484,6,47721344,19,19,14,262,567,0,0,4522094,41372,236016323,0,567,535,3,1,14,14,1350,3,236344152,204501698,7821287,12150007,12150007,1,3,1,631800396,73389,73389,14,14,14,12150011,11,3,84056,75893,212992,2016,236344152,74105,4308356,1737
480797.12,4,253952,62,20669,1361175752,2,4593140,119,7,7,3285,170,0,567,163089,19,8095,21,100998613,1136,1,0,4,823,25615165,6,102460660,20,21,14,275,567,0,0,10577975,770585,459067885,0,567,535,3,1,14,14,1350,3,459031770,431424043,15935088,25997029,25997029,1,3,1,1351845540,73389,73389,14,14,14,25997033,11,3,95557,167234,344907,3831,459031770,163089,10233505,1737
482812.33,5,253952,62,32871,2164007316,2,7459832,225,7,7,3285,266,0,567,265807,19,12899,21,103544539,1136,1,0,4,823,40793989,6,163175956,20,21,14,275,567,0,0,17280730,1241971,716164136,0,567,535,3,1,14,14,1350,3,716413584,684153163,25961532,41425551,41441935,1,3,1,2154128684,73389,73389,14,14,14,41425555,11,3,103249,272644,466158,6001,716413584,265807,16815261,1737
484817.13,5,253952,62,43584,2870450310,4,10875935,281,7,7,3285,343,0,567,329000,19,17139,21,107272933,1136,1,0,4,823,54235662,6,216942648,20,21,14,275,567,0,0,22024864,1256108,936870471,0,567,535,3,1,14,14,1350,3,936795370,906490620,34132871,55026813,55026813,1,3,1,2861394308,73389,73389,14,14,14,55026817,11,3,113143,337742,553107,7847,936795370,329000,21472639,1737
486827.76,5,253952,62,56100,3695102976,4,11746293,373,9,9,3285,404,0,576,425374,19,22042,21,111594219,1154,1,0,4,823,69834249,6,279272628,20,23,14,275,576,0,0,28688564,1535025,1197514245,0,576,542,3,1,14,14,1350,3,1197303419,1166160793,41931841,70880875,70880875,1,3,1,3685805532,73389,73389,14,14,14,70880879,11,3,120760,436647,672576,9973,1197303419,425374,28017123,1769
488836.20,5,253952,62,68328,4499638476,5,13574435,454,9,9,3285,488,1,576,534415,19,26843,21,113476515,1154,1,0,4,823,85077076,6,340243832,20,23,14,275,576,0,0,35369271,1845727,1451300272,0,576,542,3,1,14,14,1350,3,1450448195,1419699334,50738797,86342165,86342165,1,3,1,4489792612,73389,73389,14,14,14,86342169,11,3,126362,548336,812224,12082,1450448195,534415,34558437,1769
490850.58,7,253952,62,79846,5259236128,5,15265860,519,9,9,3285,564,1,576,629233,19,31400,21,115045095,1154,1,0,4,823,99486853,6,397947412,20,23,14,275,576,0,0,41611247,2198886,1689440545,0,576,542,3,1,14,14,1350,3,1688089152,1658907630,59005930,100940692,100940692,1,3,1,5248916016,73389,73389,14,14,14,100940696,11,3,129820,647292,930713,14055,1688089152,629233,40682169,1769
492863.51,8,253952,62,91899,6054703962,5,16653027,595,9,9,3285,643,1,576,726932,19,36156,21,116915325,1154,1,0,4,823,114552877,6,458211508,20,23,14,275,576,0,0,47998895,2512539,1939316147,0,576,542,3,1,14,14,1350,3,1937981286,1909249141,67071003,116237254,116253638,1,3,1,6044337240,73389,73389,14,14,14,116237258,11,3,134389,747566,1053039,16132,1937981286,726932,46947732,1769
494870.87,9,253952,62,103451,6815854142,5,18201689,653,9,9,3285,717,1,576,821746,19,40693,21,116915325,1154,1,0,4,823,128984319,6,515743276,20,23,14,275,576,0,0,54167610,2811859,2180653898,0,576,542,3,1,14,14,1350,3,2178824143,2148825739,75002051,130889251,130889251,1,3,1,6806241084,73389,73389,14,14,14,130889255,11,3,140763,844830,1176386,18127,2178824143,821746,52993334,1769
