timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
726075.39,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
728079.49,5,253952,62,70437,4638795048,9,11486155,261,32,32,453,507,1,567,591385,2,14,27594,42,111689089,1136,1,0,4,1496,87534215,7,349943280,41,46,0,9,664,567,0,0,37233437,925619,1488381665,0,565,513,2,3,1,14,14,2132,3,1492025465,1463442080,49550168,88998088,89030856,1,3,1,4627900608,73389,73389,14,14,14,88998092,11,3,170310,605973,1049107,12438,1492025465,591385,36185660,2387
730085.80,7,253952,62,120128,7911368072,19,26384351,444,36,36,453,824,1,594,902015,2,14,47229,42,118648603,1190,1,0,4,1496,149707097,7,598698864,41,50,0,9,664,594,0,0,59291095,1081350,2523450370,0,592,533,2,3,1,14,14,2132,3,2523261984,2493916318,86802873,151941803,151958187,1,3,1,7900973788,73389,73389,14,14,14,151941807,11,3,211713,924468,1441996,21004,2523261984,902015,57851270,2474
732092.85,12,253952,62,171436,11294188768,20,30241995,684,36,36,453,1153,2,630,1361396,2,14,67418,42,127360200,1262,1,0,4,1496,213718575,7,854809636,41,50,0,9,664,630,0,0,87576147,1711221,3618925914,0,628,570,2,3,1,14,14,2132,3,3618549816,3561055352,119567331,216847663,216864047,1,3,1,11276078508,73389,73389,14,14,14,216847667,11,3,227800,1394474,2014944,30101,3618549816,1361396,85564396,2599
734097.60,12,253952,62,221385,14586112374,20,33555374,947,37,37,453,1477,2,657,1823150,4,14,86952,42,132426126,1316,1,0,4,1496,275737940,7,1102887196,41,51,0,9,664,657,0,0,115283452,2271393,4707083829,0,653,593,4,3,1,14,14,2132,3,4704932478,4601740505,151014360,279886635,279886635,1,3,1,14553253084,73389,73389,14,14,14,279870255,11,3,264716,1866520,2661901,39108,4704932478,1823150,112625695,2693
736106.56,13,253952,62,260125,17139018164,29,43509596,1088,42,42,453,1720,2,702,2072600,4,14,102104,42,141488208,1406,1,0,4,1496,323769636,7,1294949292,41,56,0,9,664,702,0,0,131970739,2278577,5573538241,0,698,624,4,3,1,14,14,2132,3,5570662846,5410874423,177756842,328619833,328636217,1,3,1,17088231348,73389,73389,14,14,14,328619837,11,3,299140,2122175,2987893,46275,5570662846,2072600,128987658,2814
738114.17,16,253952,62,308067,20295090502,29,45840256,1313,44,44,453,2027,3,891,2528083,6,14,120850,42,174139813,1784,1,0,4,1496,383136723,7,1532223748,41,58,0,9,664,891,0,0,158902565,2847921,6666617789,0,885,817,6,3,1,14,14,2132,3,6663638463,6412301204,207576044,388783030,388832182,1,3,1,20216717592,73389,73389,14,14,14,388783034,11,3,339032,2587839,3609922,55345,6663638463,2528083,155298374,3466
740119.61,21,253952,62,349294,23010538396,32,50962463,1532,44,44,453,2288,4,1035,2941215,10,14,136828,42,201052188,2072,1,0,4,1496,433853777,7,1735285968,41,58,0,9,664,1035,0,0,182333228,3320028,7639301118,0,1025,956,10,3,1,14,14,2132,3,7634077111,7276240186,236578349,440433210,440449594,1,3,1,22901674984,73389,73389,14,14,14,440416830,11,3,361446,3010090,4135288,63379,7634077111,2941215,178204475,3967
742124.29,21,253952,62,382868,25221707812,36,56974032,1639,44,44,453,2499,4,1233,3183371,10,14,149841,42,237743282,2468,1,0,4,1496,475114705,7,1900394124,41,58,0,9,664,1233,0,0,197148239,3321693,8461796042,0,1223,1088,10,3,1,14,14,2132,3,8457558624,7982036811,257402884,482333009,482349393,1,3,1,25081316500,73389,73389,14,14,14,482333013,11,3,370561,3257972,4418063,70142,8457558624,3183371,192737313,4494
744131.82,27,253952,62,427612,28170544818,36,58961038,1863,51,51,453,2782,10,1440,3590563,10,14,167370,42,275605441,2882,1,0,4,1496,530620451,7,2122352520,41,65,0,9,664,1440,0,0,222201712,3707715,9518527045,0,1430,1346,10,3,1,14,14,2132,3,9511970648,8920191184,284851535,538401477,538450629,1,3,1,27996876836,73389,73389,14,14,14,538401481,11,3,417023,3674710,4969987,78848,9511970648,3590563,217239741,5247
