timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
590687.82,0,0,0,0,0,0,0,0,0,0,40,0,0,7,0,4,0,2097278,2,1,4,14,4,397,0,0,0,6920,0,0,2,1,14,14,421,1,0,0,112,0,0,1,2,1,0,73389,73389,14,14,14,0,10,3,0,0,6,0,0,0,0,0
592691.59,0,0,18855,1240990320,0,0,0,1,1,8024,117,576,125592,7,1761,6,0,118681202,1154,1,5,15,4,1419,576,1995017,5214,408417274,576,416,2,1,14,14,421,1,409501892,365991458,2000827,27899732,27916116,1,2,1,1227588208,73389,73389,14,14,14,27899732,10,3,358210,127746,849055,3142,409501892,125592,1146058,2128
594695.40,253952,62,34360,2262978010,24,25215845,64,29,29,8024,119,675,234128,7,5448,34,33,140299886,1352,1,33,43,4,1549,675,5533014,569477,714300447,675,483,2,1,14,14,421,1,716569392,665335619,38817015,51076554,51076554,1,2,1,2246647480,73389,73389,14,14,14,51060170,10,3,497093,238496,1242189,5486,716569392,234128,4291044,2414
596699.83,253952,62,44828,2952725186,27,29978488,96,29,29,8024,121,675,281509,7,8464,34,33,140565338,1352,1,33,43,4,1549,675,7783281,597895,914271911,675,483,2,1,14,14,421,1,918027056,867005255,46337284,66750392,66750392,1,2,1,2937017248,73389,73389,14,14,14,66750392,10,3,501377,287162,1302336,7023,918027056,281509,6481260,2414
598706.51,253952,62,55831,3677534122,28,31531698,122,31,31,8024,123,675,340904,7,11526,34,33,140830790,1352,1,33,45,4,1549,675,10253947,618727,1128932279,675,483,2,1,14,14,421,1,1129446192,1078844847,50403886,83227046,83227046,1,2,1,3661990024,73389,73389,14,14,14,83227046,10,3,501951,348073,1365283,8636,1129446192,340904,8889074,2414
600718.48,253952,62,70244,4627413530,28,33064163,168,33,33,8024,125,675,461517,7,15569,34,33,141361694,1352,1,33,47,4,1549,675,14246653,1720856,1407467317,675,483,2,1,14,14,421,1,1406925616,1356556564,57688069,104810746,104827130,1,2,1,4611672824,73389,73389,14,14,14,104810746,10,3,511389,473049,1514608,10753,1406925616,461517,12732604,2414
602724.79,253952,62,84082,5539078834,29,36844117,206,36,36,8024,127,675,583446,7,19453,34,33,141361694,1352,1,33,50,4,1549,675,18121341,2678378,1669740014,675,483,2,1,14,14,421,1,1673132848,1623029859,67307276,125538604,125538604,1,2,1,5522977680,73389,73389,14,14,14,125522220,10,3,525391,598526,1683922,12784,1673132848,583446,16438106,2414
604730.14,253952,62,97507,6423677770,32,41698242,254,36,36,8024,130,675,701552,7,23298,34,33,141892598,1352,1,33,50,4,1549,675,21915426,3344606,1930708951,675,483,2,1,14,14,421,1,1931868976,1881700970,77149063,145635678,145635678,1,2,1,6407969832,73389,73389,14,14,14,145635678,10,3,530287,718900,1813843,14758,1931868976,701552,20102414,2414
606739.90,253952,62,108195,7128108318,35,45338597,270,38,38,8024,131,675,757056,7,26248,34,33,142158050,1352,1,33,52,4,1549,675,24283509,3371821,2138559085,675,483,2,1,14,14,421,1,2137914160,2087631020,83395444,161643229,161643229,1,2,1,7111581180,73389,73389,14,14,14,161626845,10,3,534450,775856,1880041,16330,2137914160,757056,22404408,2414
608752.34,253952,62,122260,8054650294,35,47756049,308,41,41,8024,134,675,879252,7,30252,34,33,142423502,1352,1,33,55,4,1549,675,28234175,4672669,2406864283,675,483,2,1,14,14,421,1,2408184624,2358407899,92070541,182690575,182706959,1,2,1,8038385300,73389,73389,14,14,14,182690575,10,3,553778,900289,2038271,18392,2408184624,879252,26196978,2414
