timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
382644.73,5,253952,62,56252,3704449082,4,7124312,243,23,23,209,417,10,576,517365,0,16,22073,35,1154,112862468,1154,1,0,4,5037,69984144,10,279742868,34,37,11,2803,576,0,0,33200668,1018793,1199078923,0,576,565,0,3,1,14,14,5669,3,1,1201641773,1169081280,41374953,71049033,71065417,1,3,1,3693697780,73389,73389,14,14,14,71032653,12,3,130376,529216,871882,10025,1201641773,517365,32329883,5029
384654.90,8,253952,62,93540,6162224406,13,18802166,451,23,23,209,649,11,576,856402,0,16,36708,35,1154,115673846,1154,1,0,4,5037,116382384,10,465529536,34,37,11,2803,576,0,0,55570663,1601153,1973095157,0,576,565,0,3,1,14,14,5669,3,1,1972686932,1943021746,76008526,118303797,118334406,1,3,1,6150945508,73389,73389,14,14,14,118287417,12,3,178399,875986,1404457,16405,1972686932,856402,54168056,5029
386663.05,9,253952,62,119676,7883893548,14,22750089,606,23,23,209,820,13,585,1110165,0,16,47020,35,1154,117742431,1172,1,0,4,5037,149120100,10,596351260,34,37,11,2803,585,0,0,70941997,2256644,2515540413,0,585,573,0,3,1,14,14,5669,3,1,2513706022,2484960627,95716294,151426978,151426978,1,3,1,7873350920,73389,73389,14,14,14,151410598,12,3,187971,1135360,1727256,20911,2513706022,1110165,69217105,5064
388672.26,11,253952,62,144676,9530039676,14,25187967,752,23,23,209,979,13,630,1351073,0,16,56785,35,1154,126175295,1262,1,0,4,5037,180047466,10,719995916,34,37,11,2803,630,0,0,85307461,2665353,3048218046,0,630,619,0,3,1,14,14,5669,3,1,3045745294,3004736306,112999058,182991964,182991964,1,3,1,9515582160,73389,73389,14,14,14,182991968,12,3,207932,1381954,2052841,25343,3045745294,1351073,83257490,5218
390681.02,11,253952,62,163869,10794773876,16,29305074,878,23,23,209,1103,13,648,1539834,0,16,64318,35,1154,130112409,1298,1,0,4,5037,203923929,10,815631016,34,37,11,2803,648,0,0,96754145,3273443,3464357588,0,648,639,0,3,1,14,14,5669,3,1,3462680936,3404399153,129284020,207209170,207225554,1,3,1,10774876872,73389,73389,14,14,14,207209174,12,3,221573,1574992,2290236,28815,3462680936,1539834,94467155,5302
392689.57,21,253952,62,181685,11968352340,16,32138652,1019,23,23,209,1215,13,675,1722148,0,16,71261,35,1154,134865596,1352,1,0,4,5037,225874187,10,903496748,34,37,11,2803,675,0,0,107333285,3713133,3868667897,0,675,670,0,3,1,14,14,5669,3,1,3865720364,3776427414,143105572,229603434,229636202,1,3,1,11939378600,73389,73389,14,14,14,229603438,12,3,228749,1761297,2508421,32169,3865720364,1722148,104827884,5399
394704.04,23,253952,62,197282,12995060764,17,35225890,1131,23,23,209,1315,13,720,1888622,0,16,77348,35,1154,143214772,1442,1,0,4,5037,245216328,10,980671392,34,37,11,2803,720,0,0,116748387,4258049,4224460817,0,720,720,0,3,1,14,14,5669,3,1,4222121901,4102604319,155831616,249172346,249172346,1,3,1,12956962024,73389,73389,14,14,14,249172350,12,3,235564,1931328,2703645,35142,4222121901,1888622,114048652,5562
396710.56,23,253952,62,211286,13917846364,18,37158458,1249,25,25,209,1406,14,747,2040835,0,16,82816,35,1154,148607362,1496,1,0,4,5037,262527388,10,1050045000,34,39,11,2803,747,0,0,125511761,4724953,4545464021,0,747,747,0,3,1,14,14,5669,3,1,4541527317,4395585426,167234280,266730344,266730344,1,3,1,13869977920,73389,73389,14,14,14,266730348,12,3,241663,2086834,2877862,37806,4541527317,2040835,122638095,5660
398716.15,26,253952,62,223380,14715014948,20,40290869,1329,25,25,209,1480,14,783,2163024,0,16,87557,35,1154,154768355,1568,1,0,4,5037,277610512,10,1110442048,34,39,11,2803,783,0,0,133194443,4982702,4822965045,0,783,782,0,3,1,14,14,5669,3,1,4819060518,4648866875,178299777,281916536,281916536,1,3,1,14659659904,73389,73389,14,14,14,281916540,12,3,254517,2211926,3053096,40113,4819060518,2163024,130145786,5788
400722.34,26,253952,62,233748,15397943072,22,43170475,1400,26,26,209,1545,14,810,2246482,0,16,91550,35,1154,159578576,1622,1,0,4,5037,290306237,10,1161095896,34,40,11,2803,810,0,0,138500748,4990130,5072643230,0,810,804,0,3,1,14,14,5669,3,1,5068440443,4866472226,186485817,294871074,294871074,1,3,1,15333295880,73389,73389,14,14,14,294871078,12,3,268036,2297485,3188013,42196,5068440443,2246482,135317374,5877
