timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1098424.26,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
1100427.28,253952,62,24845,1635952094,0,0,0,39,39,5893,118,675,115341,9,21,2801,54,120,140034434,1352,1,53,53,3,14,243,675,2231459,51,531468920,666,220,9,8,1,2,1,14,14,295,1,533068592,481976359,2383330,36817773,36834157,1,2,1,1619982012,73389,73389,14,14,14,36817773,7,3,469415,117327,794463,4086,533068592,115341,1437095,1348
1102430.53,253952,62,47803,3148756594,0,0,0,39,39,5893,122,675,195325,9,21,9249,54,120,140565338,1352,1,53,53,3,14,243,675,6193961,138,972179009,666,220,9,8,1,2,1,14,14,295,1,975174448,924290660,9004332,71206396,71206396,1,2,1,3133081424,73389,73389,14,14,14,71206396,7,3,481540,199164,913191,7459,975174448,195325,5281045,1348
1104434.00,253952,62,70821,4665493254,0,0,0,39,39,5893,125,675,274068,9,21,15725,54,120,141361694,1352,1,53,53,3,14,243,675,10076969,203,1416298455,666,220,9,8,1,2,1,14,14,295,1,1418066736,1367693118,14915943,105668747,105685131,1,2,1,4649424868,73389,73389,14,14,14,105668747,7,3,484337,279689,1015041,10838,1418066736,274068,9062378,1348
1106442.86,253952,62,92933,6122588846,0,0,22,39,39,5893,129,675,361134,9,21,21983,54,120,141892598,1352,1,53,53,3,14,243,675,14084463,44391,1840487482,666,220,9,8,1,2,1,14,14,295,1,1843657520,1793576380,45420917,138789769,138806153,1,2,1,6106749836,73389,73389,14,14,14,138789769,7,3,502764,368680,1155424,14085,1843657520,361134,12929653,1348
1108448.03,253952,62,109938,7243133922,31,34850049,82,39,39,5893,132,675,485065,9,21,26778,54,120,142423502,1352,1,53,53,3,14,243,675,18739574,442018,2170047052,666,220,9,8,1,2,1,14,14,295,1,2171206448,2121243207,279540855,164258192,164258192,1,2,1,7226639552,73389,73389,14,14,14,164241808,7,3,551424,495121,1394059,16584,2171206448,485065,17346297,1348
1110453.96,253952,62,123780,8154795918,36,42002979,123,39,39,5893,134,675,589620,9,21,30662,54,120,142423502,1352,1,53,53,3,14,243,675,22818300,853197,2437460940,666,220,9,8,1,2,1,14,14,295,1,2437282608,2387689349,298803598,184980017,184980017,1,2,1,8138399852,73389,73389,14,14,14,184963633,7,3,552657,602031,1513130,18614,2437282608,589620,21306110,1348
1112458.48,253952,62,138916,9152323306,36,44009013,159,44,44,5893,136,675,702651,9,21,34904,54,120,142942340,1352,1,53,58,3,14,243,675,27056045,1174312,2728590835,666,220,9,8,1,2,1,14,14,295,1,2729048880,2679344816,306535945,207651094,207667478,1,2,1,9136648136,73389,73389,14,14,14,207651094,7,3,579614,717512,1719626,20840,2729048880,702651,25337506,1348
1114465.72,253952,62,153370,10104299866,41,49699430,204,46,46,5893,139,675,815222,9,21,39005,54,120,143473244,1352,1,53,60,3,14,243,675,31278662,1876756,3005542895,666,220,9,8,1,2,1,14,14,295,1,3006368720,2957532073,320160687,229292138,229292138,1,2,1,10088133176,73389,73389,14,14,14,229275754,7,3,591473,832390,1897692,22959,3006368720,815222,29382078,1348
1116469.82,253952,62,165019,10872144886,44,55145139,262,46,46,5893,141,675,893205,9,21,42291,54,120,144004148,1352,1,53,60,3,14,243,675,34300742,2334111,3231222758,666,220,9,8,1,2,1,14,14,295,1,3230632912,3181896448,329330702,246731130,246753547,1,2,1,10856169720,73389,73389,14,14,14,246731130,7,3,594858,912034,2003443,24670,3230632912,893205,32298648,1348
