timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
383341.54,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
385347.79,2,253952,62,29061,1912770708,4,6409803,171,15,15,966,233,0,567,255392,0,14,11379,29,662,102917107,1136,1,4,1472,36039313,10,144027800,28,29,14,2967,567,16548109,555191,632800656,567,2077,0,3,1,14,14,2158,3,633937853,605135700,23497217,36586682,36603066,1,3,1,1902507496,73389,73389,14,14,14,36586686,9,3,102284,261096,509988,5302,633937853,255392,16038765,4607
387355.98,4,253952,62,55229,3637092038,6,11534096,315,15,15,966,409,1,567,476142,0,14,21710,29,662,107924497,1136,1,4,1472,68750443,10,275001772,28,29,14,2967,567,31647434,1050406,1175125278,567,2077,0,3,1,14,14,2158,3,1175198464,1147988074,44185881,69765048,69765048,1,3,1,3626930560,73389,73389,14,14,14,69748668,9,3,111410,487034,784979,9806,1175198464,476142,30863629,4607
389364.35,6,253952,62,78885,5196859332,7,15215115,453,15,15,966,557,7,576,674889,0,14,30996,29,662,112816526,1154,1,4,1472,98256436,10,392961080,28,29,14,2967,576,44957279,1591385,1668559237,576,2086,0,3,1,14,14,2158,3,1668028282,1638982287,61586034,99756726,99756726,1,3,1,5187349784,73389,73389,14,14,14,99756730,9,3,124776,693498,1048074,13889,1668028282,674889,43910854,4638
391371.93,8,253952,62,97553,6425618552,8,19202231,569,15,15,966,679,8,576,837857,0,14,38367,29,662,114047258,1154,1,4,1472,121577957,10,486311828,28,29,14,2967,576,55895421,2105305,2056479092,576,2086,0,3,1,14,14,2158,3,2056089009,2025911000,76331572,123378519,123378519,1,3,1,6415683020,73389,73389,14,14,14,123378523,9,3,132256,860192,1259582,17121,2056089009,837857,54637852,4638
393382.78,10,253952,62,115280,7594868210,8,22278355,703,15,15,966,791,8,585,999278,0,14,45352,29,662,117101614,1172,1,4,1472,143761165,10,574851060,28,29,14,2967,585,66286770,2701651,2425559269,585,2094,0,3,1,14,14,2158,3,2424034666,2393893942,91151647,145879279,145879279,1,3,1,7585722540,73389,73389,14,14,14,145879283,9,3,137786,1025175,1436510,20170,2424034666,999278,64852649,4673
395390.97,11,253952,62,131475,8661243186,9,24994033,814,15,15,966,898,8,585,1138876,0,14,51732,29,662,117729046,1172,1,4,1472,163985435,10,655877140,28,29,14,2967,585,75344171,3175048,2759917633,585,2094,0,3,1,14,14,2158,3,2757772217,2729763300,103363610,166373887,166373887,1,3,1,8651442156,73389,73389,14,14,14,166373891,9,3,144809,1167945,1611613,22939,2757772217,1138876,73735285,4673
397399.52,17,253952,62,146842,9672751054,10,28382546,918,16,16,966,995,8,594,1279616,0,14,57771,29,662,119808968,1190,1,4,1472,183155256,10,732491816,28,30,14,2967,594,83830781,3663042,3080639243,594,2108,0,3,1,14,14,2158,3,3077784219,3048224151,115691314,185832429,185832429,1,3,1,9663286340,73389,73389,14,14,14,185832433,9,3,148433,1311808,1786673,25594,3077784219,1279616,82046157,4710
399405.19,20,253952,62,160920,10601954898,12,31535865,987,16,16,966,1085,8,594,1391348,0,14,63310,29,662,120110618,1190,1,4,1472,200715919,10,802863676,28,30,14,2967,594,90656247,3776525,3371990283,594,2108,0,3,1,14,14,2158,3,3369513146,3340805494,125793310,203694802,203694802,1,3,1,10592129736,73389,73389,14,14,14,203694806,9,3,156245,1426107,1924426,28012,3369513146,1391348,88735139,4710
401414.32,20,253952,62,172384,11356348498,13,34639488,1050,17,17,966,1157,8,594,1464664,0,14,67825,29,662,120110618,1190,1,4,1472,215005917,10,860023668,28,31,14,2967,594,95592433,3783498,3610016497,594,2108,0,3,1,14,14,2158,3,3607075996,3578271765,133837975,218205820,218238588,1,3,1,11346702672,73389,73389,14,14,14,218205824,9,3,167850,1501325,2027214,29981,3607075996,1464664,93568745,4710
