timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
385533.61,6,253952,62,27220,1791515632,2,5649716,152,13,13,1139,227,0,567,253551,14,10666,21,101372659,1136,1,0,4,6231,33750077,9,134935732,20,27,7,2391,567,0,0,15978006,599795,596889170,0,567,577,3,1,14,14,6877,3,597385443,566672593,22253759,34280856,34280856,1,3,1,1782604544,73389,73389,14,14,14,34280860,10,3,74554,259194,471625,5000,597385443,253551,15507027,3576
387539.55,8,253952,62,53079,3495562206,4,10041153,304,13,13,1139,402,2,570,474790,14,20854,21,106164029,1142,1,0,4,6231,66029460,9,264053248,20,27,7,2391,570,0,0,31088405,1198271,1132824837,0,570,581,3,1,14,14,6877,3,1133029840,1103320936,42332764,67027205,67057814,1,3,1,3485414692,73389,73389,14,14,14,67027209,10,3,81982,485719,724678,9461,1133029840,474790,30364892,3593
389549.17,10,253952,62,75309,4960584102,5,13538875,435,13,13,1139,528,3,576,673225,14,29587,21,109993082,1154,1,0,4,6231,93780419,9,375057068,20,27,7,2391,576,0,0,44123758,1739454,1596456662,0,576,586,3,1,14,14,6877,3,1595200949,1564599925,58906157,95214928,95214928,1,3,1,4951176288,73389,73389,14,14,14,95214932,10,3,91871,688657,987683,13261,1595200949,673225,43137699,3608
391555.94,15,253952,62,93266,6144629522,6,16406994,564,13,13,1139,657,4,585,845309,14,36696,21,113350407,1172,1,0,4,6231,116254315,9,464952668,20,27,7,2391,585,0,0,54926718,2309568,1969633629,0,585,612,3,1,14,14,6877,3,1968662748,1937389017,73624371,117979991,117979991,1,3,1,6134959564,73389,73389,14,14,14,117979995,10,3,98813,864430,1204734,16385,1968662748,845309,53723977,3643
393567.41,18,253952,62,110696,7292544758,7,18717446,677,14,14,1139,759,4,585,1021358,14,43547,21,114605271,1172,1,0,4,6231,138024129,9,552031864,20,28,7,2391,585,0,0,65178612,2782333,2329690055,0,585,612,3,1,14,14,6877,3,2329083961,2298951166,86586285,140043145,140043145,1,3,1,7282243572,73389,73389,14,14,14,140043149,10,3,104365,1043997,1428403,19357,2329083961,1021358,63752561,3643
395574.65,21,253952,62,125859,8290393698,8,22216143,796,14,14,1139,863,4,585,1170218,14,49508,21,114931053,1172,1,0,4,6231,156928368,9,627584224,20,28,7,2391,585,0,0,74191725,4067318,2645652747,0,585,612,3,1,14,14,6877,3,2643621528,2613169841,99612557,159233510,159233510,1,3,1,8280142552,73389,73389,14,14,14,159233514,10,3,115261,1195958,1613416,21977,2643621528,1170218,72580973,3643
397583.26,23,253952,62,140366,9246131840,9,24752339,899,14,14,1139,947,4,585,1320365,14,55204,21,115256835,1172,1,0,4,6231,175002578,9,700010312,20,28,7,2391,585,0,0,82608661,4449019,2951181658,0,585,612,3,1,14,14,6877,3,2949116007,2914582978,110897348,177581814,177581814,1,3,1,9234254360,73389,73389,14,14,14,177581818,10,3,118226,1349078,1815604,24494,2949116007,1320365,80796017,3643
399588.68,25,253952,62,152799,10065682866,11,28109127,971,15,15,1139,1035,4,594,1426669,14,60075,21,118022790,1190,1,0,4,6231,190470233,9,761880932,20,29,7,2391,594,0,0,89138397,4565230,3212989358,0,594,620,3,1,14,14,6877,3,3210023264,3172938395,120915976,193319029,193319029,1,3,1,10052589540,73389,73389,14,14,14,193319033,10,3,128590,1457720,1965147,26675,3210023264,1426669,87176449,3674
401603.37,25,253952,62,163182,10751138478,12,31254830,1034,16,16,1139,1105,4,603,1499587,14,64197,21,120996839,1208,1,0,4,6231,203464581,9,813793552,20,30,7,2391,603,0,0,94307724,4577721,3432771812,0,603,626,3,1,14,14,6877,3,3429731314,3388923965,129239457,206481797,206481797,1,3,1,10737053476,73389,73389,14,14,14,206481801,10,3,140165,1532397,2073188,28503,3429731314,1499587,92237947,3698
403612.59,26,253952,62,175157,11540010386,12,33461920,1128,17,17,1139,1176,4,603,1622431,14,68889,21,121925921,1208,1,0,4,6231,218363987,9,873391180,20,31,7,2391,603,0,0,101571715,4959113,3684343105,0,603,626,3,1,14,14,6877,3,3681946160,3637677004,139075235,221608930,221608930,1,3,1,11522812424,73389,73389,14,14,14,221592550,10,3,147557,1657860,2218918,30582,3681946160,1622431,99356466,3698
405625.03,26,253952,62,187206,12332467970,12,35530109,1222,17,17,1139,1257,4,621,1737746,14,73621,21,124866470,1244,1,0,4,6231,233386638,9,933417212,20,31,7,2391,621,0,0,108771261,5367186,3942806902,0,621,643,3,1,14,14,6877,3,3939269484,3887763298,148687585,236828334,236828334,1,3,1,12315073400,73389,73389,14,14,14,236828338,10,3,158586,1775747,2391742,32733,3939269484,1737746,106383438,3768
