timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
587814.51,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,2097278,2,1,1081,0,0,0,0,0,0,0,0,0,0,0,1081,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
589823.23,3,253952,62,18745,1234469122,0,2490307,0,111,7,7,3438,176,0,567,190584,0,8,7335,12,100081597,1136,1,1081,0,4,5078,23162357,7,92520412,11,21,4,5496,567,1081,12,0,0,10859396,292353,418865889,0,567,733,0,3,1,14,14,5655,3,419403177,391750816,13645408,23543747,23543747,1,3,1,1223422908,73389,73389,14,14,14,23527367,10,3,74852,194625,416142,3530,419403177,190584,10443635,2260
591827.91,3,253952,62,37041,2439488448,1,4957319,0,185,7,7,3438,273,1,567,333634,0,8,14506,12,101650177,1136,1,1081,0,4,5078,45946965,7,183787860,11,21,4,5496,567,1081,12,0,0,20531522,402329,799035998,0,567,733,0,3,1,14,14,5655,3,799448600,770913500,25778848,46718854,46735238,1,3,1,2429380440,73389,73389,14,14,14,46718858,10,3,79751,341290,587679,6634,799448600,333634,19944591,2260
593841.09,3,253952,62,51652,3401402836,4,8296568,0,241,9,9,3438,387,1,567,433397,0,8,20281,12,102579259,1136,1,1081,0,4,5078,64265926,7,256934280,11,23,4,5496,567,1081,12,0,0,27600803,433422,1104205859,0,567,733,0,3,1,14,14,5655,3,1103341180,1073655445,36330606,65235316,65235316,1,3,1,3392236464,73389,73389,14,14,14,65235320,10,3,89405,443633,730271,9194,1103341180,433397,26871543,2260
595845.84,3,253952,62,65875,4338540820,7,12262240,0,319,10,10,3438,455,1,567,529028,0,8,25877,12,104135773,1136,1,1081,0,4,5078,82048310,7,328193240,11,24,4,5496,567,1081,12,0,0,34323544,462547,1402042035,0,567,733,0,3,1,14,14,5655,3,1400789014,1368698405,47041288,83255940,83255940,1,3,1,4329308912,73389,73389,14,14,14,83255944,10,3,96923,541718,835786,11622,1400789014,529028,33489029,2260
597850.22,3,253952,62,78571,5175279550,9,14927738,0,399,12,12,3438,554,1,567,609116,0,8,30887,12,106331785,1136,1,1081,0,4,5078,97897344,7,391524440,11,26,4,5496,567,1081,12,0,0,39957323,462826,1668551007,0,567,733,0,3,1,14,14,5655,3,1667323480,1632551397,55340841,99329027,99329027,1,3,1,5165109436,73389,73389,14,14,14,99329031,10,3,103012,624004,928356,13861,1667323480,609116,39030482,2260
599857.40,9,253952,62,94390,6216457954,9,16826269,0,493,15,15,3438,669,1,567,734889,0,8,37122,12,107321197,1136,1,1081,0,4,5078,117623057,7,470427492,11,29,4,5496,567,1081,12,0,0,48704293,647810,1993275816,0,567,733,0,3,1,14,14,5655,3,1991999130,1960322521,65841516,119336433,119352817,1,3,1,6205494548,73389,73389,14,14,14,119336437,10,3,115977,752845,1083616,16585,1991999130,734889,47622519,2260
601865.17,9,253952,62,110299,7266539032,9,19491876,0,601,15,15,3438,757,1,576,869338,0,8,43386,12,112478678,1154,1,1081,0,4,5078,137528608,7,550114432,11,29,4,5496,576,1081,12,0,0,57660961,1079376,2323222305,0,576,743,0,3,1,14,14,5655,3,2321884717,2290932766,78014579,139527049,139543433,1,3,1,7255406580,73389,73389,14,14,14,139527053,10,3,127477,890575,1275879,19295,2321884717,869338,56387260,2292
603877.63,10,253952,62,127888,8424971020,9,21636669,0,694,15,15,3438,880,2,576,1028926,0,8,50315,12,115024604,1154,1,1081,0,4,5078,159490753,7,637769392,11,29,4,5496,576,1081,12,0,0,67482224,1353512,2691754884,0,576,743,0,3,1,14,14,5655,3,2689819620,2655604981,90424672,161803195,161819579,1,3,1,8413766172,73389,73389,14,14,14,161803199,10,3,136571,1053819,1482141,22369,2689819620,1028926,66002614,2292
605882.90,10,253952,62,142437,9383739192,12,25456188,0,779,15,15,3438,965,2,576,1129905,0,8,56026,12,116569052,1154,1,1081,0,4,5078,177612086,7,710448344,11,29,4,5496,576,1081,12,0,0,74509359,1437206,2995827210,0,576,743,0,3,1,14,14,5655,3,2993208302,2957832365,101352691,180231260,180231260,1,3,1,9372025552,73389,73389,14,14,14,180231264,10,3,151833,1157414,1619803,24871,2993208302,1129905,72892354,2292
