timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
599382.50,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
601389.26,0,253952,62,16119,1061442504,3,4687151,0,119,9,9,3536,156,7,567,145322,0,6,6304,21,100,99779947,1136,1,0,4,1410,19924282,10,79568096,20,23,11,3658,567,0,0,0,8856408,636913,365754166,0,567,498,0,3,1,14,14,1988,0,3,365939361,337090625,14157939,20224272,20224272,1,3,1,0,1051662176,73389,73389,14,14,14,20224276,9,3,90074,148445,331890,3082,365939361,145322,8524941,1800
603399.38,2,253952,62,33669,2218790640,4,6874673,0,224,10,10,3536,251,8,567,293772,0,6,13217,21,100,104135773,1136,1,0,4,1410,41858736,10,167434944,20,24,11,3658,567,0,0,0,18382075,983316,732905005,0,567,498,0,3,1,14,14,1988,0,3,733393945,701247635,26201321,42489623,42489623,1,3,1,0,2209460428,73389,73389,14,14,14,42489627,9,3,95920,300290,534574,6083,733393945,293772,17848292,1800
605404.70,2,253952,62,49919,3287539364,5,8865747,0,307,10,10,3536,363,8,567,417812,0,6,19568,21,100,106042201,1136,1,0,4,1410,62055912,10,248223648,20,24,11,3658,567,0,0,0,26462555,1143886,1070304589,0,567,498,0,3,1,14,14,1988,0,3,1069440444,1038080871,36430034,63025635,63025635,1,3,1,0,3277333052,73389,73389,14,14,14,63025639,9,3,117415,427250,703208,8894,1069440444,417812,25760437,1800
607411.80,2,253952,62,65611,4320298168,7,11528671,0,379,13,13,3536,472,8,567,542458,0,6,25785,21,100,107586649,1136,1,0,4,1410,81717020,10,326739124,20,27,11,3658,567,0,0,0,34177516,1302564,1395858132,0,567,498,0,3,1,14,14,1988,0,3,1394836879,1362847839,46972559,82918353,82918353,1,3,1,0,4311754388,73389,73389,14,14,14,82918357,9,3,146439,554582,875742,11609,1394836879,542458,33303151,1800
609424.13,3,253952,62,83651,5510145056,8,14167637,0,476,15,15,3536,590,8,567,693835,0,6,32897,21,100,110760007,1136,1,0,4,1410,104265761,10,416998532,20,29,11,3658,567,0,0,0,44262171,1660665,1766787072,0,567,498,0,3,1,14,14,1988,0,3,1766056544,1737524891,60050855,105787753,105787753,1,3,1,0,5500963188,73389,73389,14,14,14,105787757,9,3,160902,709516,1087303,14690,1766056544,693835,43176063,1800
611435.02,4,253952,62,102040,6722791612,9,16842195,0,575,16,16,3536,707,8,576,848484,0,6,40145,21,100,115069227,1154,1,0,4,1410,127226796,10,508842676,20,30,11,3658,576,0,0,0,54359817,2041429,2148480937,0,576,507,0,3,1,14,14,1988,0,3,2147644493,2119607621,73094643,129091329,129091329,1,3,1,0,6712749140,73389,73389,14,14,14,129091333,9,3,176296,867770,1287910,17852,2147644493,848484,53074027,1836
613444.08,5,253952,62,120834,7961340750,10,19289543,0,687,16,16,3536,825,9,585,1009065,0,6,47540,21,100,118414486,1172,1,0,4,1410,150707458,10,602636260,20,30,11,3658,585,0,0,0,64684990,2368323,2537417542,0,585,519,0,3,1,14,14,1988,0,3,2536598816,2509536613,86186511,152907127,152907127,1,3,1,0,7951170636,73389,73389,14,14,14,152907131,9,3,186284,1032041,1510609,21079,2536598816,1009065,63176885,1869
615451.31,7,253952,62,139575,9193967082,10,20416408,0,818,17,17,3536,947,10,585,1174563,0,6,54918,21,100,118414486,1172,1,0,4,1410,174084996,10,696339984,20,31,11,3658,585,0,0,0,75294622,2733837,2928968012,0,585,519,0,3,1,14,14,1988,0,3,2926990620,2897507105,98268980,176617317,176633701,1,3,1,0,9184100516,73389,73389,14,14,14,176617321,9,3,205860,1201320,1743467,24306,2926990620,1174563,73554046,1869
617456.71,10,253952,62,155630,10252084034,13,24008278,0,886,17,17,3536,1053,20,594,1276732,0,6,61190,21,100,120169355,1190,1,0,4,1410,194069122,10,776082664,20,31,11,3658,594,0,0,0,82591679,2777369,3262077287,0,594,525,0,3,1,14,14,1988,0,3,3259416604,3230618529,109200464,196966184,196966184,1,3,1,0,10242241600,73389,73389,14,14,14,196966188,9,3,214094,1306044,1858230,27070,3259416604,1276732,80736624,1897
619461.77,10,253952,62,169659,11178426528,15,27320922,0,940,19,19,3536,1138,20,594,1367960,0,6,66741,21,100,120169355,1190,1,0,4,1410,211594278,10,846377112,20,33,11,3658,594,0,0,0,88820516,2791381,3555376274,0,594,525,0,3,1,14,14,1988,0,3,3552855064,3522340218,118752636,214777246,214777246,1,3,1,0,11168416824,73389,73389,14,14,14,214777250,9,3,231638,1399509,1984102,29493,3552855064,1367960,86839861,1897
621467.18,10,253952,62,184656,12166301442,15,28821738,0,992,19,19,3536,1241,20,594,1456181,0,6,72634,21,100,120169355,1190,1,0,4,1410,230268185,10,921072740,20,33,11,3658,594,0,0,0,95266236,2791505,3864853016,0,594,525,0,3,1,14,14,1988,0,3,3862591439,3833185161,126698193,233764526,233780910,1,3,1,0,12155755384,73389,73389,14,14,14,233764530,9,3,241870,1490062,2103019,32074,3862591439,1456181,93166936,1897
623472.12,10,253952,62,199053,13114480710,16,30439879,0,1071,21,21,3536,1334,20,594,1548152,0,6,78318,21,100,120483071,1190,1,0,4,1410,248325244,10,993236576,20,35,11,3658,594,0,0,0,101921957,2822427,4163500700,0,594,525,0,3,1,14,14,1988,0,3,4160595971,4131724273,134989293,252016685,252016685,1,3,1,0,13104867652,73389,73389,14,14,14,252016689,9,3,264667,1584356,2234807,34540,4160595971,1548152,99691143,1897
625479.54,10,253952,62,213960,14098665462,18,33189822,0,1158,23,23,3536,1429,22,594,1646509,0,6,84235,21,100,120483071,1190,1,0,4,1410,267046699,10,1068057680,20,37,11,3658,594,0,0,0,108979401,2873558,4475580095,0,594,525,0,3,1,14,14,1988,0,3,4471602607,4441615022,144839850,270939700,270939700,1,3,1,0,14088864432,73389,73389,14,14,14,270939704,9,3,277885,1685275,2376076,37126,4471602607,1646509,106607596,1897
627485.13,11,253952,62,231793,15273015838,18,34595805,0,1259,24,24,3536,1543,22,594,1780453,0,6,91192,21,100,120483071,1190,1,0,4,1410,289283682,10,1157070192,20,38,11,3658,594,0,0,0,117779794,2986756,4845680945,0,594,525,0,3,1,14,14,1988,0,3,4842543712,4811608551,155148126,293494374,293494374,1,3,1,0,15261707480,73389,73389,14,14,14,293494378,9,3,294384,1822517,2569119,40195,4842543712,1780453,115215289,1897
629489.87,11,253952,62,245395,16168828534,21,38488357,0,1354,26,26,3536,1631,22,603,1864854,0,6,96557,21,100,121982096,1208,1,0,4,1410,306125947,10,1224503788,20,40,11,3658,603,0,0,0,123617811,2991116,5132922658,0,603,531,0,3,1,14,14,1988,0,3,5129657528,5094066200,164881040,310691924,310691924,1,3,1,0,16155980080,73389,73389,14,14,14,310691928,9,3,310306,1909070,2704927,42572,5129657528,1864854,120917722,1928
631495.05,11,253952,62,258212,17012917952,23,41385347,0,1444,27,27,3536,1716,23,603,1939495,0,6,101581,21,100,121982096,1208,1,0,4,1410,322138541,10,1288489444,20,41,11,3658,603,0,0,0,128937404,2991181,5404121295,0,603,531,0,3,1,14,14,1988,0,3,5399361644,5360072203,173094797,326900401,326916785,1,3,1,0,16998820884,73389,73389,14,14,14,326900405,9,3,323926,1985615,2808812,44806,5399361644,1939495,126133642,1928
633502.79,11,253952,62,270921,17850786168,24,43540911,0,1527,28,28,3536,1798,24,603,2017483,0,6,106583,21,100,122295812,1208,1,0,4,1410,337918566,10,1351545108,20,42,11,3658,603,0,0,0,134338062,3001465,5672486996,0,603,531,0,3,1,14,14,1988,0,3,5668297894,5624209871,180662210,342987713,343004097,1,3,1,0,17835361108,73389,73389,14,14,14,342987717,9,3,349723,2065546,2932697,47036,5668297894,2017483,131410633,1928
635510.26,12,253952,62,285866,18835542794,24,45328275,0,1582,29,29,3536,1892,24,612,2137353,0,6,112516,21,100,123737479,1226,1,0,4,1410,356725696,10,1426902784,20,43,11,3658,612,0,0,0,142339644,3128210,5986550551,0,612,538,0,3,1,14,14,1988,0,3,5981936182,5934260468,190570097,361931874,361948258,1,3,1,0,18820457480,73389,73389,14,14,14,361931878,9,3,360455,2188158,3099454,49625,5981936182,2137353,139245761,1958
637515.68,13,253952,62,304279,20048555614,24,46409239,0,1703,31,31,3536,2012,24,612,2292213,0,6,119762,21,100,123737479,1226,1,0,4,1410,379701173,10,1518804692,20,45,11,3658,612,0,0,0,152225196,3347698,6372052905,0,612,538,0,3,1,14,14,1988,0,3,6367202992,6316495877,201731227,385235894,385268662,1,3,1,0,20032266520,73389,73389,14,14,14,385235898,9,3,368501,2346524,3300301,52818,6367202992,2292213,148930829,1958
