timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
13232.91,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
15237.96,3,253952,62,44113,2905963474,4,5893710,0,198,17,17,879,332,0,567,380627,0,15,17314,29,247,102156949,1136,1,0,4,1773,54894334,13,219319312,28,31,11,438,567,0,0,23087703,90873,948958469,0,567,468,0,3,1,14,14,2433,0,3,949004700,917764827,28868140,55694239,55708464,1,3,1,0,2896100460,73389,73389,14,14,14,55694243,8,3,112441,388789,692691,7912,949004700,380627,22395932,2880
17249.40,6,253952,62,88554,5833036644,7,12956785,0,406,23,23,879,623,1,567,803489,0,15,34815,32,247,110723809,1136,1,0,4,1773,110363027,13,441322728,31,37,11,464,567,0,0,49172305,1376037,1868540795,0,567,468,0,3,1,14,14,2433,0,3,1868650457,1839378592,63576519,111970110,111986494,1,3,1,0,5821593784,73389,73389,14,14,14,111953730,8,3,137909,820793,1208792,15554,1868650457,803489,47965391,2880
19263.45,14,253952,62,133971,8827004988,8,17272161,0,640,28,28,879,914,2,567,1245070,0,15,52675,34,247,115103767,1136,1,0,4,1773,167055910,13,668158956,33,42,11,490,567,0,0,76859981,2698818,2810071410,0,567,468,0,3,1,14,14,2433,0,3,2809013375,2781753791,96695521,169561846,169578230,1,3,1,0,8817216024,73389,73389,14,14,14,169561850,8,3,178373,1271982,1782612,23345,2809013375,1245070,75080172,2880
21272.09,19,253952,62,170750,11249588456,17,29432860,0,817,29,29,879,1149,2,585,1597501,0,15,67190,34,247,118357797,1172,1,0,4,1773,213025454,13,851972632,33,43,11,490,585,0,0,98205188,3744411,3573313627,0,585,490,0,3,1,14,14,2433,0,3,3572185518,3544608042,131473255,216131085,216163853,1,3,1,0,11238816452,73389,73389,14,14,14,216131089,8,3,187146,1631945,2192422,29672,3572185518,1597501,96016315,2953
23284.87,27,253952,62,207579,13676401938,17,31395106,0,982,30,30,879,1390,5,585,1951470,0,15,81690,34,247,118357797,1172,1,0,4,1773,259006058,13,1035766140,33,44,11,490,585,0,0,119457411,4659496,4340834268,0,585,490,0,3,1,14,14,2433,0,3,4338854467,4308786497,155637122,262783959,262816727,1,3,1,0,13664765900,73389,73389,14,14,14,262783963,8,3,198870,1993658,2615574,36035,4338985539,1951529,116846119,2953
25289.88,28,253952,62,241753,15927697024,20,36276611,0,1147,30,30,879,1611,5,585,2235892,0,15,95125,34,247,118357797,1172,1,0,4,1773,301637390,13,1206484852,33,44,11,490,585,0,0,138255436,4893627,5051409180,0,585,490,0,3,1,14,14,2433,0,3,5047924694,5017770163,179537043,306072524,306088908,1,3,1,0,15914919312,73389,73389,14,14,14,306056144,8,3,210955,2284531,2945892,41927,5047924694,2235892,135313525,2953
27298.78,32,253952,62,276142,18194164616,21,39686997,0,1299,36,36,879,1830,5,621,2512291,0,15,108694,34,247,124864808,1244,1,0,4,1773,344620642,13,1378353244,33,50,11,490,621,0,0,157034009,5499552,5771583455,0,621,525,0,3,1,14,14,2433,0,3,5768234423,5731722531,202339363,349637014,349653398,1,3,1,0,18181124760,73389,73389,14,14,14,349637018,8,3,241423,2567466,3325767,47912,5768234423,2512291,153713782,3082
29307.98,32,253952,62,318819,21005856086,21,43104968,0,1509,37,37,879,2101,5,630,2920948,0,15,125438,34,247,126933646,1262,1,0,4,1773,397736626,13,1590752276,33,51,11,490,630,0,0,182543149,6783634,6689576647,0,630,532,0,3,1,14,14,2433,0,3,6686485437,6619504436,232617729,403524695,403573847,1,3,1,0,20982432204,73389,73389,14,14,14,403508315,8,3,252641,2985209,3767885,55544,6686485437,2920948,178781843,3112
31318.76,36,253952,62,361828,23840867472,23,49035531,0,1735,38,38,879,2375,6,639,3359717,2,15,142313,34,247,128387379,1280,1,0,4,1773,451281023,13,1804865312,33,52,11,490,639,0,0,208045177,7818789,7630238815,0,637,543,2,3,1,14,14,2433,0,3,7625672265,7515906949,265128551,457831883,457831883,1,3,1,0,23807257948,73389,73389,14,14,14,457831887,8,3,269583,3433383,4264232,63331,7625672265,3359717,203788366,3140
33323.95,37,253952,62,413445,27240712086,28,56122168,0,1935,43,43,879,2707,6,729,3812588,2,15,162416,34,247,144869567,1460,1,0,4,1773,515057525,13,2060165420,33,57,11,490,729,0,0,236168538,8252124,8764541338,0,727,627,2,3,1,14,14,2433,0,3,8758342469,8591384775,300727005,522845571,522878339,1,3,1,0,27187117756,73389,73389,14,14,14,522829191,8,3,305503,3896543,4801622,72736,8758342469,3812588,231375349,3456
35331.54,39,253952,62,465148,30644087488,30,60354711,0,2123,50,50,879,3034,7,1161,4285627,6,15,182621,34,247,218914245,2324,1,0,4,1773,579039946,13,2315836724,33,64,11,490,1161,0,0,263791071,8844043,9979794381,0,1155,1047,6,3,1,14,14,2433,0,3,9975731485,9674941958,333288974,587520143,587569295,1,3,1,0,30549343532,73389,73389,14,14,14,587487379,8,3,334630,4380202,5374142,82849,9975731485,4285627,258426385,4983
35759.97,39,253952,62,475067,31297340914,37,61564562,7,2174,76,76,879,3130,7,1296,4379698,6,15,186584,66,295,250958713,2601,1,1227,4,1773,591599349,13,2366397396,65,97,65,1788,1296,1227,117,270286313,9118341,10212448649,8,1290,1176,6,3,1,14,14,2433,22523392,3,10203036352,9881801164,387133212,600037902,600037902,2,3,1,22523392,31201970936,73389,73389,14,14,14,600037906,8,3,341966,4476360,5601959,84682,10203036352,4379698,264694104,5485
