timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
161724.29,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,626,0,0,0,0,0,626,7,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
163728.51,0,0,18631,1226310256,0,0,0,1,1,6908,117,567,135224,39,1740,14,0,116910020,1136,1,626,13,15,12,1905,567,626,7,1963743,18310,402910373,567,417,2,1,14,14,404,1,404127940,361613411,1983087,27572052,27588436,1,2,1,1213170288,73389,73389,14,14,14,27572052,9,3,353547,137281,812291,3101,404127940,135224,1151535,1919
165736.19,253952,62,35473,2336185030,18,19919232,50,23,23,6908,120,675,238086,39,5803,36,153,140299886,1352,1,626,35,37,12,2136,675,626,7,5579695,516008,731478660,675,478,2,1,14,14,404,1,737803056,686781229,28497296,52737371,52737371,1,2,1,2320444324,73389,73389,14,14,14,52737371,9,3,483215,242393,1205861,5648,737803056,238086,4374046,2279
167752.56,253952,62,50422,3321457186,21,25771732,92,25,25,6908,122,675,346012,39,10003,36,153,140830790,1352,1,626,35,39,12,2136,675,626,7,9627539,1612245,1020770393,675,478,2,1,14,14,404,1,1025637168,974783333,40377393,75129920,75129920,1,2,1,3304995584,73389,73389,14,14,14,75113536,9,3,492225,352627,1353281,7844,1025637168,346012,8274617,2279
169760.81,253952,62,65461,4312362130,22,28877536,129,27,27,6908,124,675,469196,39,14209,36,153,141096242,1352,1,626,35,41,12,2136,675,626,7,13677975,3201403,1310711107,675,478,2,1,14,14,404,1,1315175216,1264431152,50156348,97655700,97655700,1,2,1,4296129904,73389,73389,14,14,14,97639316,9,3,504345,478015,1497530,10053,1315175216,469196,12180951,2279
171765.95,253952,62,79814,5257778474,24,32486338,172,28,28,6908,127,675,569681,39,18287,36,153,141361694,1352,1,626,35,42,12,2136,675,626,7,17506371,4285221,1589504721,675,478,2,1,14,14,404,1,1590950704,1540797658,59758774,119145414,119145414,1,2,1,5242398216,73389,73389,14,14,14,119145414,9,3,507658,580610,1659112,12157,1590950704,569681,15847904,2279
173775.36,253952,62,91095,6001337322,26,36049427,189,32,32,6908,129,675,624357,39,21490,36,153,141627146,1352,1,626,35,46,12,2136,675,626,7,19854711,4399478,1806390243,675,478,2,1,14,14,404,1,1808530224,1758115169,65828929,136035542,136051926,1,2,1,5985563848,73389,73389,14,14,14,136035542,9,3,514102,636565,1747045,13817,1808530224,624357,18108406,2279
175780.09,253952,62,105314,6938237294,28,39505911,247,32,32,6908,131,675,711559,39,25460,36,153,142158050,1352,1,626,35,46,12,2136,675,626,7,23411450,5226691,2081111249,675,478,2,1,14,14,404,1,2081946416,2032143107,74310998,157326489,157326489,1,2,1,6922365516,73389,73389,14,14,14,157326489,9,3,522714,725641,1870478,15903,2081946416,711559,21541838,2279
177793.21,253952,62,117218,7722625070,30,43020847,264,34,34,6908,133,675,768555,39,28817,36,153,142423502,1352,1,626,35,48,12,2136,675,626,7,26001533,5427343,2307709559,675,478,2,1,14,14,404,1,2311060272,2261365822,80774612,175158697,175158697,1,2,1,7706261772,73389,73389,14,14,14,175142313,9,3,534385,784046,1959466,17651,2311060272,768555,24043041,2279
179803.74,253952,62,133188,8774809482,31,46831504,301,36,36,6908,135,675,871334,39,33287,36,153,142688954,1352,1,626,35,50,12,2136,675,626,7,30014290,6872850,2619294418,675,478,2,1,14,14,404,1,2618686256,2568924844,91195743,199074958,199074958,1,2,1,8759298152,73389,73389,14,14,14,199074958,9,3,546007,889021,2110656,19998,2618686256,871334,27904777,2279
