timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
822613.39,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
824616.81,253952,62,24298,1599838450,0,0,0,26,26,6527,118,675,116070,9,12,2651,41,43,140034434,1352,1,0,40,40,0,14,482,675,0,0,0,2175187,93,519575295,0,666,238,9,2,1,14,14,288,1,522189616,471429590,2310585,36008924,36008924,1,2,1,1584392656,73389,73389,14,14,14,36008924,5,3,452960,118093,759034,4003,522189616,116070,1416253,1384
826620.18,253952,62,47440,3124701574,0,0,0,26,26,6527,121,675,199127,9,12,9128,41,43,140565338,1352,1,0,40,40,0,14,482,675,0,0,0,6160052,170,964087190,0,666,238,9,2,1,14,14,288,1,968096560,917255985,10205389,70651499,70667883,1,2,1,3108665956,73389,73389,14,14,14,70651499,5,3,462480,203154,875747,7405,968096560,199127,5284582,1384
828623.54,253952,62,70424,4639475462,0,0,0,26,26,6527,125,675,279043,9,12,15617,41,43,141361694,1352,1,0,40,40,0,14,482,675,0,0,0,10115859,228,1407290578,0,666,238,9,2,1,14,14,288,1,1410464560,1360058283,16214191,105078923,105095307,1,2,1,4623472612,73389,73389,14,14,14,105078923,5,3,464756,285005,960660,10780,1410464560,279043,9155659,1384
830628.43,253952,62,93301,6146706094,0,0,0,26,26,6527,129,675,360379,9,12,22077,41,43,141892598,1352,1,0,40,40,0,14,482,675,0,0,0,14124368,290,1848918017,0,666,238,9,2,1,14,14,288,1,1851128624,1800647813,22344333,139346825,139346825,1,2,1,6131260300,73389,73389,14,14,14,139346825,5,3,465757,368413,1062915,14142,1851128624,360379,13062095,1384
832632.38,253952,62,106366,7007712070,24,25001862,58,26,26,6527,131,675,439238,9,12,25748,41,43,142158050,1352,1,0,40,40,0,14,482,675,0,0,0,17419918,385542,2102500734,0,666,238,9,2,1,14,14,288,1,2102393648,2052423798,199636002,158895035,158911419,1,2,1,6991381540,73389,73389,14,14,14,158895035,5,3,487011,449064,1221047,16059,2102393648,439238,16199634,1384
834640.74,253952,62,120102,7912692702,24,26167400,105,29,29,6527,133,675,527933,9,12,29606,41,43,142423502,1352,1,0,40,43,0,14,482,675,0,0,0,20725365,491655,2363706918,0,666,238,9,2,1,14,14,288,1,2366634800,2316917969,204492109,179475437,179491821,1,2,1,7896919228,73389,73389,14,14,14,179475437,5,3,498938,539637,1327215,18075,2366634800,527933,19399021,1384
836646.74,253952,62,134999,8894291534,25,30407560,175,29,29,6527,136,675,645124,9,12,33835,41,43,142942340,1352,1,0,40,43,0,14,482,675,0,0,0,25096148,874400,2652347409,0,666,238,9,2,1,14,14,288,1,2653420336,2603872690,213985921,201788225,201788225,1,2,1,8878681900,73389,73389,14,14,14,201788225,5,3,505676,659307,1477636,20263,2653420336,645124,23619535,1384
838650.28,253952,62,156010,10278376714,25,31013377,188,37,37,6527,139,675,730245,9,12,39725,41,43,143473244,1352,1,0,40,51,20,14,482,675,0,0,0,29159718,903506,3056713430,0,666,238,9,2,1,14,14,288,1,3057093584,3008405534,220253033,233248430,233248430,1,2,1,10262930920,73389,73389,14,14,14,233248430,5,3,509511,746658,1599309,23346,3057093584,730245,27561614,1384
840653.91,253952,62,177921,11722034118,27,33013579,192,37,37,6527,143,675,807266,9,12,45922,41,43,144004148,1352,1,0,40,51,20,14,482,675,0,0,0,33224395,903549,3475397622,0,666,238,9,2,1,14,14,288,1,3478883280,3430356131,236738796,266060315,266060315,1,2,1,11706653860,73389,73389,14,14,14,266060315,5,3,512464,825894,1693161,26564,3478883280,807266,31532610,1384
