timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1128149.26,0,0,19342,1273183870,0,3841,6,1,1,10832,117,630,127854,229,1810,16,0,129585812,1262,1,15,15,14,48,630,1984045,21,422441831,630,400,2,1,14,14,380,1,424050884,375593683,1988443,28610277,28626661,1,2,1,1258852188,73389,73389,14,14,14,28610277,5,3,371701,129973,815642,3253,424050884,127854,1168486,2023
1130153.01,253952,62,40776,2685580602,7,7006447,13,30,30,10832,120,675,245884,229,7253,45,44,140299886,1352,1,44,44,14,200,675,6264118,1193182,836607616,675,428,2,1,14,14,380,1,839908144,788926934,19030620,60676690,60676690,1,2,1,2669053464,73389,73389,14,14,14,60660306,5,3,488778,250505,1205335,6427,839908144,245884,5059014,2167
1132160.37,253952,62,57658,3798064750,7,7006447,13,30,30,10832,123,675,367341,229,12029,45,44,140830790,1352,1,44,44,14,200,675,10707940,3370414,1159028781,675,428,2,1,14,14,380,1,1164573488,1114087025,39493023,85964889,85964889,1,2,1,3781734220,73389,73389,14,14,14,85948505,5,3,514557,374341,1444252,8904,1164573488,367341,9264031,2167
1134167.32,253952,62,74462,4905437090,7,7006447,13,30,30,10832,126,675,495074,229,16822,45,44,141361694,1352,1,44,44,14,200,675,15241182,5311950,1483020226,675,428,2,1,14,14,380,1,1488190256,1437861553,58789626,111122016,111138400,1,2,1,4889368704,73389,73389,14,14,14,111122016,5,3,559230,504506,1737503,11373,1488190256,495074,13504130,2167
1136172.37,253952,62,93467,6157585070,7,7006447,13,30,30,10832,129,675,622704,229,22121,45,44,141892598,1352,1,44,44,14,200,675,20168728,6817745,1849498965,675,428,2,1,14,14,380,1,1854274352,1803861794,75050988,139592585,139592585,1,2,1,6142073740,73389,73389,14,14,14,139592585,5,3,580035,634753,1951906,14166,1854274352,622704,18217414,2167
1138176.33,253952,62,117421,7735928878,7,7006447,13,30,30,10832,133,675,701234,229,28874,45,44,142423502,1352,1,44,44,14,200,675,24427073,6817887,2311047785,675,428,2,1,14,14,380,1,2315123504,2265233423,81035064,175453609,175469993,1,2,1,7719958796,73389,73389,14,14,14,175453609,5,3,583351,715527,2057183,17682,2315123504,701234,22370672,2167
1140180.06,253952,62,142088,9361265306,7,7006447,13,30,30,10832,137,675,776043,229,35822,45,44,142942340,1352,1,44,44,14,200,675,28622275,6817975,2787011056,675,428,2,1,14,14,380,1,2789735216,2740347859,90685252,212393818,212410202,1,2,1,9345327992,73389,73389,14,14,14,212393818,5,3,588203,792482,2157651,21303,2789735216,776043,26465579,2167
1142183.76,253952,62,166618,10977564382,7,7006447,13,30,30,10832,141,675,862180,229,42728,45,44,144004148,1352,1,44,44,14,200,675,32746397,6818094,3258879414,675,428,2,1,14,14,380,1,3261565904,3212759093,99034752,249124909,249141293,1,2,1,10961495996,73389,73389,14,14,14,249124909,5,3,594973,880802,2274218,24906,3261565904,862180,30473316,2167
1144188.01,253952,62,191222,12598506590,7,7006447,13,30,30,10832,145,675,955345,229,49658,45,44,144535052,1352,1,44,44,14,200,675,36947454,6818191,3733135920,675,428,2,1,14,14,380,1,3735129040,3686606987,105121542,285977165,285977165,1,2,1,12582995260,73389,73389,14,14,14,285977165,5,3,598036,976146,2401824,28519,3735129040,955345,34546946,2167
1146191.54,253952,62,215797,14217813706,7,7006447,13,30,30,10832,149,675,1048952,229,56582,45,44,145065956,1352,1,44,44,14,200,675,41113211,6818276,4203856939,675,428,2,1,14,14,380,1,4208036816,4159868043,111132842,322778110,322794494,1,2,1,14202236840,73389,73389,14,14,14,322778110,5,3,600938,1071915,2512767,32127,4208036816,1048952,38601929,2167
