timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
35857.34,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
37862.37,0,0,17955,1181742468,0,0,0,0,1,1,5563,117,10,549,125863,5,1677,7,0,113102204,1100,1,0,6,15,5,681,549,0,0,0,1980035,15630,387445735,0,549,376,2,1,14,14,456,0,1,389710020,348518287,1996357,26582979,26582979,1,2,1,0,1168930180,73389,73389,14,14,14,26566595,10,3,340236,127862,842928,2991,389710020,125863,1137191,1672
39866.53,253952,62,37839,2492039562,5,7630448,0,31,14,14,5563,120,10,675,229387,5,6452,20,18,140299886,1352,1,0,19,28,5,871,675,0,0,0,5707558,531461,777746696,0,675,431,2,1,14,14,456,0,1,783285040,732367345,18583613,56278030,56278030,1,2,1,0,2476233320,73389,73389,14,14,14,56278030,10,3,489605,233583,1261158,5995,783285040,229387,4446603,2069
41870.35,253952,62,61110,4025622282,10,12707457,0,44,14,14,5563,124,10,675,314503,5,13020,20,18,141096242,1352,1,0,19,28,5,871,675,0,0,0,9773822,534643,1229327494,0,675,431,2,1,14,14,456,0,1,1231158064,1180578629,30129503,91131438,91147822,1,2,1,0,4009783272,73389,73389,14,14,14,91131438,10,3,493177,320783,1371282,9412,1231158064,314503,8402904,2069
43882.13,253952,62,71452,4707111922,13,16655327,0,76,17,17,5563,125,10,675,371094,5,15896,20,18,141361694,1352,1,0,19,31,5,871,675,0,0,0,11961841,730586,1429426426,0,675,431,2,1,14,14,456,0,1,1430518576,1379849575,38001200,106608668,106625052,1,2,1,0,4690781392,73389,73389,14,14,14,106608668,10,3,503188,378663,1455345,10933,1430518576,371094,10506953,2069
45891.31,253952,62,86156,5675796854,13,19528155,0,115,19,19,5563,128,10,675,487544,5,20088,20,18,141627146,1352,1,0,19,33,5,871,675,0,0,0,15810595,1538152,1711108653,0,675,431,2,1,14,14,456,0,1,1713240880,1662980200,45979288,128645087,128645087,1,2,1,0,5659662932,73389,73389,14,14,14,128628703,10,3,507508,497458,1602841,13090,1713240880,487544,14208353,2069
47909.31,253952,62,99856,6578418190,15,24226274,0,156,19,19,5563,130,10,675,606279,5,23918,20,18,141892598,1352,1,0,19,33,5,871,675,0,0,0,19935340,2319981,1975999352,0,675,431,2,1,14,14,456,0,1,1977088816,1926924718,55835307,149143569,149159953,1,2,1,0,6562317036,73389,73389,14,14,14,149143569,10,3,519986,618630,1754756,15103,1977088816,606279,18181306,2069
49913.51,253952,62,109674,7225566966,17,27399040,0,191,19,19,5563,132,10,675,667149,5,26703,20,18,142158050,1352,1,0,19,33,5,871,675,0,0,0,22375275,2356720,2166405623,0,675,431,2,1,14,14,456,0,1,2166356784,2116114215,61606502,163842559,163858943,1,2,1,0,7209072596,73389,73389,14,14,14,163842559,10,3,520541,680955,1822826,16547,2166356784,667149,20553260,2069
51919.91,253952,62,122802,8090436258,17,29075681,0,220,20,20,5563,134,10,675,769998,5,30395,20,18,142423502,1352,1,0,19,34,5,871,675,0,0,0,25908457,2749039,2418577993,0,675,431,2,1,14,14,456,0,1,2418801456,2368896238,67386784,183515808,183515808,1,2,1,0,8074695552,73389,73389,14,14,14,183515808,10,3,533260,785937,1954015,18473,2418801456,769998,23955376,2069
53927.63,253952,62,136656,9003415590,17,31274965,0,266,21,21,5563,136,10,675,892797,5,34286,20,18,142942340,1352,1,0,19,35,5,871,675,0,0,0,29872281,3217877,2685055514,0,675,431,2,1,14,14,456,0,1,2685532976,2635776466,74152374,204257891,204274275,1,2,1,0,8987347204,73389,73389,14,14,14,204257891,10,3,542379,911209,2107274,20508,2685532976,892797,27766078,2069
55933.79,253952,62,150766,9933172138,18,34038515,0,304,22,22,5563,138,10,675,1015878,5,38245,20,18,143207792,1352,1,0,19,36,5,871,675,0,0,0,34023002,3714072,2957032635,0,675,431,2,1,14,14,456,0,1,2956983088,2907560217,81721084,225384998,225401382,1,2,1,0,9916939912,73389,73389,14,14,14,225384998,10,3,547465,1036829,2231542,22579,2956983088,1015878,31792670,2069
57941.76,253952,62,164228,10819871534,18,38476226,0,345,23,23,5563,141,10,675,1145175,5,42078,20,18,143738696,1352,1,0,19,37,5,871,675,0,0,0,38030227,4350338,3215736031,0,675,431,2,1,14,14,456,0,1,3215428560,3166624485,90479681,245545449,245561833,1,2,1,0,10803999756,73389,73389,14,14,14,245545449,10,3,558997,1168470,2395676,24554,3215428560,1145175,35635891,2069
59949.09,253952,62,178662,11770861746,19,42245300,0,384,23,23,5563,143,10,675,1284652,5,46128,20,18,144004148,1352,1,0,19,37,5,871,675,0,0,0,42121710,4995802,3493876486,0,675,431,2,1,14,14,456,0,1,3493301200,3444602164,100174322,267164076,267180460,1,2,1,0,11755219344,73389,73389,14,14,14,267164076,10,3,569456,1310574,2577383,26674,3493301200,1284652,39545804,2069
61962.80,253952,62,193242,12731685666,22,47793799,0,427,26,26,5563,145,10,675,1412075,5,50210,20,18,144535052,1352,1,0,19,40,5,871,675,0,0,0,46210928,5712752,3772014930,0,675,431,2,1,14,14,456,0,1,3774057424,3725534043,111123668,288993536,289009920,1,2,1,0,12715715584,73389,73389,14,14,14,288993536,10,3,580766,1440487,2746685,28816,3774057424,1412075,43465858,2069
63971.62,253952,62,207671,13682613650,22,51301866,0,473,26,26,5563,148,10,675,1536299,5,54315,20,18,145065956,1352,1,0,19,40,5,871,675,0,0,0,50195951,6396541,4049755725,0,675,431,2,1,14,14,456,0,1,4051930064,4003440671,118882135,310610004,310626388,1,2,1,0,13666840176,73389,73389,14,14,14,310610004,10,3,590928,1567134,2911981,30936,4051930064,1536299,47285718,2069
65976.37,253952,62,221134,14569702954,24,55179537,0,522,27,27,5563,150,10,675,1654066,5,58143,20,18,145331408,1352,1,0,19,41,5,871,675,0,0,0,53773483,6937505,4312019594,0,675,431,2,1,14,14,456,0,1,4310666192,4262799819,127808435,330780806,330780806,1,2,1,0,14554355464,73389,73389,14,14,14,330780806,10,3,595665,1687035,3057090,32910,4310666192,1654066,50718254,2069
67982.38,253952,62,233301,15371326698,25,57767744,0,544,29,29,5563,152,10,675,1723222,5,61518,20,18,145596860,1352,1,0,19,43,5,871,675,0,0,0,56397245,6987360,4546077181,0,675,431,2,1,14,14,456,0,1,4544760784,4497079702,133234247,348989846,349006230,1,2,1,0,15355553224,73389,73389,14,14,14,348989846,10,3,606145,1757732,3161137,34696,4544760784,1723222,53238066,2069
69992.93,253952,62,248022,16341137808,25,60695099,0,585,30,30,5563,154,10,675,1860383,5,65648,20,18,145862312,1352,1,0,19,44,5,871,675,0,0,0,60490688,8034243,4828133974,0,675,431,2,1,14,14,456,0,1,4828400592,4780669383,141789842,371042649,371065066,1,2,1,0,16325876556,73389,73389,14,14,14,371042649,10,3,624555,1899858,3377617,36860,4828400592,1860383,57115151,2069
71999.49,253952,62,262900,17321744842,26,63861974,0,632,31,31,5563,157,10,675,2001007,5,69869,20,18,146393216,1352,1,0,19,45,5,871,675,0,0,0,64731803,8786137,5113729212,0,675,431,2,1,14,14,456,0,1,5114792912,5067285617,150500898,393320510,393336894,1,2,1,0,17306102440,73389,73389,14,14,14,393320510,10,3,637304,2043028,3570195,39045,5114792912,2001007,61163810,2069
74003.61,253952,62,273125,17995566770,29,68168000,0,665,31,31,5563,158,10,675,2064602,5,72711,20,18,146658668,1352,1,0,19,45,5,871,675,0,0,0,67012345,8804247,5312647239,0,675,431,2,1,14,14,456,0,1,5311531984,5264250974,157141255,408633900,408650284,1,2,1,0,17979891600,73389,73389,14,14,14,408633900,10,3,637784,2107926,3635113,40546,5311531984,2064602,63379524,2069
76010.24,253952,62,286575,18881112670,29,70672920,0,711,35,35,5563,161,10,675,2190196,5,76544,20,18,146658668,1352,1,0,19,49,5,871,675,0,0,0,70793712,9442132,5571416556,0,675,431,2,1,14,14,456,0,1,5569878859,5523088484,164434379,428757709,428774093,1,2,1,0,18865339196,73389,73389,14,14,14,428757709,10,3,655391,2235790,3792946,42521,5569878859,2190196,67003183,2069
