timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
921276.43,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
923282.05,0,0,19703,1296830300,0,0,0,1,1,8878,117,1,594,134406,33,1839,12,853,122489018,1190,1,11,15,10,922,594,1984797,3750,425718966,594,494,2,1,14,14,399,1,427196612,382439037,1988963,29167333,29167333,1,2,1,1282641756,73389,73389,14,14,14,29150949,10,3,373858,136503,798983,3277,427196612,134406,1185928,2071
925289.61,253952,62,35901,2364234438,0,5542565,33,8,8,8878,120,1,675,223315,33,5922,19,854,140299886,1352,1,18,22,10,1276,675,5536149,1202819,743286079,675,555,2,1,14,14,399,1,746060592,695018338,14600475,53359963,53376347,1,2,1,2347838372,73389,73389,14,14,14,53359963,10,3,486085,227527,1143228,5711,746060592,223315,4393179,2332
927299.59,253952,62,52389,3450897402,3,10420549,55,10,10,8878,122,1,675,316506,33,10534,19,854,140830790,1352,1,18,24,10,1276,675,9450407,2973101,1057903593,675,555,2,1,14,14,399,1,1063516976,1012605693,28122840,78074722,78074722,1,2,1,3435287768,73389,73389,14,14,14,78074722,10,3,496027,322997,1293681,8133,1063516976,316506,8157156,2332
929313.51,253952,62,68758,4529508196,6,14674241,83,13,13,8878,125,1,675,423503,33,15165,20,854,141361694,1352,1,19,27,10,1985,675,13444257,4960610,1375659858,675,555,2,1,14,14,399,1,1378745136,1327962355,41586065,102586840,102586840,1,2,1,4513100064,73389,73389,14,14,14,102570456,10,3,518282,433045,1468900,10538,1378745136,423503,11975959,2332
931318.94,253952,62,90588,5967845118,8,17272774,88,17,17,8878,128,1,675,504737,33,21281,21,854,141627146,1352,1,20,31,10,1990,675,17588580,5191455,1796971889,675,555,2,1,14,14,399,1,1798699824,1748381652,51388565,135267653,135284037,1,2,1,5951776732,73389,73389,14,14,14,135267653,10,3,527954,516559,1584871,13742,1798699824,504737,16004474,2332
933326.51,253952,62,106743,7032419142,12,24724966,125,18,18,8878,131,1,675,600853,33,25852,21,854,142158050,1352,1,20,32,10,1990,675,21471479,6803453,2108829457,675,555,2,1,14,14,399,1,2109733680,2059660882,75665034,159468475,159468475,1,2,1,7015892004,73389,73389,14,14,14,159452091,10,3,542245,614836,1766367,16115,2109733680,600853,19706036,2332
935336.15,253952,62,122959,8100725410,12,27540903,154,18,18,8878,134,1,675,692950,33,30452,21,854,142423502,1352,1,20,32,10,1990,675,25446458,8481949,2419783879,675,555,2,1,14,14,399,1,2421553968,2371821132,87031925,183745184,183761568,1,2,1,8084788096,73389,73389,14,14,14,183745184,10,3,557157,709192,1922310,18494,2421553968,692950,23525261,2332
937340.75,253952,62,134576,8866569806,16,32749536,192,18,18,8878,136,1,675,750353,33,33716,21,854,142942340,1352,1,20,32,10,1990,675,28086127,8724105,2646646720,675,555,2,1,14,14,399,1,2645424944,2595792151,95360973,201149249,201149249,1,2,1,8850566956,73389,73389,14,14,14,201149249,10,3,560834,767983,2004543,20202,2645424944,750353,26082810,2332
939345.25,253952,62,150810,9936055722,16,34074400,204,24,24,8878,138,1,675,810653,33,38255,21,854,143207792,1352,1,20,38,10,1990,675,31212820,8774648,2957943688,675,555,2,1,14,14,399,1,2957507376,2908403751,101089784,225466918,225466918,1,2,1,9920544392,73389,73389,14,14,14,225466918,10,3,575349,829888,2089590,22583,2957507376,810653,29124582,2332
941349.83,253952,62,172821,11385942354,16,34074400,204,24,24,8878,142,1,675,896161,33,44474,21,854,144004148,1352,1,20,38,10,1990,675,35200560,8774701,3379087832,675,555,2,1,14,14,399,1,3380579280,3332081543,108536702,258424100,258424100,1,2,1,11370660400,73389,73389,14,14,14,258424100,10,3,578194,917584,2197775,25814,3380579280,896161,33004304,2332
943353.57,253952,62,195290,12866434298,18,36074545,206,24,24,8878,146,1,675,981854,33,50822,21,854,144535052,1352,1,20,38,10,1990,675,39212018,8774747,3813375039,675,555,2,1,14,14,399,1,3813247952,3764881437,124677788,292069410,292069410,1,2,1,12850333144,73389,73389,14,14,14,292053026,10,3,586837,1005288,2302524,29115,3813247952,981854,36911197,2332
945357.27,253952,62,218060,14366918030,18,36074545,206,25,25,8878,149,1,675,1069885,33,57197,21,854,145065956,1352,1,20,39,10,1990,675,43223637,8774818,4251464163,675,555,2,1,14,14,399,1,4251683792,4203540846,130735715,326171313,326171313,1,2,1,14350816876,73389,73389,14,14,14,326154929,10,3,592171,1095332,2418245,32460,4251683792,1069885,40807285,2332
947360.88,253952,62,240558,15849310518,18,36074545,206,26,26,8878,153,1,675,1155874,33,63554,21,854,145596860,1352,1,20,40,10,1990,675,47145923,8774935,4685226001,675,555,2,1,14,14,399,1,4684614608,4636832083,136630745,359865775,359865775,1,2,1,15833373204,73389,73389,14,14,14,359849391,10,3,596981,1183351,2534768,35763,4684614608,1155874,44613238,2332
949364.91,253952,62,262973,17326528970,18,36074545,206,26,26,8878,157,1,675,1241279,33,69887,21,854,146393216,1352,1,20,40,10,1990,675,51137447,8775002,5117282975,675,555,2,1,14,14,399,1,5116365776,5068684021,142725397,393435198,393435198,1,2,1,17311148712,73389,73389,14,14,14,393435198,10,3,601325,1270801,2661577,39057,5116365776,1241279,48478127,2332
951369.00,253952,62,285907,18837495154,18,36074545,206,26,26,8878,160,1,675,1327929,33,76307,21,854,146658668,1352,1,20,40,10,1990,675,55128222,8775270,5558980726,675,555,2,1,14,14,399,1,5557623182,5510360002,148766095,427776828,427776828,1,2,1,18822180432,73389,73389,14,14,14,427776828,10,3,603765,1359411,2767162,42425,5557623182,1327929,52363482,2332
953372.75,253952,62,308674,20337356294,18,36074545,206,26,26,8878,164,1,675,1413159,33,82739,21,854,147455024,1352,1,20,40,10,1990,675,59085944,8775399,5995825134,675,555,2,1,14,14,399,1,5995338571,5948785807,154782455,461862347,461878731,1,2,1,20321943268,73389,73389,14,14,14,461862347,10,3,605466,1446609,2865818,45767,5995338571,1413159,56222725,2332
955376.60,253952,62,330447,21771583374,18,36074545,206,26,26,8878,169,1,675,1491016,33,88952,21,854,148251380,1352,1,20,40,10,1990,675,63058243,8775514,6415590040,675,555,2,1,14,14,399,1,6413751657,6367907263,160584806,494461240,494483657,1,2,1,21756294560,73389,73389,14,14,14,494461240,10,3,608767,1526583,2971274,48966,6413751657,1491016,60089746,2332
957379.78,253952,62,352597,23230683020,20,39061069,214,26,26,8878,173,1,675,1563619,33,95251,21,854,148782284,1352,1,20,40,10,1990,675,67151813,8775805,6841035335,675,555,2,1,14,14,399,1,6839414794,6794486626,221230349,527631414,527631414,1,2,1,23215782216,73389,73389,14,14,14,527631414,10,3,620006,1601255,3091382,52220,6839414794,1563619,64063389,2332
959383.06,253952,62,374708,24687552544,20,39061069,214,27,27,8878,178,1,675,1639266,33,101557,21,854,149844092,1352,1,20,41,10,1990,675,71142197,8776047,7265483565,675,555,2,1,14,14,399,1,7264475971,7220260835,227218880,560742085,560758469,1,2,1,24672651740,73389,73389,14,14,14,560742085,10,3,623583,1678880,3202946,55469,7264475971,1639266,67942370,2332
961386.63,253952,62,395889,26081435356,20,39061069,215,27,27,8878,185,1,675,1714245,33,107707,21,854,150905900,1352,1,20,41,10,1990,675,75181993,8776111,7670925293,675,555,2,1,14,14,399,1,7668832109,7627622615,233247880,592415282,592431666,1,2,1,26066272408,73389,73389,14,14,14,592415282,10,3,627470,1755905,3289442,58575,7668832109,1714245,71895847,2332
