timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
63450.01,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
65455.37,1,253952,62,26393,1738511894,3,4875726,0,156,12,12,1139,220,1,567,249596,0,26,10338,17,101650177,1136,1,0,4,2518,32707876,7,130702296,16,26,4,8861,567,0,0,15031769,443945,581848077,0,567,564,0,3,1,14,14,3186,3,582236939,550043588,20339766,33256412,33272796,1,3,1,1729333456,73389,73389,14,14,14,33256416,8,3,106838,254879,523596,4868,582236939,249596,14508715,2131
67461.04,1,253952,62,45827,3017495822,8,10468787,0,233,13,13,1139,349,1,567,359443,0,26,17981,17,104147839,1136,1,0,4,2518,56951529,7,227741512,16,27,4,8861,567,0,0,22888010,444320,982927770,0,567,564,0,3,1,14,14,3186,3,982757786,952882814,33789485,57844861,57844861,1,3,1,3007932804,73389,73389,14,14,14,57844865,8,3,115643,367439,656590,8207,982757786,359443,22232257,2131
69468.97,3,253952,62,73448,4837040960,8,11810063,0,368,17,17,1139,532,1,576,595422,0,26,28877,17,107785004,1154,1,0,4,2518,91494193,7,365847440,16,31,4,8861,576,0,0,37664291,645504,1555459603,0,576,572,0,3,1,14,14,3186,3,1554484863,1525856653,50100192,92833659,92850043,1,3,1,4827350300,73389,73389,14,14,14,92833663,8,3,142344,608564,945228,12953,1554484863,595422,36720471,2158
71476.04,4,253952,62,101440,6681985894,8,14111597,0,525,17,17,1139,697,1,576,841973,0,26,39891,17,111706454,1154,1,0,4,2518,126477592,7,505781180,16,31,4,8861,576,0,0,53157294,926762,2133853022,0,576,572,0,3,1,14,14,3186,3,2133256118,2106353508,68141972,128315692,128346301,1,3,1,6672416016,73389,73389,14,14,14,128315696,8,3,154567,860594,1260727,17723,2133256118,841973,51898528,2158
73480.13,4,253952,62,124870,8226181894,12,19241991,0,617,17,17,1139,858,2,585,1009878,0,26,49056,17,115569514,1172,1,0,4,2518,155521925,7,621967048,16,31,4,8861,585,0,0,64324651,1041894,2624338290,0,585,579,0,3,1,14,14,3186,3,2622780368,2592973275,84556016,158000392,158000392,1,3,1,8216020416,73389,73389,14,14,14,158000396,8,3,164543,1032463,1466550,21805,2622780368,1009878,62860493,2188
75492.97,4,253952,62,149308,9837487924,13,21373629,0,726,23,23,1139,1010,3,585,1203402,0,26,58756,17,118380892,1172,1,0,4,2518,186241599,7,744901912,16,37,4,8861,585,0,0,76963117,1225540,3129544122,0,585,579,0,3,1,14,14,3186,3,3128200281,3100057238,99367623,188997527,188997527,1,3,1,9827871436,73389,73389,14,14,14,188997531,8,3,181653,1230481,1723164,25988,3128200281,1203402,75242856,2188
77498.08,8,253952,62,174988,11527052506,14,24076562,0,840,23,23,1139,1177,14,594,1409660,0,26,68779,17,120169637,1190,1,0,4,2518,218090817,7,872233924,16,37,4,8861,594,0,0,90340634,1409927,3666883743,0,594,586,0,3,1,14,14,3186,3,3663854256,3632574238,115699028,221449852,221449852,1,3,1,11515392336,73389,73389,14,14,14,221449856,8,3,193781,1441436,1986825,30432,3663854256,1409660,88357214,2220
79509.16,11,253952,62,196507,12945324634,19,29621224,0,941,27,27,1139,1316,14,603,1564232,0,26,77317,17,121611692,1208,1,0,4,2518,245129989,7,980390608,16,41,4,8861,603,0,0,100398504,1503774,4118987478,0,603,591,0,3,1,14,14,3186,3,4116503282,4079204721,131423671,248711879,248711879,1,3,1,12933017740,73389,73389,14,14,14,248711883,8,3,216875,1599505,2204852,34191,4116503282,1564232,98197442,2246
81523.66,15,253952,62,223214,14706574646,19,30510067,0,1111,27,27,1139,1489,14,612,1805938,0,26,87831,17,123738149,1226,1,0,4,2518,278405527,7,1113557524,16,41,4,8861,612,0,0,115283021,1855424,4680862506,0,612,602,0,3,1,14,14,3186,3,4679122017,4634106183,147524935,282543002,282575770,1,3,1,14689680232,73389,73389,14,14,14,282493854,8,3,224256,1846420,2473387,38858,4679122017,1805938,112813950,2293
83533.71,16,253952,62,249197,16419550656,19,31501519,0,1262,28,28,1139,1657,14,639,2040564,2,26,98063,17,128804760,1280,1,0,4,2518,310850393,7,1243337024,16,42,4,8861,639,0,0,130229823,2151853,5233908273,0,637,631,2,3,1,14,14,3186,3,5230639229,5174812411,163726182,315401436,315401436,1,3,1,16400874704,73389,73389,14,14,14,315401440,8,3,244467,2086283,2806863,43430,5230639229,2040564,127427794,2393
85546.38,21,253952,62,279930,18443080024,19,33448489,0,1447,30,30,1139,1851,15,675,2334375,2,26,110096,17,135427649,1352,1,0,4,2518,349024217,7,1396032396,16,44,4,8861,675,0,0,148397724,2641704,5903351012,0,673,680,2,3,1,14,14,3186,3,5899218710,5814229800,184345667,354152521,354168905,1,3,1,18415079156,73389,73389,14,14,14,354136141,8,3,266800,2386748,3159515,48965,5899218710,2334375,145243629,2531
87554.54,23,253952,62,303683,20007856104,22,38548483,0,1600,30,30,1139,2003,15,783,2552393,2,26,119374,17,154090628,1568,1,0,4,2518,378463611,7,1513725324,16,44,4,8861,783,0,0,162223937,3108472,6424109548,0,781,791,2,3,1,14,14,3186,3,6418713044,6309477382,203457342,384060564,384093332,1,3,1,19971149360,73389,73389,14,14,14,384060568,8,3,282705,2609715,3454940,53286,6418713044,2552393,158774897,2922
89559.35,23,253952,62,325522,21445890122,22,40252274,0,1726,30,30,1139,2143,15,891,2744096,2,26,127892,17,173716035,1784,1,0,4,2518,405459772,7,1621774500,16,44,4,8861,891,0,0,174271977,3372085,6925326335,0,889,883,2,3,1,14,14,3186,3,6919367775,6766246619,217701222,411472206,411488590,1,3,1,21395702776,73389,73389,14,14,14,411455826,8,3,293700,2805913,3692531,57444,6919367775,2744096,170585770,3298
91572.14,24,253952,62,342544,22567175908,26,45760984,0,1788,34,34,1139,2248,15,1017,2861777,4,26,134535,17,196020792,2036,1,0,4,2518,426490244,7,1705960976,16,48,4,8861,1017,0,0,181941959,3390765,7331494401,0,1013,970,4,3,1,14,14,3186,3,7327178573,7123297971,230903952,432754961,432771345,1,3,1,22501554068,73389,73389,14,14,14,432722197,8,3,317993,2926358,3858787,60817,7327178573,2861777,178089803,3628
93578.62,27,253952,62,368644,24286783730,26,47630418,0,1939,36,36,1139,2413,21,1035,3127217,6,26,144702,17,199938149,2072,1,0,4,2518,458751031,7,1834874780,16,50,4,8861,1035,0,0,197542380,3839288,7941558466,0,1029,995,6,3,1,14,14,3186,3,7935962341,7669795476,248795666,465507343,465507343,1,3,1,24205529900,73389,73389,14,14,14,465490963,8,3,346679,3197488,4239665,65857,7935962341,3127217,193309861,3699
95588.28,28,253952,62,399313,26307104890,26,50718219,0,2128,37,37,1139,2613,21,1296,3450363,6,26,156633,17,246285835,2594,1,0,4,2518,496595756,7,1986253940,16,51,4,8861,1296,0,0,215919291,4119652,8664222524,0,1290,1223,6,3,1,14,14,3186,3,8659801264,8312933784,270424690,503875749,503941285,1,3,1,26199835044,73389,73389,14,14,14,503842985,8,3,364614,3527364,4660577,71851,8659801264,3450363,211266452,4671
97593.30,28,253952,62,427109,28137526740,29,55235092,0,2273,37,37,1139,2784,21,1413,3708275,6,26,167382,17,268399282,2828,1,0,4,2518,530781092,7,2122930788,16,51,4,8861,1413,0,0,230894510,4326654,9311741233,0,1407,1316,6,3,1,14,14,3186,3,9304346945,8894271144,290178617,538792534,538808918,1,3,1,28017211800,73389,73389,14,14,14,538792538,8,3,384292,3790989,4983466,77159,9304346945,3708275,225919323,5076
