timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
493665.61,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0
495679.07,1,253952,62,10433,686620862,3,4590612,65,8,8,3940,123,0,567,108502,0,14,4070,14,97909717,1136,1,0,4,3756,12814062,6,51191676,13,22,6,4702,567,0,0,5987621,365508,245977477,0,567,590,0,12,1,3,1,14,14,4335,3,246258307,219147846,10919416,13014041,13014041,1,3,1,676730164,73389,73389,14,14,14,13014045,15,3,73500,110550,274991,2103,246258307,108502,5712835,1986
497685.03,1,253952,62,20960,1380234662,5,7593239,121,8,8,3940,168,7,567,184039,0,14,8184,14,101312329,1136,1,0,4,3756,25921857,6,103687428,13,22,6,4702,567,0,0,11304182,530113,467189416,0,567,590,0,12,1,3,1,14,14,4335,3,467156372,437196876,19394423,26373861,26373861,1,3,1,1371440804,73389,73389,14,14,14,26373865,15,3,81677,187984,387027,3884,467156372,184039,10917580,1986
499690.76,1,253952,62,31033,2042647198,6,8867019,145,10,10,3940,249,7,567,244377,0,14,12154,14,102000091,1136,1,0,4,3756,38475089,6,153900356,13,24,6,4702,567,0,0,15852109,531708,680021188,0,567,590,0,12,1,3,1,14,14,4335,3,679555832,646149678,25216444,39089116,39089116,1,3,1,2032634064,73389,73389,14,14,14,39089120,15,3,86503,249927,453003,5680,679555832,244377,15399724,1986
501702.46,1,253952,62,40500,2667094488,8,11303206,191,12,12,3940,327,7,567,304946,0,14,15920,14,104147839,1136,1,0,4,3756,50336352,6,201345408,13,26,6,4702,567,0,0,20302115,555501,871779742,0,567,590,0,12,1,3,1,14,14,4335,3,872022443,842643461,32121743,51086905,51119673,1,3,1,2656519092,73389,73389,14,14,14,51086909,15,3,98588,311998,555974,7314,872022443,304946,19746935,1986
503710.77,1,253952,62,51708,3405724416,8,12997206,255,12,12,3940,381,8,567,403864,0,14,20318,14,106343851,1136,1,0,4,3756,64346645,6,257386580,13,26,6,4702,567,0,0,26569205,705039,1108861021,0,567,590,0,12,1,3,1,14,14,4335,3,1109142557,1075236357,40236214,65296534,65312918,1,3,1,3395419800,73389,73389,14,14,14,65296538,15,3,105788,413156,684964,9244,1109142557,403864,25885140,1986
505718.20,2,253952,62,63154,4159312414,8,14353224,343,12,12,3940,471,8,567,506436,0,14,24834,14,108262345,1136,1,0,4,3756,78667741,6,314542000,13,26,6,4702,567,0,0,32991040,983503,1341201909,0,567,590,0,12,1,3,1,14,14,4335,3,1340620769,1312426314,48275603,79805393,79805393,1,3,1,4149880468,73389,73389,14,14,14,79805397,15,3,115951,517963,826574,11200,1340620769,506436,32165723,1986
507730.93,2,253952,62,75167,4952207072,8,15431176,438,12,12,3940,526,8,567,612525,0,14,29562,14,111037525,1136,1,0,4,3756,93700776,6,374738644,13,26,6,4702,567,0,0,39696993,1249098,1594909829,0,567,590,0,12,1,3,1,14,14,4335,3,1593836238,1561907519,56283933,95052803,95052803,1,3,1,4942745788,73389,73389,14,14,14,95052807,15,3,122314,626400,963335,13254,1593836238,612525,38735163,1986
509735.02,2,253952,62,85849,5655098134,9,17079810,485,12,12,3940,600,8,567,687832,0,14,33742,14,113221471,1136,1,0,4,3756,107007554,6,427900992,13,26,6,4702,567,0,0,44753367,1308230,1813093515,0,567,590,0,12,1,3,1,14,14,4335,3,1811681654,1783355215,63059514,108566556,108566556,1,3,1,5645460944,73389,73389,14,14,14,108566560,15,3,129001,703488,1063368,15072,1811681654,687832,43691697,1986
511749.54,2,253952,62,97224,6404346792,10,18432829,536,15,15,3940,678,8,567,768967,0,14,38241,14,114198817,1136,1,0,4,3756,121230203,6,484791576,13,29,6,4702,567,0,0,50429822,1469404,2047585889,0,567,590,0,12,1,3,1,14,14,4335,3,2046198694,2019137269,70240973,122974952,122991336,1,3,1,6394697536,73389,73389,14,14,14,122974956,15,3,136130,786647,1161401,17029,2046198694,768967,49270346,1986
