timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
155175.53,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
157185.21,3,253952,62,43907,2891690834,1,2857635,191,15,15,1383,332,3,567,399854,0,21,17225,30,107007481,1136,1,0,4,7096,54606344,10,218037528,29,29,0,14,5522,567,0,0,24994302,707752,941288297,0,567,531,0,3,1,14,14,7763,3,942455599,913152282,28588145,55420029,55436413,1,3,1,2881841540,73389,73389,14,14,14,55420033,8,3,118644,408850,721700,7870,942455599,399854,24273454,2128
159190.47,8,253952,62,88097,5803689992,2,5833142,401,16,16,1383,617,4,567,783206,0,21,34599,31,111061657,1136,1,0,4,7096,109648812,10,438530680,30,30,0,14,5531,567,0,0,50106227,1324104,1859060846,0,567,531,0,3,1,14,14,7763,3,1859175333,1829906568,57203997,111408736,111441504,1,3,1,5792402336,73389,73389,14,14,14,111392356,8,3,134788,801726,1189519,15484,1859175333,783206,48918422,2128
161194.51,12,253952,62,127787,8418581138,6,13238664,512,20,20,1383,870,4,576,1039364,0,21,50231,31,113790231,1154,1,0,4,7096,159299116,10,637067112,30,34,0,14,5531,576,0,0,67909698,1325076,2684145237,0,576,534,0,3,1,14,14,7763,3,2683798921,2653395754,82471293,161686348,161719116,1,3,1,8406838160,73389,73389,14,14,14,161669968,8,3,167919,1064117,1529329,22323,2683798921,1039364,66382879,2155
163199.22,12,253952,62,173728,11445193758,9,19909086,673,23,23,1383,1174,8,621,1360499,6,21,68303,33,121323414,1244,1,0,4,7096,216571366,10,866229244,32,37,0,14,5552,621,0,0,89757612,1370581,3639249876,0,615,570,6,3,1,14,14,7763,3,3638096283,3606368601,111026812,219890769,219907153,1,3,1,11433468052,73389,73389,14,14,14,219874389,8,3,190503,1392861,1942895,30269,3638103387,1360503,87818086,2288
165208.21,15,253952,62,219527,14462838472,13,25918372,824,29,29,1383,1464,9,684,1708093,10,21,86319,33,134220951,1370,1,0,4,7096,273597412,10,1094195808,32,43,0,14,5552,684,0,0,112369233,1597880,4631400191,0,674,620,10,3,1,14,14,7763,3,4629984396,4560181532,139884018,277663803,277712955,1,3,1,14437665820,73389,73389,14,14,14,277647423,8,3,228586,1748503,2393218,38469,4629984396,1708093,109980257,2486
167215.98,18,253952,62,293598,19341211736,14,30428563,1153,37,37,1383,1937,9,765,2400155,10,21,115319,40,151504112,1532,1,0,4,7096,365666701,10,1462084164,39,51,0,14,8223,765,0,0,153594061,2321865,6245383125,0,755,693,10,3,1,14,14,7763,3,6244404535,6102411967,186395757,371045882,371109259,1,3,1,19294385896,73389,73389,14,14,14,371045886,8,3,265994,2459839,3234638,51888,6244404535,2400155,150365117,2775
169225.08,21,253952,62,339010,22333830864,28,47061680,1391,38,38,1383,2234,10,846,2822625,10,21,133145,40,165673293,1694,1,0,4,7096,422143479,10,1688444624,39,52,0,14,8223,846,0,0,178912329,2987326,7229221057,0,836,762,10,3,1,14,14,7763,3,7224021143,7047558363,228822354,428426785,428443169,1,3,1,22276488916,73389,73389,14,14,14,428394021,8,3,281186,2891825,3715006,60020,7224021143,2822625,175203915,3056
171231.77,21,253952,62,360862,23774092218,31,51734882,1515,38,38,1383,2371,11,846,3017779,10,21,141760,40,165673293,1694,1,0,4,7096,449483587,10,1797805264,39,52,0,14,8223,846,0,0,191143801,3400687,7682554011,0,836,762,10,3,1,14,14,7763,3,7676539860,7501064415,246274125,456125147,456125147,1,3,1,23718507676,73389,73389,14,14,14,456125151,8,3,287205,3091458,3924952,63761,7676539860,3017779,187225868,3056
173235.77,21,253952,62,378927,24964889744,34,55314563,1603,38,38,1383,2488,11,846,3133198,10,21,148848,40,165673293,1694,1,0,4,7096,471987154,10,1887883876,39,52,0,14,8223,846,0,0,199520087,3415473,8057983344,0,836,762,10,3,1,14,14,7763,3,8051423123,7876119275,258239930,479015249,479015249,1,3,1,24908792980,73389,73389,14,14,14,479015253,8,3,567062,3209704,4533056,66871,8051423123,3133198,194994374,3056
