timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
194373.29,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
196381.76,0,253952,62,18632,1226496452,1,2411665,0,109,7,7,1888,176,0,576,173481,0,8,7303,13,101269364,1154,1,0,4,2413,23030527,8,92122108,12,21,5,4652,576,0,0,10164869,288638,416843805,0,576,515,0,3,1,14,14,2982,3,417634245,389048191,12803252,23392417,23408801,1,3,1,1216405716,73389,73389,14,14,14,23392421,9,3,91552,180433,369916,3528,417634245,173481,9795332,1826
198387.18,0,253952,62,35062,2308851556,3,5478248,0,199,7,7,1888,273,0,576,290542,0,8,13752,13,104322062,1154,1,0,4,2413,43555818,8,174223272,12,21,5,4652,576,0,0,18124451,387614,762772579,0,576,515,0,3,1,14,14,2982,3,762488061,729850645,23948099,44210387,44210387,1,3,1,2298940156,73389,73389,14,14,14,44210391,9,3,97136,300643,517123,6365,762488061,290542,17608006,1826
200399.10,1,253952,62,50376,3318394266,4,7130288,0,285,9,9,1888,370,0,576,394883,0,8,19793,13,106192292,1154,1,0,4,2413,62673583,8,250694332,12,23,5,4652,576,0,0,25458244,419118,1075615185,0,576,515,0,3,1,14,14,2982,3,1075584868,1047599910,32966604,63617174,63633558,1,3,1,3307241112,73389,73389,14,14,14,63600794,9,3,105629,407750,665881,8970,1075584868,394883,24793303,1826
202406.93,1,253952,62,68089,4485169662,4,8713945,0,389,10,10,1888,500,2,594,540690,0,8,26779,13,111771122,1190,1,0,4,2413,84794535,8,339049052,12,24,5,4652,594,0,0,35266283,551876,1445276297,0,594,532,0,3,1,14,14,2982,3,1444243699,1415197844,44468562,86052842,86052842,1,3,1,4474747816,73389,73389,14,14,14,86052846,9,3,115891,557144,854668,12062,1444243699,540690,34412910,1888
204415.51,1,253952,62,86200,5678004498,4,10257213,0,511,10,10,1888,599,2,594,692152,0,8,33885,13,113629286,1190,1,0,4,2413,107384859,8,429474592,12,24,5,4652,594,0,0,45545750,789458,1824614438,0,594,532,0,3,1,14,14,2982,3,1824140596,1790719487,56487377,108982189,108998573,1,3,1,5666221892,73389,73389,14,14,14,108965809,9,3,127068,712346,1024581,15171,1824140596,692152,44522821,1888
206425.75,7,253952,62,103375,6809509704,4,11757424,0,633,10,10,1888,718,2,594,839632,0,8,40666,13,115185800,1190,1,0,4,2413,128861179,8,515380092,12,24,5,4652,594,0,0,55561301,1092615,2180215417,0,594,532,0,3,1,14,14,2982,3,2178216475,2147027286,68297017,130748272,130748272,1,3,1,6798910176,73389,73389,14,14,14,130748276,9,3,135916,863492,1211060,18129,2178216475,839632,54352238,1888
208439.67,8,253952,62,119292,7858015586,5,13646469,0,763,11,11,1888,824,2,603,975560,0,8,46921,13,118880973,1208,1,0,4,2413,148702225,8,594614972,12,25,5,4652,603,0,0,64577471,1305244,2512734242,0,603,543,0,3,1,14,14,2982,3,2511331523,2477286838,79389542,150888465,150904849,1,3,1,7846200212,73389,73389,14,14,14,150888469,9,3,150000,1002787,1399108,20895,2511331523,975560,63180697,1918
210450.17,9,253952,62,136519,8994183528,5,15308621,0,865,11,11,1888,932,2,603,1136843,0,8,53726,13,121076985,1208,1,0,4,2413,170250490,8,681001960,12,25,5,4652,603,0,0,74684371,1564389,2870230646,0,603,543,0,3,1,14,14,2982,3,2867979223,2834948466,91397798,172744216,172760600,1,3,1,8982699264,73389,73389,14,14,14,172744220,9,3,155790,1167815,1602465,23844,2867979223,1136843,73084581,1918
212461.06,16,253952,62,151903,10008036240,5,16906959,0,980,11,11,1888,1022,2,603,1282823,0,8,59755,13,122295651,1208,1,0,4,2413,189467315,8,757610868,12,25,5,4652,603,0,0,84107503,1797759,3190164126,0,603,543,0,3,1,14,14,2982,3,3187589116,3154379551,102614500,192235082,192235082,1,3,1,9996224296,73389,73389,14,14,14,192235086,9,3,165397,1317121,1779036,26482,3187589116,1282823,82331447,1918
