timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
380170.33,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
382177.90,3,253952,62,61524,4052512866,29,32216416,283,48,48,316,447,1,567,608646,2,19,24168,54,112630237,1136,1,0,4,2366,76564488,7,306193280,53,62,69,5,8046,567,0,0,37349135,2172752,1306171615,0,565,440,2,3,1,14,14,3005,3,1308771537,1278816964,71864903,77708241,77773777,1,3,1,4039976596,73389,73389,14,14,14,77691861,11,3,186924,621441,1077725,10901,1308771537,608646,36272630,9816
384184.15,9,253952,62,105328,6939239260,35,40692391,514,49,49,316,729,2,576,1024839,2,19,41338,54,116544920,1154,1,0,4,2366,131115517,7,524397476,53,63,69,5,8046,576,0,0,63613734,2856164,2215974752,0,574,448,2,3,1,14,14,3005,3,2215200076,2187325936,107347533,133246388,133262772,1,3,1,6928812208,73389,73389,14,14,14,133246392,11,3,208270,1046712,1599478,18427,2215200076,1024839,62016353,9849
386194.01,12,253952,62,132771,8747432706,40,49281012,677,49,49,316,908,4,576,1284957,2,19,52178,54,116544920,1154,1,0,4,2366,165471469,7,661756460,53,63,69,5,8046,576,0,0,79452958,3490158,2787399749,0,574,448,2,3,1,14,14,3005,3,2785025908,2756683888,132370852,168028227,168028227,1,3,1,8737467836,73389,73389,14,14,14,168028231,11,3,215632,1312499,1928410,23165,2785025908,1284957,77527198,9849
388207.54,14,253952,62,158528,10445144522,41,52787507,829,50,50,316,1070,4,576,1520477,2,19,62316,54,116858636,1154,1,0,4,2366,197631645,7,790397380,53,64,69,5,8046,576,0,0,94270950,4183067,3321599204,0,574,448,2,3,1,14,14,3005,3,3320146358,3291141525,151424693,200680146,200680146,1,3,1,10434515656,73389,73389,14,14,14,200663766,11,3,223840,1553297,2211313,27600,3320146358,1520477,92078216,9849
390217.16,17,253952,62,179897,11852830654,42,57291532,936,50,50,316,1212,4,585,1722418,2,19,70718,54,118671377,1172,1,0,4,2366,224276768,7,897042556,53,64,69,5,8046,585,0,0,106344578,4800254,3768876981,0,583,459,2,3,1,14,14,3005,3,3766490861,3734766842,168548060,227721433,227737817,1,3,1,11840662580,73389,73389,14,14,14,227705053,11,3,236721,1759695,2489851,31319,3766490861,1722418,103858305,9883
392227.71,20,253952,62,198470,13076034844,44,60361703,1057,51,51,316,1331,5,612,1904251,4,19,78004,54,123391371,1226,1,0,4,2366,247356114,7,989424456,53,65,69,5,8046,612,0,0,116926967,5268991,4172671283,0,608,487,4,3,1,14,14,3005,3,4169118171,4121305398,182644067,251160399,251160399,1,3,1,13060340780,73389,73389,14,14,14,251160403,11,3,246120,1945625,2731053,34670,4169118171,1904251,114199862,9991
394240.24,22,253952,62,215786,14217202936,45,63669985,1168,51,51,316,1441,6,621,2087233,4,19,84765,54,125493114,1244,1,0,4,2366,268805682,7,1075093552,53,65,69,5,8046,621,0,0,126778114,5809243,4561262532,0,617,496,4,3,1,14,14,3005,3,4557871961,4482740432,196320207,272965283,272965283,1,3,1,14194194748,73389,73389,14,14,14,272965287,11,3,256713,2132522,2957587,37894,4557871961,2087233,123824812,10030
396255.49,23,253952,62,231226,15232731100,45,66341703,1268,51,51,316,1536,6,648,2252436,6,19,90777,54,130247897,1298,1,0,4,2366,287887410,7,1151355720,53,65,69,5,8046,648,0,0,135635420,6290334,4902837787,0,642,528,6,3,1,14,14,3005,3,4898515257,4804438595,207662481,292368640,292368640,1,3,1,15202317344,73389,73389,14,14,14,292352260,11,3,262419,2301113,3170392,40714,4898515257,2252436,132468615,10126
398262.48,26,253952,62,245655,16183960490,46,68690511,1358,51,51,316,1631,6,684,2415416,6,19,96405,54,137194732,1370,1,0,4,2366,305667587,7,1222605568,53,65,69,5,8046,684,0,0,143789580,6609979,5233057912,0,678,565,6,3,1,14,14,3005,3,5229106937,5106583778,219008871,310466866,310483250,1,3,1,16144277064,73389,73389,14,14,14,310466870,11,3,270284,2467429,3359537,43461,5229106937,2415416,140434927,10267
400268.10,27,253952,62,257330,16952112976,48,71555782,1421,51,51,316,1703,6,720,2505539,6,19,100950,54,143503687,1442,1,0,4,2366,320125754,7,1280438400,53,65,69,5,8046,720,0,0,149150161,6619157,5495356794,0,714,594,6,3,1,14,14,3005,3,5491187204,5350059624,227340472,325147757,325147757,1,3,1,16907683396,73389,73389,14,14,14,325147761,11,3,274740,2559746,3475617,45630,5491187204,2505539,145679651,10385
402282.71,27,253952,62,269231,17736750586,48,73334574,1493,53,53,316,1779,6,729,2608144,6,19,105621,54,145955398,1460,1,0,4,2366,334954063,7,1339622332,53,67,69,5,8046,729,0,0,155232832,6708670,5765765302,0,723,605,6,3,1,14,14,3005,3,5761105560,5599102023,235267937,340106732,340106732,1,3,1,17685550096,73389,73389,14,14,14,340106736,11,3,325919,2664712,3671640,47866,5761105560,2608144,151566525,10420
404292.05,32,253952,62,282074,18584905202,48,75497419,1581,53,53,316,1861,6,747,2737461,8,19,110731,54,148896707,1496,1,0,4,2366,351056015,7,1404159440,53,67,69,5,8046,747,0,0,162485037,7068202,6052761464,0,739,625,8,3,1,14,14,3005,3,6047725991,5867923375,244973140,356303970,356303970,1,3,1,18527806472,73389,73389,14,14,14,356303974,11,3,330666,2797015,3827456,50236,6047725991,2737461,158663171,10486
406299.56,35,253952,62,294653,19412154254,48,78063805,1672,53,53,316,1939,6,747,2868903,8,19,115651,54,148920839,1496,1,0,4,2366,366622774,7,1466491096,53,67,69,5,8046,747,0,0,169523965,7527975,6336259980,0,739,625,8,3,1,14,14,3005,3,6331585513,6130023855,255008990,372095099,372111483,1,3,1,19348093212,73389,73389,14,14,14,372078719,11,3,336168,2931436,3989434,52580,6331585513,2868903,165540391,10486
408313.02,37,253952,62,306557,20195781872,48,80796723,1767,53,53,316,2020,7,792,2993941,8,19,120296,54,157017724,1586,1,0,4,2366,381345671,7,1525382684,53,67,69,5,8046,792,0,0,176265642,8066077,6610350137,0,784,676,8,3,1,14,14,3005,3,6605031919,6379006359,265065823,387029942,387029942,1,3,1,20123853080,73389,73389,14,14,14,386997178,11,3,344313,3059287,4143767,54857,6605031919,2993941,172127998,10652
410320.08,39,253952,62,317829,20939885100,49,83409276,1845,54,54,316,2089,7,828,3116365,8,19,124712,54,164255146,1658,1,0,4,2366,395348049,7,1581327788,53,68,69,5,8046,828,0,0,182642345,8604889,6871727128,0,820,717,8,3,1,14,14,3005,3,6865936158,6615172454,274585287,401183942,401200326,1,3,1,20861565016,73389,73389,14,14,14,401183946,11,3,350142,3184357,4287549,57019,6865936158,3116365,178361154,10786
412328.37,41,253952,62,329005,21675769742,50,85786491,1922,54,54,316,2156,7,900,3235704,8,19,129080,54,176951138,1802,1,0,4,2366,409235601,7,1636877724,53,68,69,5,8046,900,0,0,188961050,8947602,7130383318,0,892,806,8,3,1,14,14,3005,3,7124602697,6848669563,283580040,415203440,415219824,1,3,1,21590578912,73389,73389,14,14,14,415203444,11,3,357249,3306269,4423349,59155,7124602697,3235704,184544291,11064
414344.62,44,253952,62,340289,22418556000,50,87224295,2010,54,54,316,2231,7,999,3355233,8,19,133460,54,194299029,2000,1,0,4,2366,423126885,7,1692378336,53,68,69,5,8046,999,0,0,195308577,9262584,7394818496,0,991,932,8,3,1,14,14,3005,3,7388572962,7085000980,291643763,429331149,429347533,1,3,1,22325219780,73389,73389,14,14,14,429331153,11,3,362177,3428383,4575046,61358,7388572962,3355233,190740341,11452
416352.43,45,253952,62,352146,23199667212,50,88591350,2100,54,54,316,2304,7,1035,3481127,8,19,138098,54,200950524,2072,1,0,4,2366,437794848,7,1751179392,53,68,69,5,8046,1035,0,0,201869936,9380308,7670124178,0,1027,982,8,3,1,14,14,3005,3,7664272450,7333088634,299658290,444198927,444215311,1,3,1,23098344236,73389,73389,14,14,14,444198931,11,3,364839,3557002,4719011,63647,7664272450,3481127,197157974,11623
418366.58,45,253952,62,364786,24032537420,50,89543483,2193,55,55,316,2386,10,1053,3623871,8,19,143023,54,205516579,2108,1,0,4,2366,453386802,7,1813547208,53,69,69,5,8046,1053,0,0,209199511,9794438,7969666394,0,1045,1002,8,3,1,14,14,3005,3,7962919865,7598221893,308341968,460048671,460065055,1,3,1,23921678956,73389,73389,14,14,14,460032291,11,3,368521,3702813,4873564,66121,7962919865,3623871,204333264,11688
420376.09,46,253952,62,377463,24868380880,50,92052978,2284,55,55,316,2467,11,1089,3765577,8,19,147949,54,212138754,2180,1,0,4,2366,469037006,7,1876148024,53,69,69,5,8046,1089,0,0,216555847,10216320,8272019081,0,1081,1053,8,3,1,14,14,3005,3,8265538683,7864369139,318538373,475939375,475939375,1,3,1,24747995564,73389,73389,14,14,14,475922995,11,3,373851,3847520,5052136,68622,8265538683,3765577,211511279,11819
422388.95,49,253952,62,390315,25714436500,50,94150596,2369,56,56,316,2548,11,1413,3898346,8,19,152950,54,269606089,2828,1,0,4,2366,484882728,7,1939530912,53,70,69,5,8046,1413,0,0,223910174,10759878,8580012889,0,1405,1501,8,3,1,14,14,3005,3,8573785104,8134137342,328545634,491994363,491994363,1,3,1,25582854940,73389,73389,14,14,14,491977983,11,3,389783,3983386,5230311,71158,8573785104,3898346,218687693,13120
424397.08,51,253952,62,403314,26570168848,51,97580885,2459,56,56,316,2628,11,1431,4033245,8,19,158000,54,274570626,2864,1,0,4,2366,500919613,7,2003613728,53,70,69,5,8046,1431,0,0,231283779,11192404,8893371118,0,1423,1527,8,3,1,14,14,3005,3,8885840720,8406705226,339745481,508260184,508260184,1,3,1,26428677632,73389,73389,14,14,14,508243804,11,3,394177,4121478,5384207,73718,8885840720,4033245,225907669,13193
426412.46,56,253952,62,416358,27430631122,51,100166633,2538,56,56,316,2715,12,1431,4167902,8,19,163074,54,275789292,2864,1,0,4,2366,517002540,7,2067945528,53,70,69,5,8046,1431,0,0,238453761,11487914,9214109468,0,1423,1527,8,3,1,14,14,3005,3,9206188814,8681488891,349691296,524556170,524556170,1,3,1,27276920872,73389,73389,14,14,14,524556174,11,3,397732,4259387,5570021,76371,9206188814,4167902,232892103,13193
428430.25,59,253952,62,429744,28311672676,51,102109271,2619,56,56,316,2795,12,1431,4310874,8,19,168273,54,277623324,2864,1,0,4,2366,533519667,7,2133949480,53,70,69,5,8046,1431,0,0,246101380,12005202,9537059974,0,1423,1527,8,3,1,14,14,3005,3,9528871768,8961776599,359869599,541307478,541307478,1,3,1,28147988888,73389,73389,14,14,14,541307482,11,3,402157,4405848,5738827,79019,9528871768,4310874,240371175,13193
430445.00,62,253952,62,443184,29196928870,51,103764043,2692,56,56,316,2884,12,1431,4458466,8,19,173482,54,278588604,2864,1,0,4,2366,549996343,7,2199985372,53,70,69,5,8046,1431,0,0,253785604,12476612,9868832192,0,1423,1527,8,3,1,14,14,3005,3,9861153963,9245018937,369656731,558054468,558054468,1,3,1,29018832368,73389,73389,14,14,14,558054472,11,3,408309,4556879,5926674,81770,9861153963,4458466,247867821,13193
432450.17,62,253952,62,454361,29934202878,53,106899364,2756,56,56,316,2952,12,1431,4552583,8,19,177790,54,279228102,2864,1,0,4,2366,563775456,7,2255101824,53,70,69,5,8046,1431,0,0,259240107,12559036,10144872551,0,1423,1527,8,3,1,14,14,3005,3,10136597586,9480219072,378309175,572046787,572046787,1,3,1,29746432956,73389,73389,14,14,14,572046791,11,3,419495,4653417,6073677,84046,10136597586,4552583,253175535,13193
434464.73,62,253952,62,464340,30591475190,54,108602864,2836,59,59,316,3011,12,1458,4638131,8,19,181695,54,284339117,2918,1,0,4,2366,576067261,7,2304204548,53,73,69,5,8046,1458,0,0,264759634,12859626,10386783100,0,1450,1561,8,3,1,14,14,3005,3,10378948695,9690217575,385769756,584497295,584497295,1,3,1,30393007404,73389,73389,14,14,14,584480915,11,3,438785,4741137,6203981,86040,10378948695,4638131,258564953,13296
436473.07,64,253952,62,475496,31326505600,55,110694148,2937,59,59,316,3103,12,1458,4756843,8,19,186072,54,284966549,2918,1,0,4,2366,590002586,7,2360010344,53,73,69,5,8046,1458,0,0,271656733,13389157,10656296464,0,1450,1561,8,3,1,14,14,3005,3,10647189536,9924245770,395314212,598450813,598467197,1,3,1,31119442308,73389,73389,14,14,14,598450817,11,3,439885,4862706,6329036,88244,10647320608,4756898,265337238,13296
436749.63,64,253952,62,476740,31408346100,55,110787403,2944,62,62,316,3127,12,1458,4769488,8,19,186584,61,292620738,2925,1,1228,4,2366,591599349,7,2366397396,60,83,69,53,8085,1458,1228,142,272540537,13494382,10685172516,8,1450,1561,8,3,1,14,14,3005,3,10675632275,9950085394,453015436,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,11,3,440572,4875614,6348584,88467,10675632275,4769488,266201646,13296
