timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5837.89,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
7842.45,2,0,0,16765,1103489176,0,68834,0,10,1,1,9847,116,0,585,131123,44,1571,16,0,119921480,1172,1,0,15,15,14,56,585,0,0,0,1894911,25131,367764403,0,585,558,2,1,14,14,377,0,1,370163716,325868195,1984254,24766514,24782898,1,2,1,0,1089726616,73389,73389,14,14,14,24766514,10,3,325349,133113,799104,2840,370163716,131123,1095894,2199
9853.46,2,253952,62,34381,2264354266,2,2069239,0,12,23,23,9847,119,0,675,267337,44,5456,38,714,140299886,1352,1,0,37,37,14,877,675,0,0,0,5991099,1939437,706164381,0,675,619,2,1,14,14,377,0,1,716831536,665751956,15224269,51092938,51109322,1,2,1,0,2248089272,73389,73389,14,14,14,51092938,10,3,478626,274989,1332854,5488,716831536,267337,4658450,2499
11865.50,2,253952,62,51279,3377886990,2,2069239,0,12,23,23,9847,122,0,675,398286,44,10239,38,714,140830790,1352,1,0,37,37,14,877,675,0,0,0,10696641,2777899,1031334761,0,675,619,2,1,14,14,377,0,1,1042152240,991279839,28279770,76413905,76413905,1,2,1,0,3361490924,73389,73389,14,14,14,76397521,10,3,497630,408571,1546015,7970,1042152240,398286,9150937,2499
13870.67,2,253952,62,67338,4436169558,2,2069239,0,12,23,23,9847,125,0,675,528168,44,14779,38,714,141361694,1352,1,0,37,37,14,877,675,0,0,0,15622032,4331659,1340127235,0,675,619,2,1,14,14,377,0,1,1351220016,1300684303,46523032,100467271,100483655,1,2,1,0,4420559924,73389,73389,14,14,14,100467271,10,3,521184,540911,1785000,10328,1351220016,528168,13837459,2499
15884.64,2,253952,62,85438,5628476554,2,2069239,0,12,23,23,9847,128,0,675,652563,44,19889,38,714,141627146,1352,1,0,37,37,14,877,675,0,0,0,20678251,4756921,1690226182,0,675,619,2,1,14,14,377,0,1,1699347248,1649171100,71871032,127557710,127574094,1,2,1,0,5612539240,73389,73389,14,14,14,127557710,10,3,552963,667965,2029151,12984,1699347248,652563,18649662,2499
17890.93,2,253952,62,99143,6531425570,2,2069239,0,12,23,23,9847,130,0,675,784576,44,23727,38,714,141892598,1352,1,0,37,37,14,877,675,0,0,0,24726288,7182634,1954429986,0,675,619,2,1,14,14,377,0,1,1963064112,1913180017,88290770,148072576,148088960,1,2,1,0,6515193344,73389,73389,14,14,14,148072576,10,3,588918,802205,2222544,14996,1963064112,784576,22504401,2499
19901.27,2,253952,62,112764,7429400466,2,2069239,0,12,23,23,9847,132,0,675,915233,44,27554,38,714,142423502,1352,1,0,37,37,14,877,675,0,0,0,29195471,10077062,2217462740,0,675,619,2,1,14,14,377,0,1,2225732400,2175664400,118109063,168493012,168493012,1,2,1,0,7412971632,73389,73389,14,14,14,168476628,10,3,628204,935031,2460355,17000,2225732400,915233,26735875,2499
21913.02,2,253952,62,126252,8317717926,2,2069239,0,12,23,23,9847,134,0,675,1039934,44,31347,38,714,142423502,1352,1,0,37,37,14,877,675,0,0,0,33200863,12721059,2477605178,0,675,619,2,1,14,14,377,0,1,2485123888,2435255256,133056032,188668132,188690549,1,2,1,0,8301397808,73389,73389,14,14,14,188668132,10,3,660510,1061973,2679333,18980,2485254960,1039972,30522387,2499
23919.77,2,253952,62,140313,9244408002,2,2069239,0,12,23,23,9847,137,0,675,1170420,44,35332,38,714,142942340,1352,1,0,37,37,14,877,675,0,0,0,37739938,15424947,2747979978,0,675,619,2,1,14,14,377,0,1,2755918640,2706240676,150322178,209743928,209743928,1,2,1,0,9228732832,73389,73389,14,14,14,209743928,10,3,707627,1194667,2978260,21045,2755918640,1170420,34762640,2499
25924.47,2,253952,62,159723,10523039142,2,2069239,0,12,23,23,9847,140,0,675,1306692,44,40793,38,714,143738696,1352,1,0,37,37,14,877,675,0,0,0,42664242,15627786,3118163417,0,675,619,2,1,14,14,377,0,1,3128265680,3079907512,160029195,238800003,238816387,1,2,1,0,10507200132,73389,73389,14,14,14,238800003,10,3,735366,1333742,3224776,23889,3128265680,1306692,39440626,2499
27940.84,2,253952,62,175118,11537443826,2,2069239,0,12,23,23,9847,142,0,675,1447232,44,45113,38,714,144004148,1352,1,0,37,37,14,877,675,0,0,0,46648944,17371795,3411885664,0,675,619,2,1,14,14,377,0,1,3425012688,3376393350,177415066,261850071,261872488,1,2,1,0,11521403124,73389,73389,14,14,14,261850071,10,3,774276,1476676,3474878,26153,3425012688,1447232,43175337,2499
29951.25,2,253952,62,188802,12439113114,2,2069239,0,12,23,23,9847,145,0,675,1603059,44,49000,38,714,144269600,1352,1,0,37,37,14,877,675,0,0,0,51045042,20130255,3679895874,0,675,619,2,1,14,14,377,0,1,3688598480,3640004623,208013373,282354586,282354586,1,2,1,0,12423601784,73389,73389,14,14,14,282354586,10,3,804312,1634810,3713147,28164,3688598480,1603059,47333267,2499
31963.43,2,253952,62,202349,13331707442,2,2069239,0,12,23,23,9847,147,0,675,1742594,44,52811,38,714,144800504,1352,1,0,37,37,14,877,675,0,0,0,55172730,22683958,3939260738,0,675,619,2,1,14,14,377,0,1,3948907472,3900847532,224289606,302640076,302656460,1,2,1,0,13316163344,73389,73389,14,14,14,302640076,10,3,842500,1776696,3925997,30150,3948907472,1742594,51248207,2499
33968.46,2,253952,62,221940,14622790422,2,2069239,0,12,23,23,9847,150,0,675,1876187,44,58313,38,714,145331408,1352,1,0,37,37,14,877,675,0,0,0,60200595,23043353,4317989242,0,675,619,2,1,14,14,377,0,1,4326525904,4278343766,235534074,331982871,331999255,1,2,1,0,14607246324,73389,73389,14,14,14,331982871,10,3,867336,1913158,4132628,33031,4326525904,1876187,56069638,2499
35976.15,2,253952,62,237975,15679234674,2,2069239,0,12,23,23,9847,152,0,675,2007763,44,62811,38,714,145596860,1352,1,0,37,37,14,877,675,0,0,0,64712393,24898817,4626659077,0,675,619,2,1,14,14,377,0,1,4634807248,4587133509,262524093,355989244,356005628,1,2,1,0,15663526736,73389,73389,14,14,14,355989244,10,3,910258,2047175,4394462,35383,4634807248,2007763,60319728,2499
37981.36,2,253952,62,257746,16981848682,2,2069239,0,12,23,23,9847,156,0,675,2131905,44,68405,38,714,146127764,1352,1,0,37,37,14,877,675,0,0,0,69540966,24966391,5010099750,0,675,619,2,1,14,14,377,0,1,5015571408,4967999648,271959569,385596342,385596342,1,2,1,0,16966239048,73389,73389,14,14,14,385596342,10,3,938873,2174091,4583641,38288,5015571408,2131905,64959311,2499
39984.79,2,253952,62,277443,18279878478,2,2069239,0,12,23,23,9847,159,0,675,2231478,44,73943,38,714,146658668,1352,1,0,37,37,14,877,675,0,0,0,73895218,25555838,5388010208,0,675,619,2,1,14,14,377,0,1,5394893776,5347335325,290865386,415086593,415102977,1,2,1,0,18263810092,73389,73389,14,14,14,415086593,10,3,980242,2276009,4788961,41182,5394893776,2231478,69108399,2499
41988.40,2,253952,62,299293,19719112202,2,2069239,0,12,23,23,9847,163,0,675,2312028,44,80123,38,714,147189572,1352,1,0,37,37,14,877,675,0,0,0,77993923,25555948,5806172921,0,675,619,2,1,14,14,377,0,1,5814459211,5768065820,299341788,447800174,447816558,1,2,1,0,19703207656,73389,73389,14,14,14,447800174,10,3,1008241,2358728,4935012,44387,5814459211,2312028,73061228,2499
43998.84,2,253952,62,317465,20915944490,2,2069239,0,12,23,23,9847,167,0,675,2415314,44,85312,38,714,147720476,1352,1,0,37,37,14,877,675,0,0,0,82307253,26384307,6155788777,0,675,619,2,1,14,14,377,0,1,6163928425,6117903479,327259948,475003142,475019526,1,2,1,0,20900138248,73389,73389,14,14,14,475003142,10,3,1055816,2464394,5142894,47060,6163928425,2415314,77166828,2499
46004.90,2,253952,62,332137,21883063174,2,2069239,0,12,23,23,9847,169,0,675,2543794,44,89429,38,714,148251380,1352,1,0,37,37,14,877,675,0,0,0,86738195,28969061,6439942296,0,675,619,2,1,14,14,377,0,1,6446650729,6400544318,344011829,496986091,497002475,1,2,1,0,21867388004,73389,73389,14,14,14,496986091,10,3,1084627,2596611,5383055,49217,6446650729,2543794,81357737,2499
