timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
242535.46,2,253952,62,16558,1088716624,2,3635192,101,8,8,2388,159,1,567,151897,0,30,6463,18,1,98911195,1136,1,1081,0,4,4896,20418508,8,81674032,17,22,9,3779,567,0,1081,20,0,0,9019481,393799,373624411,0,567,529,0,3,1,14,14,5497,3,374208606,345553080,13036452,20742971,20759355,1,3,1,1078634524,73389,73389,14,14,14,20742975,8,3,97759,155263,370429,3160,374208606,151897,8649385,2000
244541.00,3,253952,62,28888,1902362062,5,7549151,185,9,9,2388,242,1,567,227390,0,30,11335,18,1,102615457,1136,1,1081,0,4,4896,35855717,8,143358252,17,23,9,3779,567,0,1081,20,0,0,14525912,403143,633957234,0,567,529,0,3,1,14,14,5497,3,633796030,601873968,22468106,36383597,36399981,1,3,1,1891947076,73389,73389,14,14,14,36383601,8,3,106691,232858,453374,5317,633796030,227390,14073089,2000
246551.81,4,253952,62,41384,2725342028,6,9672764,257,11,11,2388,309,1,576,307946,0,30,16242,18,1,105902708,1154,1,1081,0,4,4896,51456164,8,205695520,17,25,9,3779,576,0,1081,20,0,0,20197496,467842,888780599,0,576,536,0,3,1,14,14,5497,3,888535768,860918300,30324380,52223434,52223434,1,3,1,2715618600,73389,73389,14,14,14,52223438,8,3,114827,315579,566419,7412,888535768,307946,19630847,2025
248565.30,4,253952,62,56065,3691892200,6,11356209,332,11,11,2388,425,2,576,439505,0,30,22038,18,1,108122852,1154,1,1081,0,4,4896,69777512,8,279045236,17,25,9,3779,576,0,1081,20,0,0,28300069,734446,1195851577,0,576,536,0,3,1,14,14,5497,3,1195708849,1165358745,40367935,70805432,70805432,1,3,1,3681882496,73389,73389,14,14,14,70805436,8,3,121640,450205,724464,9997,1195708849,439505,27576668,2025
250572.06,6,253952,62,72171,4753665204,6,12540910,456,12,12,2388,505,2,576,580086,0,30,28356,18,1,111863312,1154,1,1081,0,4,4896,89911744,8,359517584,17,26,9,3779,576,0,1081,20,0,0,37266331,962248,1526920838,0,576,536,0,3,1,14,14,5497,3,1526191483,1499350211,50703561,91225868,91242252,1,3,1,4743745168,73389,73389,14,14,14,91225872,8,3,129266,594118,895368,12692,1526191483,580086,36372347,2025
252585.31,8,253952,62,88952,5860314506,6,14774764,565,12,12,2388,616,2,576,729297,0,30,34979,18,1,114662624,1154,1,1081,0,4,4896,110880728,8,443393828,17,26,9,3779,576,0,1081,20,0,0,46686072,1205267,1877176590,0,576,536,0,3,1,14,14,5497,3,1876503638,1848028639,62589756,112510338,112510338,1,3,1,5849685640,73389,73389,14,14,14,112493958,8,3,139163,746898,1095295,15604,1876503638,729297,45591501,2025
254590.36,11,253952,62,105102,6923209458,6,16709666,667,12,12,2388,724,3,576,856902,0,30,41289,18,1,116255336,1154,1,1081,0,4,4896,130913267,8,523523800,17,26,9,3779,576,0,1081,20,0,0,54942806,1348218,2212361985,0,576,536,0,3,1,14,14,5497,3,2211246686,2182750015,72917368,132943728,132943728,1,3,1,6913073888,73389,73389,14,14,14,132943732,8,3,153016,877709,1247587,18388,2211246686,856902,53697246,2025
256597.11,11,253952,62,118265,7791096470,9,20815160,743,14,14,2388,808,3,576,942208,0,30,46523,18,1,116858636,1154,1,1081,0,4,4896,147499416,8,589868576,17,28,9,3779,576,0,1081,20,0,0,60921544,1383996,2487333534,0,576,536,0,3,1,14,14,5497,3,2485202644,2455949230,83033646,149635089,149635089,1,3,1,7781024660,73389,73389,14,14,14,149635093,8,3,165535,965269,1364512,20654,2485202644,942208,59559258,2025
258603.34,12,253952,62,135683,8938563122,9,21239003,845,14,14,2388,924,4,585,1092449,0,30,53384,18,1,118671513,1172,1,1081,0,4,4896,169226813,8,676777772,17,28,9,3779,585,0,1081,20,0,0,70327856,1601540,2847067444,0,585,545,0,3,1,14,14,5497,3,2844996628,2817116033,93063798,171704276,171704276,1,3,1,8928622384,73389,73389,14,14,14,171704280,8,3,167274,1119125,1532133,23652,2844996628,1092449,68798308,2056
260616.11,13,253952,62,153140,10089587156,9,21646787,944,14,14,2388,1034,4,585,1247805,0,30,60268,18,1,118671513,1172,1,1081,0,4,4896,191068922,8,764146308,17,28,9,3779,585,0,1081,20,0,0,79770081,1797349,3210220637,0,585,545,0,3,1,14,14,5497,3,3208183461,3179501761,103081833,193840714,193840714,1,3,1,10079717160,73389,73389,14,14,14,193840718,8,3,173557,1278006,1739891,26660,3208183461,1247805,78033131,2056
