timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
802454.67,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
804458.42,2,0,0,20192,1329142856,0,0,0,0,1,1,6903,117,612,119216,1,31,1885,11,266,126296834,1226,1,0,10,15,0,9,912,612,0,0,0,1988076,5275,437646395,0,611,367,1,2,1,14,14,427,1,438075588,391944735,1993789,29877878,29894262,1,2,1,1314626632,73389,73389,14,14,14,29877878,12,3,384386,121274,820592,3360,438075588,119216,1167580,1698
806464.98,2,253952,62,35770,2355649222,12,13912108,0,54,16,16,6903,120,675,238339,1,31,5888,26,283,140299886,1352,1,0,25,30,0,9,968,675,0,0,0,5918406,470380,741838979,0,674,400,1,2,1,14,14,427,1,743570224,692504770,20891886,53163355,53179739,1,2,1,2339187620,73389,73389,14,14,14,53163355,12,3,476726,242767,1136815,5692,743570224,238339,4781844,1882
808478.04,2,253952,62,50338,3315686710,13,15993398,0,103,18,18,6903,122,675,366347,1,31,9974,26,283,140830790,1352,1,0,25,32,0,9,968,675,0,0,0,9943141,1113119,1022333268,0,674,400,1,2,1,14,14,427,1,1023933232,973032420,27860726,74992815,75009199,1,2,1,3299683860,73389,73389,14,14,14,74992815,12,3,481338,373225,1292252,7831,1023933232,366347,8651279,1882
810483.51,2,253952,62,64933,4277493670,14,19930661,0,148,18,18,6903,124,675,487460,1,31,14065,26,283,141096242,1352,1,0,25,32,0,9,968,675,0,0,0,14051123,1807586,1304150186,0,674,400,1,2,1,14,14,427,1,1304951600,1254238044,36873681,96846851,96863235,1,2,1,4261261444,73389,73389,14,14,14,96846851,12,3,487368,499069,1431765,9975,1304951600,487460,12619884,1882
812491.31,2,253952,62,79207,5217732670,15,22991349,0,190,19,19,6903,127,675,609742,1,31,18122,26,283,141361694,1352,1,0,25,33,0,9,968,675,0,0,0,18124682,2376395,1579013845,0,674,400,1,2,1,14,14,427,1,1579285296,1529130743,45035215,118221877,118238261,1,2,1,5201762588,73389,73389,14,14,14,118221877,12,3,494976,623788,1594866,12068,1579285296,609742,16530483,1882
814498.19,2,253952,62,93754,6176659354,16,26043235,0,240,19,19,6903,129,675,727474,1,31,22199,26,283,141892598,1352,1,0,25,33,0,9,968,675,0,0,0,22189621,2962149,1859380010,0,674,400,1,2,1,14,14,427,1,1859910448,1809439655,52905476,140024602,140024602,1,2,1,6160361592,73389,73389,14,14,14,140008218,12,3,502519,744051,1742164,14209,1859910448,727474,20448263,1882
816509.82,2,253952,62,108472,7146261790,16,29001744,0,296,21,21,6903,131,675,846443,1,31,26321,26,283,142158050,1352,1,0,25,35,0,9,968,675,0,0,0,26212046,3538361,2142502665,0,674,400,1,2,1,14,14,427,1,2143025968,2092980257,59857554,162052829,162052829,1,2,1,7130324476,73389,73389,14,14,14,162052829,12,3,509781,865459,1902444,16369,2143025968,846443,24310550,1882
818516.19,2,253952,62,123148,8113111714,18,32957878,0,350,22,22,6903,134,675,963999,1,31,30491,26,283,142423502,1352,1,0,25,36,0,9,968,675,0,0,0,30261265,4154892,2424451141,0,674,400,1,2,1,14,14,427,1,2425092912,2375484944,69544999,184023712,184040096,1,2,1,8097043328,73389,73389,14,14,14,184023712,12,3,521548,985521,2071676,18521,2425092912,963999,28190689,1882
820527.21,2,253952,62,137857,9082655230,20,37118032,0,398,23,23,6903,136,675,1080301,1,31,34613,26,283,142942340,1352,1,0,25,37,0,9,968,675,0,0,0,34317665,4614128,2709025034,0,674,400,1,2,1,14,14,427,1,2708470576,2658937118,78453095,206055813,206072197,1,2,1,9066455772,73389,73389,14,14,14,206055813,12,3,530182,1104313,2252343,20683,2708470576,1080301,32066575,1882
822530.18,2,253952,62,153898,10139168326,20,39619932,0,449,30,30,6903,139,675,1197246,1,31,39149,26,283,143473244,1352,1,0,25,44,10,9,968,675,0,0,0,38486652,5032910,3016773595,0,674,400,1,2,1,14,14,427,1,3016330192,2967718011,85974047,230084603,230084603,1,2,1,10123722532,73389,73389,14,14,14,230084603,12,3,538479,1224604,2412513,23035,3016330192,1197246,36075549,1882
824533.25,2,253952,62,178118,11734944710,20,39619932,0,453,30,30,6903,143,675,1277608,1,31,45974,26,283,144004148,1352,1,0,25,44,10,9,968,675,0,0,0,42646605,5033355,3480152042,0,674,400,1,2,1,14,14,427,1,3482553296,3434121339,98126742,266355227,266355227,1,2,1,11719629988,73389,73389,14,14,14,266355227,12,3,554976,1307328,2530885,26592,3482553296,1277608,40117302,1882
826536.17,2,253952,62,202860,13365461790,24,43620252,0,453,30,30,6903,147,675,1351420,1,31,52943,26,283,144800504,1352,1,0,25,44,10,9,968,675,0,0,0,46818489,5033528,3956903501,0,674,400,1,2,1,14,14,427,1,3958868944,3910728136,112324532,303399773,303416157,1,2,1,13349590012,73389,73389,14,14,14,303399773,12,3,562531,1383163,2646262,30226,3958868944,1351420,44173973,1882
828539.44,2,253952,62,227122,14964256138,24,43620252,0,453,30,30,6903,151,675,1433816,1,31,59780,26,283,145596860,1352,1,0,25,44,10,9,968,675,0,0,0,51022988,5033895,4423954766,0,674,400,1,2,1,14,14,427,1,4426009552,4378126846,118255532,339750158,339750158,1,2,1,14948286056,73389,73389,14,14,14,339733774,12,3,563349,1467783,2759404,33790,4426009552,1433816,48265498,1882
830542.72,2,253952,62,244985,16141031102,28,47978852,0,492,30,30,6903,154,675,1499422,1,31,64815,26,283,145862312,1352,1,0,25,44,10,9,968,675,0,0,0,54251726,5041323,4770503568,0,674,400,1,2,1,14,14,427,1,4769942480,4722116564,145339550,366496533,366496533,1,2,1,16125847452,73389,73389,14,14,14,366496533,12,3,575991,1535002,2845622,36414,4769942480,1499422,51408148,1882
832546.35,2,253952,62,256931,16928171390,29,50939099,0,542,31,31,6903,156,675,1583466,1,31,68181,26,283,146127764,1352,1,0,25,45,10,9,968,675,0,0,0,57106937,5109472,5001424902,0,674,400,1,2,1,14,14,427,1,5000104912,4952295472,151271963,384377893,384377893,1,2,1,16911906396,73389,73389,14,14,14,384361509,12,3,579865,1620771,2944559,38170,5000104912,1583466,54164523,1882
834552.86,2,253952,62,270780,17841088494,29,52225543,0,582,33,33,6903,158,675,1677836,1,31,72073,26,283,146658668,1352,1,0,25,47,10,9,968,675,0,0,0,60352458,5195936,5265383827,0,674,400,1,2,1,14,14,427,1,5266443216,5219114241,156076185,405126009,405126009,1,2,1,17824823500,73389,73389,14,14,14,405109625,12,3,589510,1717021,3074809,40202,5266443216,1677836,57279907,1882
836559.07,2,253952,62,286693,18888845918,29,55358570,0,653,33,33,6903,161,675,1813105,1,31,76579,26,283,146658668,1352,1,0,25,47,10,9,968,675,0,0,0,64649493,5567735,5571848650,0,674,400,1,2,1,14,14,427,1,5572107083,5525329448,163608672,428937933,428954317,1,2,1,18873269052,73389,73389,14,14,14,428937933,12,3,593346,1854873,3251110,42538,5572107083,1813105,61400789,1882
838562.10,2,253952,62,309342,20381399794,29,56081587,0,671,41,41,6903,164,675,1902794,1,31,82919,26,283,147455024,1352,1,0,25,55,10,9,968,675,0,0,0,68851180,5617417,6006524948,0,674,400,1,2,1,14,14,427,1,6008314699,5961664177,171237269,462867804,462867804,1,2,1,20365462480,73389,73389,14,14,14,462851420,12,3,606956,1947027,3365400,45866,6008314699,1902794,65488364,1882
840564.79,2,253952,62,333078,21944998002,29,56081587,0,671,41,41,6903,169,675,1987151,1,31,89669,26,283,148251380,1352,1,0,25,55,10,9,968,675,0,0,0,73137565,5617515,6464951711,0,674,400,1,2,1,14,14,427,1,6464476521,6418613702,177349337,498401148,498417532,1,2,1,21929650512,73389,73389,14,14,14,498401148,12,3,610373,2033640,3454648,49353,6464476521,1987151,69685667,1882
842567.58,2,253952,62,357125,23529288192,29,56081587,0,671,41,41,6903,174,675,2073890,1,31,96541,26,283,149047736,1352,1,0,25,55,10,9,968,675,0,0,0,77245022,5617563,6925780258,0,674,400,1,2,1,14,14,427,1,6926577674,6881781203,186976014,534415661,534415661,1,2,1,23514289084,73389,73389,14,14,14,534415661,12,3,616884,2122494,3554175,52885,6926577674,2073890,73693775,1882
