timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1044786.25,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
1046796.71,16,253952,62,42150,2775253020,3,5445561,218,18,18,972,321,1,567,408596,0,18,16509,33,719,107936563,1136,1,0,4,1483,52304881,9,209025396,32,32,0,14,8370,567,0,0,26131883,1133640,905736136,0,567,552,0,3,1,14,14,2124,0,3,907634985,876769950,32659955,53167673,53184057,1,3,1,0,2763867060,73389,73389,14,14,14,53151293,11,3,123785,417918,779646,7576,907634985,408596,25352074,6074
1048803.26,30,253952,62,85386,5625044550,3,7952233,436,19,19,972,596,6,576,822625,0,18,33544,33,719,116243270,1154,1,0,4,1483,106382693,9,425022448,32,33,0,14,8370,576,0,0,52741102,2160938,1800404885,0,576,565,0,3,1,14,14,2124,0,3,1801153979,1773769932,62790172,107999149,107999149,1,3,1,0,5615103812,73389,73389,14,14,14,107982769,11,3,140072,841315,1271499,14985,1801153979,822625,51471315,6116
1050817.50,47,253952,62,128219,8445734354,4,12277427,667,20,20,972,874,7,585,1234266,0,18,50429,33,719,118044081,1172,1,0,4,1483,159846694,9,639386776,32,34,0,14,8370,585,0,0,79315790,3188474,2690639368,0,585,575,0,3,1,14,14,2124,0,3,2689377920,2661601626,94591245,162194696,162260232,1,3,1,0,8434124224,73389,73389,14,14,14,162194700,11,3,158740,1262407,1824060,22359,2689377920,1234266,77494292,6156
1052822.79,52,253952,62,163004,10737904490,8,18092014,874,20,20,972,1099,9,585,1549282,0,18,64097,33,719,118357797,1172,1,0,4,1483,203264015,9,812991656,32,34,0,14,8370,585,0,0,100512216,3685780,3413914493,0,585,575,0,3,1,14,14,2124,0,3,3410925479,3383813933,122169025,206295984,206295984,1,3,1,0,10727391200,73389,73389,14,14,14,206295988,11,3,172613,1584716,2214864,28335,3410925479,1549282,98300624,6156
1054828.57,53,253952,62,200366,13201205174,11,23421040,1008,28,28,972,1339,10,585,1824937,0,18,78842,33,719,118671513,1172,1,0,4,1483,249979094,9,999851808,32,42,0,14,8370,585,0,0,119612198,3709684,4188169417,0,585,575,0,3,1,14,14,2124,0,3,4186772126,4159031435,146700618,253675343,253691727,1,3,1,0,13190265900,73389,73389,14,14,14,253658963,11,3,205422,1867157,2595422,34769,4186772126,1824937,117020789,6156
1056842.99,56,253952,62,245950,16205237212,15,30932145,1203,33,33,972,1636,10,585,2187417,0,18,96808,34,719,118671513,1172,1,0,4,1483,307002528,9,1227695220,33,47,0,14,8483,585,0,0,143890119,4233148,5136748315,0,585,575,0,3,1,14,14,2124,0,3,5133166280,5104725575,179064785,311445588,311461972,1,3,1,0,16195170608,73389,73389,14,14,14,311445592,11,3,223607,2238279,3051978,42624,5133166280,2187417,140843083,6156
1058851.18,62,253952,62,287368,18933477710,19,37758998,1422,33,33,972,1902,12,612,2577308,2,18,113111,34,719,123423046,1226,1,0,4,1483,358674846,9,1434375892,33,47,0,14,8483,612,0,0,168451458,5073417,5997291105,0,610,608,2,3,1,14,14,2124,0,3,5993820283,5963869712,211276400,363906146,363906146,1,3,1,0,18922267656,73389,73389,14,14,14,363889766,11,3,237789,2637016,3563304,49763,5993820283,2577308,164893941,6257
1060860.74,62,253952,62,328593,21649419674,21,42459317,1621,35,35,972,2170,29,630,2964506,2,18,129321,34,719,126362431,1262,1,0,4,1483,410043433,9,1639979628,33,49,0,14,8483,630,0,0,192857054,5937184,6855472002,0,628,629,2,3,1,14,14,2124,0,3,6850758541,6819085230,241294281,416102401,416135169,1,3,1,0,21635733216,73389,73389,14,14,14,416071796,11,3,258242,3034272,4056453,56874,6850758541,2964506,188807238,6323
1062865.98,65,253952,62,365690,24093454638,25,48371115,1766,35,35,972,2406,30,648,3266754,2,18,143876,34,719,129673688,1298,1,0,4,1483,456281059,9,1825059524,33,49,0,14,8483,648,0,0,212197708,6114473,7630037639,0,646,644,2,3,1,14,14,2124,0,3,7625506635,7588950396,266725606,463101498,463101498,1,3,1,0,24080425960,73389,73389,14,14,14,463085118,11,3,277244,3343424,4422568,63299,7625506635,3266754,207782512,6380
