timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
459949.99,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
461955.64,2,253952,62,11169,734264124,2,3928595,0,102,7,7,2860,125,0,567,108627,18,4360,16,97945915,1136,1,0,4,4649,13722322,10,54889288,15,21,8,18553,567,0,0,6725865,426437,262058760,0,567,680,3,1,14,14,5322,3,261946889,234098695,11044631,13935863,13935863,1,3,1,724664908,73389,73389,14,14,14,13935867,9,3,90780,110965,318277,2225,261946889,108627,6407944,4830
463960.99,2,253952,62,20923,1378159744,4,7578971,0,149,7,7,2860,171,1,567,166420,18,8184,16,101975959,1136,1,0,4,4649,25903277,10,103548420,15,21,8,18553,567,0,0,11029837,426802,468907779,0,567,680,3,1,14,14,5322,3,469043000,436707119,18997468,26322550,26322550,1,3,1,1367920664,73389,73389,14,14,14,26306170,9,3,95508,170417,406278,3904,469043000,166420,10624098,4830
465970.31,2,253952,62,32271,2125035630,4,8689490,0,233,9,9,2860,261,15,567,270609,18,12670,16,104485687,1136,1,0,4,4649,40096163,10,160384652,15,23,8,18553,567,0,0,17578088,838237,704841118,0,567,680,3,1,14,14,5322,3,704699467,671902119,27056606,40686112,40686112,1,3,1,2115677856,73389,73389,14,14,14,40686116,9,3,104106,277125,540580,5896,704699467,270609,17038283,4830
467979.91,4,253952,62,43443,2860606434,5,10615131,0,326,9,9,2860,330,15,567,375734,18,17067,16,106947151,1136,1,0,4,4649,54028748,10,216114992,15,23,8,18553,567,0,0,24314012,1240117,933181486,0,567,680,3,1,14,14,5322,3,932784113,903438349,36080387,54818139,54850907,1,3,1,2850543260,73389,73389,14,14,14,54818143,9,3,109687,384711,675324,7785,932784113,375734,23639708,4830
469984.76,4,253952,62,53826,3544843380,7,13186789,0,395,11,11,2860,389,15,576,466576,18,21093,16,109643168,1154,1,0,4,4649,66983438,10,267869212,15,25,8,18553,576,0,0,30235728,1590946,1151226675,0,576,691,3,1,14,14,5322,3,1150368174,1119133467,44885134,67973159,67973159,1,3,1,3534604300,73389,73389,14,14,14,67973163,9,3,121792,477679,796024,9578,1150368174,466576,29440945,4856
471997.45,5,253952,62,62535,4118697366,9,15747864,0,453,13,13,2860,451,15,576,525980,18,24576,16,111839180,1154,1,0,4,4649,77882196,10,311528784,15,27,8,18553,576,0,0,34652821,1659907,1329204953,0,576,691,3,1,14,14,5322,3,1329087225,1299580629,51966664,79027153,79027153,1,3,1,4109411988,73389,73389,14,14,14,79027157,9,3,132157,538594,881859,11069,1329087225,525980,33772377,4856
474009.13,9,253952,62,72623,4783323674,9,17036739,0,535,14,14,2860,525,15,576,619507,18,28554,16,113456024,1154,1,0,4,4649,90474139,10,361767280,15,28,8,18553,576,0,0,41047226,2064610,1539380612,0,576,691,3,1,14,14,5322,3,1538374971,1508802827,60043280,91799308,91799308,1,3,1,4773564048,73389,73389,14,14,14,91799312,9,3,137243,634370,1000388,12825,1538374971,619507,40048466,4856
476015.00,10,253952,62,82297,5421107662,11,20477129,0,597,14,14,2860,580,15,576,689005,18,32307,16,115941620,1154,1,0,4,4649,102386932,10,409547728,15,28,8,18553,576,0,0,46022798,2140495,1738240496,0,576,691,3,1,14,14,5322,3,1736531136,1709771413,68525590,104045016,104061400,1,3,1,5410340864,73389,73389,14,14,14,104045020,9,3,151090,705634,1109215,14454,1736531136,689005,44915402,4856
478020.48,10,253952,62,91669,6038412016,12,23067223,0,644,15,15,2860,640,15,576,755253,18,36018,16,116544920,1154,1,0,4,4649,114224962,10,456899848,15,29,8,18553,576,0,0,50586992,2148408,1934572050,0,576,691,3,1,14,14,5322,3,1932806986,1904027984,75670312,115934594,115950978,1,3,1,6028598920,73389,73389,14,14,14,115934598,9,3,156756,773586,1199076,16083,1932806986,755253,49389919,4856
