timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
343468.46,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,39,2,0,0,0,0,0,0,0,0
345473.16,253952,62,23803,1567132678,0,0,0,3,33,33,5243,118,0,675,136329,2,19,2518,39,47,140034434,1352,1,0,38,47,4,5,1474,675,0,0,0,2102643,981,510623035,0,673,526,2,2,1,14,14,405,1,513014576,461905033,2256038,35249227,35265611,1,2,1,1550965988,73389,73389,14,14,14,35249227,46,3,187630,138777,546833,3933,513014576,136329,1555905,1986
347478.66,253952,62,40322,2655561806,29,30499499,0,76,33,33,5243,120,0,675,261933,2,19,7132,39,47,140299886,1352,1,0,38,47,4,5,1474,675,0,0,0,6725412,997378,829278599,0,673,526,2,2,1,14,14,405,1,831126320,780183200,54702530,59982529,59998913,1,2,1,2639231276,73389,73389,14,14,14,59982529,46,3,230844,266934,804859,6360,831126320,261933,5920799,1986
349486.04,253952,62,58857,3876907866,29,32535126,0,119,41,41,5243,123,0,675,368242,2,19,12348,39,47,140830790,1352,1,0,38,55,30,5,1474,675,0,0,0,10924355,1570851,1184905729,0,673,526,2,2,1,14,14,405,1,1188035376,1137161002,64417184,87756778,87756778,1,2,1,3860577336,73389,73389,14,14,14,87740394,46,3,239922,375601,945707,9083,1188035376,368242,9979045,1986
351496.62,253952,62,75856,4997059726,37,43040427,0,173,41,41,5243,126,0,675,478407,2,19,17152,39,47,141361694,1352,1,0,38,55,30,5,1474,675,0,0,0,15239446,2143223,1513544498,0,673,526,2,2,1,14,14,405,1,1514928944,1464611593,84074645,113208817,113225201,1,2,1,4981187948,73389,73389,14,14,14,113208817,46,3,248258,490647,1090750,11577,1514928944,478407,14149269,1986
353503.72,253952,62,93016,6128028334,37,45656629,0,218,41,41,5243,129,0,675,586651,2,19,22002,39,47,141892598,1352,1,0,38,55,30,5,1474,675,0,0,0,19551546,2840338,1843226439,0,673,526,2,2,1,14,14,405,1,1845099312,1795196957,92262344,138920841,138920841,1,2,1,6112517004,73389,73389,14,14,14,138920841,46,3,257182,601471,1246132,14096,1845099312,586651,18306153,1986
355507.25,253952,62,113879,7502738558,37,47103409,0,254,49,49,5243,132,0,675,675790,2,19,27854,39,47,142423502,1352,1,0,38,63,47,5,1474,675,0,0,0,23728195,3094508,2245132117,0,673,526,2,2,1,14,14,405,1,2246966064,2197051738,99037596,170153829,170170213,1,2,1,7486768476,73389,73389,14,14,14,170153829,46,3,262668,692924,1369676,17162,2246966064,675790,22359443,1986
357510.79,253952,62,138102,9098711550,37,47103409,0,256,49,49,5243,136,1,675,745474,2,19,34679,39,47,142942340,1352,1,0,38,63,47,5,1474,675,0,0,0,27736704,3094639,2711394631,0,673,526,2,2,1,14,14,405,1,2713189168,2663639734,107767746,206432645,206432645,1,2,1,9082315484,73389,73389,14,14,14,206416261,46,3,266928,764703,1469537,20719,2713189168,745474,26268266,1986
359514.12,253952,62,162566,10710419798,39,49103540,0,256,49,49,5243,140,1,675,823119,2,19,41567,39,47,143738696,1352,1,0,38,63,47,5,1474,675,0,0,0,31802607,3095001,3182476944,0,673,526,2,2,1,14,14,405,1,3183578064,3134684942,118623415,243067591,243067591,1,2,1,10694974004,73389,73389,14,14,14,243067591,46,3,272189,844390,1575440,24311,3183578064,823119,30228430,1986
361517.22,253952,62,186981,12318975702,39,49103540,0,256,49,49,5243,144,1,675,909378,2,19,48446,39,47,144269600,1352,1,0,38,63,47,5,1474,675,0,0,0,35818386,3095264,3651751304,0,673,526,2,2,1,14,14,405,1,3653471184,3604938689,124576506,279608551,279624935,1,2,1,12302776244,73389,73389,14,14,14,279608551,46,3,275440,932638,1687479,27896,3653471184,909378,34132337,1986
363520.47,253952,62,211131,13910430018,41,51103671,0,258,49,49,5243,148,1,675,997157,2,19,55256,39,47,145065956,1352,1,0,38,63,47,5,1474,675,0,0,0,39874138,3095600,4117623346,0,673,526,2,2,1,14,14,405,1,4117990352,4070052759,147192351,315795096,315811480,1,2,1,13894984224,73389,73389,14,14,14,315795096,46,3,277559,1022549,1806880,31440,4117990352,997157,38068862,1986
365524.23,253952,62,235206,15496703682,41,51103671,0,258,49,49,5243,152,1,675,1083825,2,19,62039,39,47,145596860,1352,1,0,38,63,47,5,1474,675,0,0,0,43921834,3095717,4581656936,0,673,526,2,2,1,14,14,405,1,4581460944,4533783428,153236375,351836344,351852728,1,2,1,15480799136,73389,73389,14,14,14,351836344,46,3,279304,1111182,1911806,34976,4581460944,1083825,42011807,1986
