timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1198891.16,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
1200896.14,0,0,16152,1063050156,0,0,0,1,1,6110,117,495,124392,11,1509,7,0,101944208,992,1,0,6,15,0,5,2592,495,0,0,0,1977837,17525,349303853,0,495,380,2,1,14,14,431,1,350650564,313521281,1995805,23900321,23916705,1,2,1,1051614124,73389,73389,14,14,14,23900321,13,3,306769,126416,848414,2693,350650564,124392,1129514,1667
1202908.25,253952,62,31352,2064783914,19,20970019,37,24,24,6110,119,675,246076,11,4639,30,74,140299886,1352,1,0,29,38,0,5,2753,675,0,0,0,5470942,749337,655699757,0,675,495,2,1,14,14,431,1,658111280,607376163,29293431,46563206,46579590,1,2,1,2048781064,73389,73389,14,14,14,46563206,13,3,477085,250389,1355132,5040,658111280,246076,4116012,2178
1204922.18,253952,62,44287,2917004758,20,24370838,82,26,26,6110,121,675,369088,11,8269,30,74,140565338,1352,1,0,29,40,0,5,2753,675,0,0,0,9482336,1831581,906427695,0,675,495,2,1,14,14,431,1,907541296,856530173,39370498,65925159,65941543,1,2,1,2900706996,73389,73389,14,14,14,65925159,13,3,479413,375809,1477407,6943,907541296,369088,8005253,2178
1206930.44,253952,62,56988,3753890178,24,31338211,129,27,27,6110,123,675,495255,11,11840,30,74,140830790,1352,1,0,29,41,0,5,2753,675,0,0,0,13601815,2989873,1152055256,0,675,495,2,1,14,14,431,1,1151859504,1101200992,52394449,84959432,84959432,1,2,1,3737494112,73389,73389,14,14,14,84943048,13,3,485857,504337,1631919,8807,1151859504,495255,11970344,2178
1208943.18,253952,62,69720,4593072666,25,34399476,161,29,29,6110,125,675,610287,11,15423,30,74,141361694,1352,1,0,29,43,0,5,2753,675,0,0,0,17652759,3646115,1394532128,0,675,495,2,1,14,14,431,1,1396964144,1346496425,60430504,104024314,104040698,1,2,1,4577069816,73389,73389,14,14,14,104024314,13,3,488289,621797,1765274,10677,1396964144,610287,15888061,2178
1210950.23,253952,62,82260,5418875886,26,39287968,200,31,31,6110,127,675,723046,11,18954,30,74,141361694,1352,1,0,29,45,0,5,2753,675,0,0,0,21744129,4356684,1637531271,0,675,495,2,1,14,14,431,1,1638005552,1587909889,69739799,122800761,122817145,1,2,1,5403233484,73389,73389,14,14,14,122800761,13,3,493751,736970,1900310,12516,1638005552,723046,19844529,2178
1212960.26,253952,62,95149,6268612978,28,42586670,241,32,32,6110,129,675,841621,11,22580,30,74,141892598,1352,1,0,29,46,0,5,2753,675,0,0,0,25799590,4839217,1886309077,0,675,495,2,1,14,14,431,1,1886124848,1836273008,78707645,142117436,142117436,1,2,1,6252446288,73389,73389,14,14,14,142101052,13,3,494497,859216,2023395,14409,1886124848,841621,23777041,2178
1214972.02,253952,62,109208,7194761738,29,44572019,287,35,35,6110,131,675,965403,11,26523,30,74,142158050,1352,1,0,29,49,0,5,2753,675,0,0,0,30135015,5247972,2156445558,0,675,495,2,1,14,14,431,1,2157050672,2107164372,85819901,163156590,163172974,1,2,1,7178889960,73389,73389,14,14,14,163156590,13,3,500709,985590,2199447,16476,2157050672,965403,27936545,2178
1216979.37,253952,62,121811,8025224630,31,50862752,330,35,35,6110,134,675,1093308,11,30119,30,74,142423502,1352,1,0,29,49,0,5,2753,675,0,0,0,34080886,5983127,2397479136,0,675,495,2,1,14,14,431,1,2399796016,2349827446,95501820,182035215,182035215,1,2,1,8009549460,73389,73389,14,14,14,182035215,13,3,505206,1115957,2357558,18328,2399796016,1093308,31724477,2178
