timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
398400.36,8,253952,62,11630,766286120,2,3191036,90,7,7,2356,135,0,558,133504,32,4552,19,97629087,1118,1,0,4,3809,14317708,9,57206256,18,21,2704,11,1850,558,0,0,7897078,508320,276845723,0,558,684,3,1,14,14,4501,3,276978629,244097234,11553178,14553693,14553693,1,3,1,756792068,73389,73389,14,14,14,14553697,12,3,76563,136139,341583,2365,276978629,133504,7555760,2240
400406.81,8,253952,62,22136,1458294410,4,6117546,147,8,8,2356,181,0,558,202754,32,8664,19,98606433,1118,1,0,4,3809,27426405,9,109641032,18,22,2704,11,1850,558,0,0,13189935,509976,491182188,0,558,684,3,1,14,14,4501,3,492024135,461922196,19800926,27866520,27866520,1,3,1,1449059072,73389,73389,14,14,14,27866524,12,3,83003,207201,420542,4107,492024135,202754,12769862,2240
402420.15,8,253952,62,32683,2151976132,4,8137324,223,9,9,2356,272,2,567,285524,32,12839,19,101324395,1136,1,0,4,3809,40596450,9,162321180,18,23,2704,11,1850,567,0,0,19331332,721073,715956013,0,567,690,3,1,14,14,4501,3,715770590,680333664,28162267,41194016,41210400,1,3,1,2142088864,73389,73389,14,14,14,41194020,12,3,92588,292112,532362,6009,715770590,285524,18799663,2274
404430.43,10,253952,62,43756,2882349934,4,10635171,325,9,9,2356,326,2,567,380479,32,17192,19,104449489,1136,1,0,4,3809,54439790,9,217759160,18,23,2704,11,1850,567,0,0,26621488,1058766,940000023,0,567,690,3,1,14,14,4501,3,939210242,910279745,38116351,55251871,55251871,1,3,1,2873097324,73389,73389,14,14,14,55251875,12,3,99374,389531,663021,7833,939210242,380479,25959401,2274
406441.45,10,253952,62,54672,3599623206,4,13122131,422,9,9,2356,410,2,567,476417,32,21483,19,105390637,1136,1,0,4,3809,68029034,9,272116136,18,23,2704,11,1850,567,0,0,33614320,1591795,1165994103,0,567,690,3,1,14,14,4501,3,1165599022,1136028596,48237811,69050629,69050629,1,3,1,3589780772,73389,73389,14,14,14,69034249,12,3,106861,491013,806123,9737,1165599022,476417,32809370,2274
408455.68,16,253952,62,65122,4289216344,4,15839712,517,9,9,2356,476,2,567,571759,32,25605,19,108877711,1136,1,0,4,3809,81129490,9,324453328,18,23,2704,11,1850,567,0,0,40314747,2055577,1383352052,0,567,690,3,1,14,14,4501,3,1382494911,1352972471,58080281,82305668,82322052,1,3,1,4279894768,73389,73389,14,14,14,82305672,12,3,116225,588738,935815,11536,1382494911,571759,39379981,2274
410468.90,24,253952,62,75341,4962367538,5,18022962,602,10,10,2356,538,2,567,662941,32,29621,19,111689089,1136,1,0,4,3809,93867547,9,375341200,18,24,2704,11,1850,567,0,0,46693770,2657218,1596065281,0,567,690,3,1,14,14,4501,3,1594982601,1565239719,67219450,95225279,95241663,1,3,1,4951714540,73389,73389,14,14,14,95225283,12,3,122516,682198,1071045,13292,1594982601,662941,45624350,2274
412483.91,26,253952,62,85620,5639149242,6,20438906,690,10,10,2356,601,2,567,761968,32,33668,19,113860969,1136,1,0,4,3809,106687978,9,426751912,18,24,2704,11,1850,567,0,0,53042157,2979700,1807541040,0,567,690,3,1,14,14,4501,3,1806112145,1778278784,76256608,108261737,108261737,1,3,1,5629610356,73389,73389,14,14,14,108261741,12,3,126861,783555,1198772,15035,1806112145,761968,51845223,2274
414491.70,26,253952,62,96074,6329306174,6,21752878,778,10,10,2356,665,2,567,857492,32,37788,19,115103767,1136,1,0,4,3809,119771767,9,479022388,18,24,2704,11,1850,567,0,0,59375349,3369267,2026451489,0,567,690,3,1,14,14,4501,3,2025166035,1995548381,84263289,121531001,121531001,1,3,1,6318760116,73389,73389,14,14,14,121514621,12,3,129761,881456,1331809,16848,2025166035,857492,58045603,2274
416500.97,26,253952,62,107336,7072054214,6,23102869,871,10,10,2356,737,2,585,959323,32,42231,19,118100770,1172,1,0,4,3809,133860705,9,535386648,18,24,2704,11,1850,585,0,0,66022192,3499686,2258907061,0,585,708,3,1,14,14,4501,3,2257176108,2229358912,92371670,135818232,135818232,1,3,1,7062548096,73389,73389,14,14,14,135818236,12,3,138880,985767,1449665,18777,2257176108,959323,64574822,2334
