timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
851956.03,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0
853960.43,0,0,18087,1190393220,0,0,0,0,1,1,4920,117,549,122248,23,1689,15,97,113102204,1100,1,0,14,15,0,13,2380,549,0,0,0,1983387,1346,391769963,0,549,368,2,1,14,14,5576,1,392069316,351046657,1985081,26763203,26779587,1,2,1,1177580932,73389,73389,14,14,14,26763203,11,1,3,343963,124236,790831,3009,392069316,122248,1192637,1648
855963.82,253952,62,35062,2309249734,24,25282684,0,64,28,28,4920,119,675,244194,23,5642,42,164,140299886,1352,1,0,41,42,10,13,2531,675,0,0,0,5910679,352395,728480684,0,675,438,2,1,14,14,5576,1,730069808,678864870,37254091,52114779,52131163,1,2,1,2293050276,73389,73389,14,14,14,52114779,11,1,3,488415,248609,1198317,5589,730069808,244194,4712694,1992
857967.20,253952,62,57087,3760378242,24,26068208,0,66,34,34,4920,123,675,315990,23,11870,42,164,140830790,1352,1,0,41,48,23,13,2531,675,0,0,0,9873442,353883,1150836088,0,675,438,2,1,14,14,5576,1,1153956656,1103117711,45054716,85106888,85123272,1,2,1,3744703072,73389,73389,14,14,14,85106888,11,1,3,503478,322481,1317070,8823,1153956656,315990,8556885,1992
859971.04,253952,62,79490,5236544810,24,26322297,0,73,34,34,4920,127,675,383680,23,18200,42,164,141361694,1352,1,0,41,48,23,13,2531,675,0,0,0,13826640,353936,1581454464,0,675,438,2,1,14,14,5576,1,1584659248,1534565711,57856708,118653894,118670278,1,2,1,5220771336,73389,73389,14,14,14,118653894,11,1,3,512524,392121,1412166,12109,1584659248,383680,12415158,1992
861974.61,253952,62,102303,6739846590,26,28322426,0,73,34,34,4920,130,675,452317,23,24584,42,164,141892598,1352,1,0,41,48,23,13,2531,675,0,0,0,17840315,353957,2022035609,0,675,438,2,1,14,14,5576,1,2024274736,1974114388,66018246,152821333,152821333,1,2,1,6724138652,73389,73389,14,14,14,152821333,11,1,3,517669,462839,1490876,15463,2024274736,452317,16350299,1992
863978.58,253952,62,124569,8206769274,26,28322426,0,73,34,34,4920,134,675,526172,23,30878,42,164,142423502,1352,1,0,41,48,23,13,2531,675,0,0,0,21830214,354071,2450683189,0,675,438,2,1,14,14,5576,1,2452749104,2402882782,71960116,186149314,186165698,1,2,1,8190569816,73389,73389,14,14,14,186149314,11,1,3,522546,538805,1609285,18732,2452749104,526172,20221972,1992
865984.44,253952,62,143106,9428246406,26,28831417,0,93,34,34,4920,137,675,618358,23,36098,42,164,142942340,1352,1,0,41,48,23,13,2531,675,0,0,0,25917195,611996,2806573688,0,675,438,2,1,14,14,5576,1,2809527088,2759982905,113549207,213923563,213923563,1,2,1,9412636772,73389,73389,14,14,14,213923563,11,1,3,540645,633304,1749677,21454,2809527088,618358,24168722,1992
867989.21,253952,62,154039,10148408902,32,35878672,0,128,34,34,4920,139,675,675761,23,39186,42,164,143473244,1352,1,0,41,48,23,13,2531,675,0,0,0,28366668,658758,3018969848,0,675,438,2,1,14,14,5576,1,3019213776,2970442036,132408444,230281211,230297595,1,2,1,10132373284,73389,73389,14,14,14,230281211,11,1,3,542092,692002,1810947,23057,3019213776,675761,26557012,1992
869994.16,253952,62,168622,11109429430,32,37992607,0,179,37,37,4920,141,675,767005,23,43275,42,164,144004148,1352,1,0,41,51,23,13,2531,675,0,0,0,32071754,906528,3297902726,0,675,438,2,1,14,14,5576,1,3300101072,3251277962,138890729,252135247,252151631,1,2,1,11093950868,73389,73389,14,14,14,252135247,11,1,3,558796,785379,1952439,25200,3300101072,767005,30120740,1992
