timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
400577.86,1,0,0,16407,1079761836,0,0,0,1,1,9401,117,495,130101,26,1532,11,0,101944208,992,1,10,15,9,5092,495,1987981,2921,355200476,495,400,2,1,14,14,360,1,355500228,318440728,1991077,24293537,24293537,1,2,1,1068194732,73389,73389,14,14,14,24277153,10,3,311821,132302,808689,2730,355500228,130101,1179387,1652
402586.10,1,253952,62,31693,2087131690,9,9518055,27,20,20,9401,119,675,245171,26,4738,30,36,140299886,1352,1,29,34,9,5690,675,5172503,1116555,661061300,675,544,2,1,14,14,360,1,665058096,613898189,20790602,47071110,47087494,1,2,1,2071128840,73389,73389,14,14,14,47071110,10,3,503704,249528,1346125,5093,665058096,245171,3826583,2229
404596.91,1,253952,62,45431,2992243394,15,17661122,72,20,20,9401,121,675,362518,26,8579,30,36,140565338,1352,1,29,34,9,5690,675,9470126,2903092,927651212,675,544,2,1,14,14,360,1,929168176,878528211,36482220,67684280,67684280,1,2,1,2978108320,73389,73389,14,14,14,67684280,10,3,512581,369173,1493764,7113,929823536,362518,7976690,2229
406612.45,1,253952,62,58624,3861637978,16,21422397,104,24,24,9401,123,675,480753,26,12295,30,36,140830790,1352,1,29,38,9,5690,675,13585848,5053230,1182043430,675,544,2,1,14,14,360,1,1183578928,1132682093,49681378,87396330,87412714,1,2,1,3845438520,73389,73389,14,14,14,87396330,10,3,537057,489566,1688967,9049,1183578928,480753,11897327,2229
408626.00,1,253952,62,72280,4761641182,20,26755508,142,28,28,9401,125,675,609507,26,16128,30,36,141361694,1352,1,29,42,9,5690,675,17371765,6678788,1443640714,675,544,2,1,14,14,360,1,1446247216,1395783119,62393943,107859885,107876269,1,2,1,4745834940,73389,73389,14,14,14,107859885,10,3,557791,620530,1880936,11053,1446247216,609507,15491393,2229
410635.24,1,253952,62,85496,5632277642,22,31437233,173,29,29,9401,128,675,722115,26,19894,30,36,141627146,1352,1,29,43,9,5690,675,21628447,9128539,1696191496,675,544,2,1,14,14,360,1,1700395824,1650257735,75787332,127656014,127656014,1,2,1,5616143720,73389,73389,14,14,14,127639630,10,3,574882,735278,2067883,12992,1700395824,722115,19561231,2229
412647.96,1,253952,62,98651,6499181858,24,36988788,211,30,30,9401,130,675,833314,26,23602,30,36,141892598,1352,1,29,44,9,5690,675,25535335,11034093,1952292125,675,544,2,1,14,14,360,1,1953626928,1903771010,88634812,147351680,147351680,1,2,1,6482753024,73389,73389,14,14,14,147335296,10,3,595882,848601,2269186,14924,1953626928,833314,23266939,2229
414658.75,1,253952,62,112938,7440803730,25,40428274,247,31,31,9401,132,675,946521,26,27596,30,36,142423502,1352,1,29,45,9,5690,675,29913831,12757527,2227146526,675,544,2,1,14,14,360,1,2229009200,2179005019,100782334,168738772,168755156,1,2,1,7424505968,73389,73389,14,14,14,168738772,10,3,606799,964122,2443421,17025,2229009200,946521,27471340,2229
416671.01,1,253952,62,128493,8465525250,27,44598173,284,34,34,9401,135,675,1067925,26,32009,30,36,142688954,1352,1,29,48,9,5690,675,34325772,13476070,2526655878,675,544,2,1,14,14,360,1,2528508720,2478546440,111935566,192042792,192042792,1,2,1,8449161952,73389,73389,14,14,14,192026408,10,3,625181,1088048,2635811,19310,2528508720,1067925,31691031,2229
418685.12,1,253952,62,141912,9349730970,27,47854824,316,34,34,9401,137,675,1191791,26,35778,30,36,142942340,1352,1,29,48,9,5690,675,38330248,15794996,2785233559,675,544,2,1,14,14,360,1,2786458416,2736974064,123164615,212131674,212148058,1,2,1,9333793656,73389,73389,14,14,14,212131674,10,3,640916,1214270,2818766,21278,2786458416,1191791,35512663,2229
420699.25,1,253952,62,154988,10210868018,28,53289415,348,35,35,9401,139,675,1312070,26,39476,30,36,143473244,1352,1,29,49,9,5690,675,42442732,18055481,3033168895,675,544,2,1,14,14,360,1,3037563856,2988705279,138324637,231712652,231712652,1,2,1,10194635792,73389,73389,14,14,14,231696268,10,3,657903,1338047,2991528,23197,3037563856,1312070,39452492,2229
422712.43,1,253952,62,168141,11077906614,29,57268518,385,38,38,9401,141,675,1434624,26,43147,30,36,144004148,1352,1,29,52,9,5690,675,46474512,20428772,3286377153,675,544,2,1,14,14,360,1,3290401744,3241997573,153499740,251414351,251430735,1,2,1,11062231444,73389,73389,14,14,14,251414351,10,3,684466,1462743,3207406,25126,3290401744,1434624,43268501,2229
424721.27,1,253952,62,181387,11950243702,33,63327792,424,41,41,9401,143,675,1554225,26,46865,30,36,144004148,1352,1,29,55,9,5690,675,50777439,22570938,3542737555,675,544,2,1,14,14,360,1,3545598928,3497109485,169020953,271245407,271245407,1,2,1,11934797908,73389,73389,14,14,14,271245407,10,3,704995,1584533,3396851,27073,3545598928,1554225,47382088,2229
426734.31,1,253952,62,195862,12904186342,36,71069199,445,45,45,9401,146,675,1678807,26,50978,30,36,144535052,1352,1,29,59,9,5690,675,55022437,24258316,3821914663,675,544,2,1,14,14,360,1,3824258000,3775912860,189496129,292927411,292927411,1,2,1,12888085188,73389,73389,14,14,14,292911027,10,3,725031,1711464,3613793,29199,3824258000,1678807,51410263,2229
428749.16,1,253952,62,209142,13779548010,41,77310068,482,47,47,9401,148,675,1801512,26,54712,30,36,145065956,1352,1,29,61,9,5690,675,59194950,26309830,4077615259,675,544,2,1,14,14,360,1,4079717328,4031721963,205022773,312817526,312833910,1,2,1,13763971144,73389,73389,14,14,14,312817526,10,3,742713,1836406,3800080,31148,4079717328,1801512,55396597,2229
430758.88,1,253952,62,221474,14591985194,43,81637332,523,49,49,9401,150,675,1925895,26,58184,30,36,145331408,1352,1,29,63,9,5690,675,63140682,28701628,4314170838,675,544,2,1,14,14,360,1,4317088720,4269352825,218018301,331272326,331288710,1,2,1,14575982344,73389,73389,14,14,14,331272326,10,3,757079,1962909,3971603,32959,4317088720,1925895,59170914,2229
432764.12,1,253952,62,230665,15197777446,47,87115760,568,49,49,9401,151,675,1992924,26,60744,30,36,145596860,1352,1,29,63,9,5690,675,65574672,28780783,4495135585,675,544,2,1,14,14,360,1,4494429136,4446402800,226713535,345055971,345055971,1,2,1,15182462724,73389,73389,14,14,14,345055971,10,3,757510,2031210,4038044,34312,4494429136,1992924,61538544,2229
434775.12,1,253952,62,242369,15968527118,47,89188876,605,53,53,9401,153,675,2107635,26,64067,30,36,145596860,1352,1,29,67,9,5690,675,69028933,29785582,4717923193,675,544,2,1,14,14,360,1,4719217616,4671666245,233109232,362564817,362581201,1,2,1,15952851948,73389,73389,14,14,14,362564817,10,3,780032,2147893,4205431,36027,4719217616,2107635,64825509,2229
436791.49,1,253952,62,255489,16833403026,49,92990405,647,54,54,9401,155,675,2259442,26,67738,30,36,146127764,1352,1,29,68,9,5690,675,73191308,31782473,4972702352,675,544,2,1,14,14,360,1,4972317648,4924558690,244134035,382225556,382225556,1,2,1,16817203568,73389,73389,14,14,14,382209172,10,3,787538,2302081,4381090,37958,4972317648,2259442,68812332,2229
438800.79,1,253952,62,268364,17681691710,50,96204571,692,56,56,9401,157,675,2399317,26,71358,30,36,146393216,1352,1,29,70,9,5690,675,77189926,33523705,5221188563,675,544,2,1,14,14,360,1,5219912656,5172519720,253878058,401505589,401505589,1,2,1,17666245916,73389,73389,14,14,14,401505589,10,3,804867,2447203,4587450,39847,5219912656,2399317,72604693,2229
440806.02,1,253952,62,280172,18459788030,53,101967240,747,57,57,9401,159,675,2499774,26,74687,30,36,146658668,1352,1,29,71,9,5690,675,80757698,34706221,5447912406,675,544,2,1,14,14,360,1,5447453648,5399920166,265923003,419190341,419190341,1,2,1,18444375004,73389,73389,14,14,14,419190341,10,3,812073,2549538,4721840,41583,5447453648,2499774,76038172,2229
442817.74,1,253952,62,290112,19114240762,55,105577012,771,58,58,9401,161,675,2567446,26,77508,30,36,146924120,1352,1,29,72,9,5690,675,83252810,34745608,5640034188,675,544,2,1,14,14,360,1,5637774155,5591232804,272072690,434063522,434079906,1,2,1,19098794968,73389,73389,14,14,14,434063522,10,3,816818,2618584,4806781,43039,5637774155,2567446,78448444,2229
444823.10,1,253952,62,300515,19799728098,58,109484866,816,60,60,9401,163,675,2642211,26,80454,30,36,147189572,1352,1,29,74,9,5690,675,85959826,35026573,5840146912,675,544,2,1,14,14,360,1,5838183243,5791655721,279150658,449647248,449647248,1,2,1,19784478912,73389,73389,14,14,14,449647248,10,3,822440,2694840,4910126,44568,5838183243,2642211,81052214,2229
446833.66,1,253952,62,311981,20554686902,58,111207603,845,63,63,9401,166,675,2736900,26,83751,30,36,147720476,1352,1,29,77,9,5690,675,89110702,35571685,6057465365,675,544,2,1,14,14,360,1,6058022249,6012280317,284702858,466809871,466809871,1,2,1,20538913428,73389,73389,14,14,14,466793487,10,3,833071,2791333,5033271,46252,6058022249,2736900,84080041,2229
448848.46,1,253952,62,325248,21428931150,59,114160452,883,63,63,9401,168,675,2872238,26,87479,30,36,147985928,1352,1,29,77,9,5690,675,93274542,37004033,6312904977,675,544,2,1,14,14,360,1,6313481577,6267788727,294206794,486677569,486693953,1,2,1,21413813036,73389,73389,14,14,14,486677569,10,3,844808,2928906,5208846,48201,6313481577,2872238,88068426,2229
450853.15,1,253952,62,336297,22156618342,64,120699534,934,66,66,9401,171,675,2957496,26,90695,30,36,148516832,1352,1,29,80,9,5690,675,96570018,37899614,6527511964,675,544,2,1,14,14,360,1,6525628426,6480409824,305836280,503225792,503225792,1,2,1,22141934848,73389,73389,14,14,14,503225792,10,3,854257,3015869,5330364,49826,6525628426,2957496,91242484,2229
452858.91,1,253952,62,346269,22813847596,64,122357283,965,66,66,9401,172,675,3017958,26,93470,30,36,148782284,1352,1,29,80,9,5690,675,98909915,37908277,6719486798,675,544,2,1,14,14,360,1,6717911050,6672567994,309847078,518162350,518162350,1,2,1,22798422504,73389,73389,14,14,14,518145966,10,3,860189,3077670,5421262,51293,6717911050,3017958,93491570,2229
454876.52,1,253952,62,357060,23525028352,64,124037981,1001,68,68,9401,174,675,3090084,26,96537,30,36,149047736,1352,1,29,82,9,5690,675,101572879,38143312,6925497772,675,544,2,1,14,14,360,1,6925529098,6880546484,314544795,534317357,534317357,1,2,1,23509242812,73389,73389,14,14,14,534300973,10,3,871330,3151353,5525126,52877,6925529098,3090084,96050761,2229
456884.60,1,253952,62,370514,24411367300,68,130207770,1041,73,73,9401,177,675,3232070,26,100357,30,36,149844092,1352,1,29,87,9,5690,675,105537951,39669213,7184599051,675,544,2,1,14,14,360,1,7183866691,7139517086,328164958,554469616,554469616,1,2,1,24396663104,73389,73389,14,14,14,554469616,10,3,886746,3295604,5729808,54854,7183866691,3232070,99811265,2229
458898.31,1,253952,62,383584,25272170052,68,135408276,1081,75,75,9401,179,675,3375006,26,104041,30,36,149844092,1352,1,29,89,9,5690,675,109588936,41192085,7434656237,675,544,2,1,14,14,360,1,7435258320,7391139058,340571593,574022144,574038528,1,2,1,25256974336,73389,73389,14,14,14,574022144,10,3,910368,3443500,5935077,56773,7435258320,3375006,103657127,2229
460911.19,1,253952,62,396483,26120629192,70,141274610,1119,76,76,9401,185,675,3511561,26,107871,30,36,151171352,1352,1,29,90,9,5690,675,113597273,43167020,7679340371,675,544,2,1,14,14,360,1,7680366445,7639111406,352494426,593322435,593322435,1,2,1,26106187140,73389,73389,14,14,14,593322435,10,3,927138,3582185,6115501,58663,7680366445,3511561,107485140,2229
