timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
288671.80,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
290681.20,1,253952,62,24171,1591068936,0,2238984,0,153,9,9,1605,205,1,558,223072,0,24,9476,20,1213,100187079,1118,1,0,4,1922,29981553,8,119926212,19,23,10,4882,558,0,0,13677246,376226,535261001,0,558,517,0,3,1,14,14,2532,3,536326111,503491538,16272143,30426742,30426742,1,3,1,1582190616,73389,73389,14,14,14,30426746,7,1,3,74851,228030,414185,4489,536326111,223072,13263542,1925
292688.03,6,253952,62,61384,4042348414,0,4299096,0,332,15,15,1605,447,2,576,533989,0,24,24092,26,1213,110922164,1154,1,0,4,1922,76352829,8,305088596,25,29,10,5199,576,0,0,34907256,740344,1303931388,0,576,531,0,3,1,14,14,2532,3,1303923538,1275798648,39914069,77542686,77542686,1,3,1,4030515768,73389,73389,14,14,14,77509922,7,1,3,106712,546393,842595,10869,1303923538,533989,34065890,1975
294703.51,6,253952,62,104090,6856814630,0,6820143,0,542,15,15,1605,717,3,576,898118,0,24,40904,26,1213,116544920,1154,1,0,4,1922,129653397,8,518548964,25,29,10,5199,576,0,0,59586377,1123738,2188253805,0,576,531,0,3,1,14,14,2532,3,2189599145,2161960321,67372119,131649392,131665776,1,3,1,6845768416,73389,73389,14,14,14,131649396,7,1,3,122748,919110,1279547,18208,2189599145,898118,58308897,1975
296713.67,8,253952,62,139782,9208763766,3,13560804,0,745,16,16,1605,949,5,585,1218253,0,24,54998,26,1213,118671513,1172,1,0,4,1922,174349994,8,697270664,25,30,10,5199,585,0,0,80520796,1394620,2931159429,0,585,542,0,3,1,14,14,2532,3,2929596756,2901879284,95375913,176903593,176919977,1,3,1,9198986868,73389,73389,14,14,14,176903597,7,1,3,141706,1246400,1689136,24351,2929596756,1218253,78834449,2012
298721.06,13,253952,62,175969,11593439132,3,16513850,0,941,16,16,1605,1183,12,612,1548045,4,24,69218,26,1213,123366747,1226,1,0,4,1922,219440915,8,877634496,25,30,10,5199,612,0,0,102297774,1800971,3682630171,0,608,573,4,3,1,14,14,2532,3,3680810885,3652787907,120521748,222751492,222767876,1,3,1,11583077616,73389,73389,14,14,14,222751496,7,1,3,157630,1583818,2096425,30590,3680810885,1548045,100203895,2105
300725.53,18,253952,62,204720,13487377798,5,21333405,0,1108,16,16,1605,1368,12,612,1807084,4,24,80521,26,1213,123366747,1226,1,0,4,1922,255299769,8,1021069660,25,30,10,5199,612,0,0,118885941,2053323,4280733376,0,608,573,4,3,1,14,14,2532,3,4278538021,4249110794,142163470,259188115,259204499,1,3,1,13477782012,73389,73389,14,14,14,259188119,7,1,3,169398,1848722,2423928,35548,4278538021,1807084,116466083,2105
302732.09,20,253952,62,227220,14970094414,11,28385510,0,1198,21,21,1605,1514,13,612,1948012,4,24,89427,26,1213,123366747,1226,1,0,4,1922,283545524,8,1133923556,25,35,10,5199,612,0,0,129149684,2083719,4748733476,0,608,573,4,3,1,14,14,2532,3,4745639083,4716028789,159518077,287689293,287689293,1,3,1,14958991300,73389,73389,14,14,14,287672913,7,1,3,192402,1993119,2638522,39423,4745639083,1948012,126515556,2105
304743.97,27,253952,62,256414,16893291108,11,29365729,0,1373,22,22,1605,1705,13,621,2226936,6,24,100934,26,1213,124808895,1244,1,0,4,1922,319997541,8,1279869432,25,36,10,5199,621,0,0,147799732,2535822,5355776383,0,615,586,6,3,1,14,14,2532,3,5353125643,5321358840,179565258,324678654,324695038,1,3,1,16881586104,73389,73389,14,14,14,324645890,7,1,3,207201,2278352,2987544,44470,5353256715,2226996,144817184,2136
306749.63,1538,253952,62,290321,19128749516,11,31938019,0,1589,24,24,1605,1922,15,630,2580954,6,24,114259,26,1213,126249319,1262,1,0,4,1922,362268443,8,1448888668,25,38,10,5199,630,0,0,170466856,3202904,6067337138,0,624,597,6,3,1,14,14,2532,3,6064354447,6026104948,205369051,367599850,367616234,1,3,1,19114340264,73389,73389,14,14,14,367583470,7,1,3,228876,2640067,3434015,50367,6064354447,2580954,167038553,2185
308758.23,1538,253952,62,321377,21173253956,17,39423002,0,1716,28,28,1605,2119,16,639,2785352,8,24,126439,26,1213,127690923,1280,1,0,4,1922,400908430,8,1603440112,25,42,10,5199,639,0,0,185237899,3226036,6730177103,0,631,613,8,3,1,14,14,2532,3,6726210677,6671733929,227750242,406793303,406826071,1,3,1,21153251788,73389,73389,14,14,14,406793307,7,1,3,268082,2849566,3752543,55850,6726210677,2785352,181491618,2217
310763.20,1542,253952,62,356723,23501888138,17,40515246,0,1894,29,29,1605,2341,16,639,3093222,8,24,140223,26,1213,127690923,1280,1,0,4,1922,444762724,8,1778921980,25,43,10,5199,639,0,0,204892253,3486256,7502826435,0,631,613,8,3,1,14,14,2532,3,7496252295,7407838773,248682384,451404654,451404654,1,3,1,23473042040,73389,73389,14,14,14,451404658,7,1,3,274722,3164528,4113874,62237,7496252295,3093222,200785324,2217
312777.19,1545,253952,62,384532,25333319668,23,47718376,0,2017,34,34,1605,2523,16,639,3277788,8,24,151178,26,1213,127690923,1280,1,0,4,1922,479417662,8,1917411956,25,48,10,5199,639,0,0,217804148,3539059,8122448451,0,631,613,8,3,1,14,14,2532,3,8116558708,7987894857,268882541,486389578,486405962,1,3,1,25292258088,73389,73389,14,14,14,486389582,7,1,3,298941,3353701,4374430,67397,8116558708,3277788,213437130,2217
