timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
271884.41,0,0,21845,1438016834,0,0,0,1,1,3894,117,0,657,133128,20,2039,16,145,135695714,1316,1,15,15,0,14,308,657,1977422,4513,473297687,657,394,2,1,14,14,533,1,473727172,424018571,1982647,32331160,32347544,1,2,1,1422571040,73389,73389,14,14,14,32331160,11,3,284666,135438,657789,3632,473727172,133128,1319712,1982
273891.09,253952,62,42190,2778779410,3,3109727,20,18,18,3894,121,0,675,231639,20,7697,33,183,140565338,1352,1,32,32,10,14,398,675,6408644,105657,864028045,675,405,2,1,14,14,533,1,867040048,816125611,22300682,62794100,62810484,1,2,1,2762940400,73389,73389,14,14,14,62794100,11,3,350536,236426,881111,6634,867040048,231639,5527785,2034
275902.23,253952,62,58243,3836620498,14,16482151,58,18,18,3894,123,0,675,331845,20,12182,33,183,140830790,1352,1,32,32,10,14,398,675,10475173,900016,1175089314,675,405,2,1,14,14,533,1,1175976752,1125369545,52090285,86816857,86839274,1,2,1,3819941708,73389,73389,14,14,14,86816857,11,3,361449,338915,1042130,8991,1175976752,331845,9433429,2034
277908.33,253952,62,74079,4880071350,14,19232588,100,19,19,3894,126,0,675,436761,20,16667,33,183,141361694,1352,1,32,33,10,14,398,675,14515293,2091444,1478286193,675,405,2,1,14,14,533,1,1480588080,1430428465,61109734,110542543,110558927,1,2,1,4863871892,73389,73389,14,14,14,110542543,11,3,376740,446086,1207404,11315,1480588080,436761,13308438,2034
279917.99,253952,62,89523,5897783826,14,22967124,153,20,20,3894,128,0,675,535202,20,20990,33,183,141627146,1352,1,32,34,10,14,398,675,18609183,3097980,1775977645,675,405,2,1,14,14,533,1,1778252592,1727881657,70962098,133688756,133688756,1,2,1,5881584368,73389,73389,14,14,14,133672372,11,3,391008,546860,1381144,13586,1778252592,535202,17228751,2034
281922.65,253952,62,102963,6783365802,18,30213424,201,20,20,3894,130,1,675,617211,20,24764,33,183,141892598,1352,1,32,34,10,14,398,675,21881872,3684897,2037463099,675,405,2,1,14,14,533,1,2036726576,1986831929,82649120,153810406,153810406,1,2,1,6767657864,73389,73389,14,14,14,153810406,11,3,401141,630649,1501140,15558,2036726576,617211,20381574,2034
283932.43,253952,62,115214,7590760022,19,31654403,222,23,23,3894,132,1,675,684485,20,28217,33,183,142423502,1352,1,32,37,10,14,398,675,24668146,3846355,2272461262,675,405,2,1,14,14,533,1,2272918320,2222864595,87149032,172148359,172164743,1,2,1,7574527796,73389,73389,14,14,14,172148359,11,3,407052,702312,1588266,17360,2272918320,684485,23080835,2034
285942.43,253952,62,130411,8591874862,20,35162554,270,24,24,3894,135,1,675,791475,20,32528,33,183,142688954,1352,1,32,38,10,14,398,675,28739607,4725303,2565433840,675,405,2,1,14,14,533,1,2565339952,2515400077,96455145,194905674,194928091,1,2,1,8575849656,73389,73389,14,14,14,194905674,11,3,418895,811593,1750958,19591,2565339952,791475,26989762,2034
287950.42,253952,62,145301,9572894282,21,38737542,319,25,25,3894,137,1,675,902095,20,36700,33,183,142942340,1352,1,32,39,10,14,398,675,32710811,5538588,2849750203,675,405,2,1,14,14,533,1,2851863344,2802248052,104883175,217202078,217218462,1,2,1,9556891432,73389,73389,14,14,14,217202078,11,3,435401,924525,1927630,21777,2851863344,902095,30784448,2034
289960.27,253952,62,160190,10553909906,21,41062899,363,25,25,3894,140,1,675,1022766,20,40921,33,183,143738696,1352,1,32,39,10,14,398,675,36933697,6140063,3137699119,675,405,2,1,14,14,533,1,3137571792,3088936241,112653887,239510548,239510548,1,2,1,10537743216,73389,73389,14,14,14,239494164,11,3,448184,1047611,2096086,23960,3137571792,1022766,34839018,2034
