timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
594004.58,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,14,396,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0
596009.46,2,0,0,19771,1301286748,0,0,0,0,1,1,7237,117,603,126794,23,1846,15,102,124260200,1208,1,0,14,15,0,13,246,603,0,0,0,1975908,11133,428078602,0,603,351,2,1,14,14,396,0,1,429424836,383801091,1987670,29249253,29265637,1,2,1,0,1286967132,73389,73389,14,14,14,29249253,9,3,373424,128830,824135,3294,429424836,126794,1151809,1697
598014.23,2,253952,62,32982,2172138498,17,18373720,0,31,19,19,7237,119,675,197512,23,5089,33,117,140299886,1352,1,0,32,33,9,13,313,675,0,0,0,4542479,11276,688193793,0,675,390,2,1,14,14,396,0,1,689830704,638805698,26343294,49000104,49016488,1,2,1,0,2156004576,73389,73389,14,14,14,49000104,9,3,475008,201182,1082164,5282,689830704,197512,3460463,1903
600021.27,2,253952,62,46850,3085769882,17,20034309,0,72,21,21,7237,121,675,303484,23,8966,33,117,140565338,1352,1,0,32,35,9,13,313,675,0,0,0,8159659,661558,955063106,0,675,390,2,1,14,14,396,0,1,956824368,905915750,32414935,69760730,69777114,1,2,1,0,3069472120,73389,73389,14,14,14,69760730,9,3,486673,309215,1200567,7319,956824368,303484,6959385,1903
602028.11,2,253952,62,60953,4015333130,18,23993015,0,113,23,23,7237,124,675,405744,23,12982,33,117,141096242,1352,1,0,32,37,9,13,313,675,0,0,0,12172474,1849065,1225477760,0,675,390,2,1,14,14,396,0,1,1228143408,1177596168,42099040,90902062,90918446,1,2,1,0,3999690728,73389,73389,14,14,14,90902062,9,3,494317,413651,1340425,9389,1228143408,405744,10832492,1903
604036.65,2,253952,62,75247,4957148302,20,28128325,0,156,24,24,7237,126,675,514644,23,16987,33,117,141361694,1352,1,0,32,38,9,13,313,675,0,0,0,16173513,2792265,1501799086,0,675,390,2,1,14,14,396,0,1,1503394608,1452963318,52668633,112307697,112307697,1,2,1,0,4940817772,73389,73389,14,14,14,112291313,9,3,502048,524786,1490444,11489,1503394608,514644,14683654,1903
606041.80,2,253952,62,86487,5697754722,22,30944047,0,189,24,24,7237,128,675,575016,23,20162,33,117,141627146,1352,1,0,32,38,9,13,313,675,0,0,0,18709103,2885757,1720000561,0,675,390,2,1,14,14,396,0,1,1719663408,1669404342,58226418,129142640,129142640,1,2,1,0,5682276160,73389,73389,14,14,14,129142640,9,3,502132,586547,1548471,13139,1719663408,575016,17161320,1903
608054.54,2,253952,62,99805,6575075854,22,33543543,0,224,26,26,7237,130,675,673425,23,23903,33,117,141892598,1352,1,0,32,40,9,13,313,675,0,0,0,22276212,3456417,1976639795,0,675,390,2,1,14,14,396,0,1,1976171312,1925932522,65133071,149078033,149078033,1,2,1,0,6559433452,73389,73389,14,14,14,149078033,9,3,514635,687778,1700570,15096,1976171312,673425,20576462,1903
610062.52,2,253952,62,113854,7501100158,23,37153699,0,262,28,28,7237,132,675,792951,23,27851,33,117,142423502,1352,1,0,32,42,9,13,313,675,0,0,0,26209403,4700589,2244943781,0,675,390,2,1,14,14,396,0,1,2246703920,2196658629,74561620,170121061,170121061,1,2,1,0,7484605788,73389,73389,14,14,14,170104677,9,3,519829,812497,1828723,17160,2246703920,792951,24381627,1903
612068.76,2,253952,62,128036,8435309846,23,42159278,0,301,29,29,7237,135,675,895088,23,31884,33,117,142423502,1352,1,0,32,43,9,13,313,675,0,0,0,30193908,5849980,2516805616,0,675,390,2,1,14,14,396,0,1,2519464752,2469677638,85623176,191348631,191365015,1,2,1,0,8419339764,73389,73389,14,14,14,191348631,9,3,524381,916825,1953338,19241,2519464752,895088,28241599,1903
614081.89,2,253952,62,142528,9390366598,25,46465340,0,340,30,30,7237,137,675,1005729,23,35942,33,117,142942340,1352,1,0,32,44,9,13,313,675,0,0,0,34294859,6764806,2797710432,0,675,390,2,1,14,14,396,0,1,2798517040,2748851325,96320557,213055211,213071595,1,2,1,0,9374429284,73389,73389,14,14,14,213055211,9,3,529368,1029859,2082223,21370,2798517040,1005729,32213879,1903
616087.08,2,253952,62,156338,10299872522,25,50043458,0,393,31,31,7237,139,675,1114176,23,39813,33,117,143473244,1352,1,0,32,45,9,13,313,675,0,0,0,38005607,7658634,3061529991,0,675,390,2,1,14,14,396,0,1,3063253968,3014682833,105175745,233723566,233739950,1,2,1,0,10283836904,73389,73389,14,14,14,233723566,9,3,536156,1140456,2228568,23393,3063253968,1114176,35778409,1903
618093.22,2,253952,62,166729,10984838878,29,55841772,0,416,31,31,7237,141,675,1162615,23,42762,33,117,144004148,1352,1,0,32,45,9,13,313,675,0,0,0,40290620,7720651,3262290976,0,675,390,2,1,14,14,396,0,1,3263663056,3214872592,113525492,249305133,249305133,1,2,1,0,10969425852,73389,73389,14,14,14,249305133,9,3,539926,1190133,2293784,24922,3263663056,1162615,37998296,1903
620097.52,2,253952,62,177374,11685920474,29,57087475,0,442,31,31,7237,143,675,1216224,23,45771,33,117,144004148,1352,1,0,32,45,9,13,313,675,0,0,0,42657491,7728261,3468958029,0,675,390,2,1,14,14,396,0,1,3468397520,3419820480,117159965,265235082,265251466,1,2,1,0,11670343608,73389,73389,14,14,14,265235082,9,3,540536,1245158,2357858,26484,3468397520,1216224,40301188,1903
622103.11,2,253952,62,188172,12397559982,29,59021410,0,483,31,31,7237,144,675,1272806,23,48768,33,117,144269600,1352,1,0,32,45,9,13,313,675,0,0,0,45020133,7728324,3677193445,0,675,390,2,1,14,14,396,0,1,3676408784,3627903283,121479766,281406473,281406473,1,2,1,0,12381884812,73389,73389,14,14,14,281406473,9,3,543955,1303165,2431784,28071,3676408784,1272806,42590000,1903
624107.55,2,253952,62,199579,13149110914,30,61456778,0,524,32,32,7237,146,675,1334541,23,51990,33,117,144535052,1352,1,0,32,46,9,13,313,675,0,0,0,47628483,7758670,3896847605,0,675,390,2,1,14,14,396,0,1,3896085456,3847498701,126580897,298495368,298495368,1,2,1,0,13133796192,73389,73389,14,14,14,298495368,9,3,545756,1366433,2486688,29747,3896085456,1334541,45143550,1903
626113.55,2,253952,62,213340,14055995398,30,63254257,0,551,35,35,7237,149,675,1420195,23,55913,33,117,145065956,1352,1,0,32,49,9,13,313,675,0,0,0,51161251,8108834,4161486687,0,675,390,2,1,14,14,396,0,1,4160981968,4112661614,131788827,319106379,319122763,1,2,1,0,14040680676,73389,73389,14,14,14,319106379,9,3,557129,1454145,2606678,31768,4160981968,1420195,48556453,1903
628118.46,2,253952,62,225381,14849361606,33,67748251,0,584,35,35,7237,150,675,1486082,23,59249,33,117,145331408,1352,1,0,32,49,9,13,313,675,0,0,0,53988416,8321758,4394250555,0,675,390,2,1,14,14,396,0,1,4392586192,4344578324,140373143,337135195,337135195,1,2,1,0,14833948580,73389,73389,14,14,14,337135195,9,3,562556,1521743,2684538,33535,4392586192,1486082,51305868,1903
630123.54,2,253952,62,236625,15590230170,33,68954569,0,610,35,35,7237,152,675,1538405,23,62426,33,117,145596860,1352,1,0,32,49,9,13,313,675,0,0,0,56388404,8324790,4610489473,0,675,390,2,1,14,14,396,0,1,4608854992,4561095701,144011209,353978330,353978330,1,2,1,0,15575046520,73389,73389,14,14,14,353978330,9,3,563612,1575485,2733816,35185,4608854992,1538405,53656682,1903
632128.46,2,253952,62,247923,16334637678,33,70915886,0,655,35,35,7237,154,675,1591509,23,65616,33,117,145862312,1352,1,0,32,49,9,13,313,675,0,0,0,58741152,8325066,4826191624,0,675,390,2,1,14,14,396,0,1,4826303440,4778740234,148315066,370895193,370895193,1,2,1,0,16319388492,73389,73389,14,14,14,370895193,9,3,569023,1629920,2806780,36844,4826303440,1591509,55936553,1903
