timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
397860.07,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
399865.61,1,0,0,18528,1219294596,0,0,0,1,1,5043,117,558,137648,2,26,1730,9,0,114873386,1118,1,8,15,78,7,2622,558,1970084,10453,399634805,556,465,2,2,1,14,14,3428,1,401375428,359539027,1981117,27418563,27434947,1,2,1,1206416772,73389,73389,14,14,14,27418563,14,3,350411,139654,858115,3080,401375428,137648,1112055,1876
401872.31,1,253952,62,34492,2271628762,23,24733505,65,26,26,5043,119,675,229517,2,26,5492,34,30,140299886,1352,1,33,40,78,7,2738,675,5118187,305720,717957509,673,565,2,2,1,14,14,3428,1,718797616,667865931,35816756,51256778,51273162,1,2,1,2255298232,73389,73389,14,14,14,51256778,14,3,473271,234229,1205493,5503,718797616,229517,3912899,2259
403881.62,1,253952,62,49854,3283967286,23,27682709,114,28,28,5043,122,675,341501,2,26,9848,34,30,140830790,1352,1,33,42,78,7,2738,675,9149807,1957922,1011810602,673,565,2,2,1,14,14,3428,1,1014364976,963755461,43758421,74271919,74288303,1,2,1,3267964436,73389,73389,14,14,14,74271919,14,3,482481,348505,1359964,7759,1014496048,341541,7790169,2259
405895.87,1,253952,62,64992,4281360294,24,31156576,153,30,30,5043,124,675,463904,2,26,14091,34,30,141096242,1352,1,33,44,78,7,2738,675,13210760,3549718,1303170952,673,565,2,2,1,14,14,3428,1,1306000176,1255312193,55232234,96945155,96961539,1,2,1,4265586820,73389,73389,14,14,14,96945155,14,3,496085,473118,1518530,9983,1306000176,463904,11692680,2259
407905.69,1,253952,62,79931,5265446186,25,35870921,190,33,33,5043,127,675,590145,2,26,18340,34,30,141361694,1352,1,33,47,78,7,2738,675,16970451,5112184,1586262315,673,565,2,2,1,14,14,3428,1,1593178928,1543043654,66686661,119309254,119325638,1,2,1,5249607176,73389,73389,14,14,14,119309254,14,3,509095,604802,1669869,12174,1593178928,590145,15301138,2259
409918.24,1,253952,62,95592,6297645426,28,41779158,233,33,33,5043,129,675,712817,2,26,22703,34,30,141892598,1352,1,33,47,78,7,2738,675,21320293,7051147,1891123114,673,565,2,2,1,14,14,3428,1,1895168816,1844778773,79844257,142772796,142789180,1,2,1,6282003024,73389,73389,14,14,14,142772796,14,3,514319,732790,1825057,14478,1895168816,712817,19495910,2259
411934.31,1,253952,62,110246,7263319010,28,46854989,276,35,35,5043,132,675,825054,2,26,26873,34,30,142423502,1352,1,33,49,78,7,2738,675,25294710,8842207,2172779714,673,565,2,2,1,14,14,3428,1,2177235760,2127148632,91551616,164716944,164716944,1,2,1,7246824640,73389,73389,14,14,14,164700560,14,3,527236,847245,2007032,16630,2177235760,825054,23288463,2259
413946.50,1,253952,62,125452,8264903014,31,53366609,316,37,37,5043,134,675,951272,2,26,31118,34,30,142423502,1352,1,33,51,78,7,2738,675,29306995,10538470,2465180279,673,565,2,2,1,14,14,3428,1,2469788464,2419885129,104493558,187482451,187482451,1,2,1,8249227844,73389,73389,14,14,14,187482451,14,3,543711,979697,2195122,18862,2469788464,951272,27112770,2259
415954.71,1,253952,62,142540,9391153030,33,59096623,352,40,40,5043,137,675,1063374,2,26,35955,34,30,142942340,1352,1,33,54,78,7,2738,675,33739170,11594166,2794309331,673,565,2,2,1,14,14,3428,1,2798779184,2749113175,118449222,213071595,213087979,1,2,1,9375150180,73389,73389,14,14,14,213071595,14,3,559068,1094273,2370687,21372,2798779184,1063374,31369521,2259
