timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
196.37,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
2199.70,253952,62,44394,2924017110,0,0,0,0,60,60,14,121,675,313930,126,19,8297,72,176,140565338,1352,1,0,71,74,77,11,360,675,0,0,0,7194767,31805,860193345,0,549,305,126,9,1,2,1,14,14,294,1,909507376,858589044,10800933,66088999,66105383,1,2,1,2907915956,73389,73389,14,14,14,66088999,6,3,437972,319153,2144374,6958,909507376,313930,5050806,2888
4202.31,253952,62,68010,4480221816,0,0,0,0,60,60,14,125,675,377445,126,19,14957,72,176,141361694,1352,1,0,71,74,77,11,360,675,0,0,0,11072162,31926,1314134926,0,549,305,126,9,1,2,1,14,14,294,1,1363934000,1313557583,16720477,101466695,101466695,1,2,1,4464534580,73389,73389,14,14,14,101466695,6,3,439488,384400,2231509,10425,1363934000,377445,8841235,2888
6239.71,253952,62,90500,5962077950,0,0,0,0,60,60,14,128,675,458499,126,19,21259,72,176,141627146,1352,1,0,71,74,77,11,360,675,0,0,0,14841070,89166,1746669267,0,549,305,126,9,1,2,1,14,14,294,1,1796864816,1746694500,43524218,135136581,135152965,1,2,1,5946009564,73389,73389,14,14,14,135136581,6,3,460063,467437,2385006,13728,1796864816,458499,12456813,2888
8247.72,253952,62,110432,7275508706,0,0,0,0,60,60,14,132,675,579983,126,19,26918,72,176,142423502,1352,1,0,71,74,77,11,360,675,0,0,0,19753144,318827,2134833366,0,549,305,126,9,1,2,1,14,14,294,1,2180643632,2130685780,59648968,164995472,164995472,1,2,1,7259800768,73389,73389,14,14,14,164995472,6,3,468524,591619,2537067,16656,2180643632,579983,17217018,2888
10255.27,253952,62,124974,8233576806,0,0,0,0,60,60,14,134,675,708299,126,19,30997,72,176,142423502,1352,1,0,71,74,77,11,360,675,0,0,0,24077285,2565338,2412148486,0,549,305,126,9,1,2,1,14,14,294,1,2460744496,2410710425,85896514,186761555,186777939,1,2,1,8217508420,73389,73389,14,14,14,186761555,6,3,501545,722250,2788051,18794,2460875568,708339,21290278,2888
12263.27,253952,62,141904,9349206682,0,0,0,0,60,60,14,137,675,847841,126,19,35769,72,176,142942340,1352,1,0,71,74,77,11,360,675,0,0,0,29169288,3659276,2739037892,0,549,305,126,9,1,2,1,14,14,294,1,2786196272,2736892908,100676593,212115290,212131674,1,2,1,9333072760,73389,73389,14,14,14,212115290,6,3,518438,864394,3040067,21276,2786196272,847841,26130397,2888
14269.42,253952,62,158735,10458024122,0,0,0,0,60,60,14,140,675,983617,126,19,40529,72,176,143738696,1352,1,0,71,74,77,11,360,675,0,0,0,33734472,4925174,3061552890,0,549,305,126,9,1,2,1,14,14,294,1,3109653456,3060911259,116705033,237319410,237335794,1,2,1,10442054040,73389,73389,14,14,14,237319410,6,3,536699,1005396,3242520,23747,3109653456,983617,30492234,2888
16276.67,253952,62,176314,11616186862,0,0,0,0,60,60,14,143,675,1120206,126,19,45472,72,176,144004148,1352,1,0,71,74,77,11,360,675,0,0,0,38624481,5862677,3403511356,0,549,305,126,9,1,2,1,14,14,294,1,3448081360,3399406198,135429882,263656185,263656185,1,2,1,11600872140,73389,73389,14,14,14,263656185,6,3,556966,1144478,3457612,26329,3448081360,1120206,35168269,2888
18285.61,253952,62,190374,12542666610,0,0,0,0,60,60,14,145,675,1258599,126,19,49434,72,176,144535052,1352,1,0,71,74,77,11,360,675,0,0,0,42517773,8298568,3672437255,0,549,305,126,9,1,2,1,14,14,294,1,3718613968,3670284802,166273791,284709564,284725948,1,2,1,12527220816,73389,73389,14,14,14,284709564,6,3,585555,1285080,3686044,28393,3718613968,1258599,38833231,2888
20296.56,253952,62,204261,13457808630,0,0,0,0,60,60,14,147,675,1395684,126,19,53324,72,176,144800504,1352,1,0,71,74,77,11,360,675,0,0,0,46997157,11187183,3942809034,0,549,305,126,9,1,2,1,14,14,294,1,3986000848,3937753355,182612817,305492607,305508991,1,2,1,13441674708,73389,73389,14,14,14,305492607,6,3,608033,1424344,3902725,30433,3986000848,1395684,43096030,2888
22305.17,253952,62,218047,14366066062,0,0,0,0,60,60,14,149,675,1533838,126,19,57196,72,176,145065956,1352,1,0,71,74,77,11,360,675,0,0,0,51226071,14000899,4203868746,0,549,305,126,9,1,2,1,14,14,294,1,4251421648,4203252260,217950674,326154929,326154929,1,2,1,14350816876,73389,73389,14,14,14,326154929,6,3,637161,1564721,4122155,32458,4251421648,1533838,47105608,2888
24310.70,253952,62,232282,15304087006,0,0,0,0,60,60,14,152,675,1653763,126,19,61256,72,176,145596860,1352,1,0,71,74,77,11,360,675,0,0,0,55592171,16418232,4482507013,0,549,305,126,9,1,2,1,14,14,294,1,4525099984,4477409700,236727669,347470452,347492869,1,2,1,15288699888,73389,73389,14,14,14,347470452,6,3,665343,1686889,4361082,34546,4525099984,1653763,51231895,2888
26315.71,253952,62,252738,16652051682,0,0,0,0,60,60,14,155,675,1794918,126,19,66986,72,176,146127764,1352,1,0,71,74,77,11,360,675,0,0,0,60715075,16471767,4877612874,0,549,305,126,9,1,2,1,14,14,294,1,4919233488,4871542866,245768254,378105424,378105424,1,2,1,16636638656,73389,73389,14,14,14,378105424,6,3,678291,1830965,4538136,37553,4919233488,1794918,56177936,2888
28325.03,253952,62,266937,17587640934,0,0,0,0,60,60,14,157,675,1917907,126,19,70972,72,176,146393216,1352,1,0,71,74,77,11,360,675,0,0,0,64542139,18757124,5150479495,0,549,305,126,9,1,2,1,14,14,294,1,5192649680,5145036240,273521792,399363603,399379987,1,2,1,17571998532,73389,73389,14,14,14,399363603,6,3,722556,1956124,4792265,39639,5192649680,1917907,59751982,2888
30336.46,253952,62,281155,18524475370,0,0,0,0,60,60,14,160,675,2054069,126,19,74983,72,176,146658668,1352,1,0,71,74,77,11,360,675,0,0,0,69033495,21777526,5424000544,0,549,305,126,9,1,2,1,14,14,294,1,5466328016,5418834399,292494451,420662742,420662742,1,2,1,18509160648,73389,73389,14,14,14,420662742,6,3,748541,2094515,4999491,41727,5466328016,2054069,64036217,2888
32342.00,253952,62,296238,19517837914,0,0,0,0,60,60,14,162,675,2184792,126,19,79237,72,176,146924120,1352,1,0,71,74,77,11,360,675,0,0,0,73363051,24102133,5711423076,0,549,305,126,9,1,2,1,14,14,294,1,5756001099,5709246073,310119878,443229482,443245866,1,2,1,19502097208,73389,73389,14,14,14,443229482,6,3,792655,2230058,5278848,43941,5756001099,2184792,68086530,2888
34347.08,253952,62,316244,20835659582,0,0,0,0,60,60,14,167,675,2309426,126,19,84967,72,176,147720476,1352,1,0,71,74,77,11,360,675,0,0,0,78496116,24120036,6098827594,0,549,305,126,9,1,2,1,14,14,294,1,6140204393,6094448568,320088414,473194869,473194869,1,2,1,20820574236,73389,73389,14,14,14,473194869,6,3,852104,2357450,5547647,46879,6140204393,2309426,72950991,2888
36351.99,253952,62,332302,21893876614,0,0,0,0,60,60,14,169,675,2454481,126,19,89457,72,176,148251380,1352,1,0,71,74,77,11,360,675,0,0,0,82958427,26025219,6408016729,0,549,305,126,9,1,2,1,14,14,294,1,6449665385,6403689029,358080902,497248235,497248235,1,2,1,21878922340,73389,73389,14,14,14,497248235,6,3,876951,2504971,5779453,49240,6449665385,2454481,77181608,2888
