timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
578491.74,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
580497.97,0,253952,62,13643,898234220,1,1628619,57,6,6,2673,138,1,558,87288,0,21,5326,14,96712071,1118,1,0,4,3826,16835871,6,67214464,13,20,0,7,3273,558,0,0,5697371,222,319420450,0,558,382,0,3,1,14,14,4413,3,320242969,285610241,7325435,17093213,17093213,1,3,1,887995140,73389,73389,14,14,14,17076833,7,3,87051,89233,219287,2698,320242969,87288,5478294,1428
582507.21,3,253952,62,33025,2175041008,1,2801320,191,8,8,2673,244,1,558,252856,0,21,12942,16,100476663,1118,1,0,4,3826,41021486,6,164085944,15,22,0,7,3299,558,0,0,16435345,209124,719461009,0,558,382,0,3,1,14,14,4413,3,719781123,687738648,19433100,41640258,41640258,1,3,1,2165293448,73389,73389,14,14,14,41640262,7,3,99940,258521,435098,5972,719781123,252856,16000840,1428
584518.90,3,253952,62,52613,3465698126,2,5662524,327,8,8,2673,387,1,558,427555,0,21,20674,16,103625889,1118,1,0,4,3826,65510422,6,261912700,15,22,0,7,3299,558,0,0,27524911,463853,1123920276,0,558,382,0,3,1,14,14,4413,3,1124092310,1094079523,33606277,66463672,66463672,1,3,1,3455259008,73389,73389,14,14,14,66447292,7,3,111539,437145,673839,9364,1124092310,427555,26852067,1428
586528.87,3,253952,62,72315,4761847524,2,6415418,472,8,8,2673,522,1,567,601740,0,21,28425,16,107574583,1136,1,0,4,3826,90086514,6,360152252,15,22,0,7,3299,567,0,0,38637473,691381,1532755116,0,567,389,0,3,1,14,14,4413,3,1531747997,1502042962,45680067,91390152,91390152,1,3,1,4752287936,73389,73389,14,14,14,91390156,7,3,120302,615240,893378,12763,1531747997,601740,37745467,1457
588537.48,4,253952,62,91457,6024832100,2,7619185,593,8,8,2673,647,1,576,776101,0,21,35989,16,111895869,1154,1,0,4,3826,114024623,6,456033864,15,22,0,7,3299,576,0,0,49306426,893470,1929898095,0,576,399,0,3,1,14,14,4413,3,1929819371,1899598577,57726548,115686675,115686675,1,3,1,6015707132,73389,73389,14,14,14,115686679,7,3,128910,793398,1124942,16070,1929819371,776101,48182262,1493
590547.35,7,253952,62,111893,7372258280,2,8757118,693,9,9,2673,777,1,585,961204,0,21,44035,16,116532190,1172,1,0,4,3826,139532705,6,558066212,15,23,0,7,3299,585,0,0,60949104,1126304,2356080998,0,585,406,0,3,1,14,14,4413,3,2354285963,2323791491,70730955,141590989,141607373,1,3,1,7362731460,73389,73389,14,14,14,141590993,7,3,142852,982599,1368709,19589,2354285963,961204,59582571,1524
592552.13,8,253952,62,128541,8467741896,5,12487114,764,9,9,2673,876,1,603,1072973,0,21,50511,16,121007722,1208,1,0,4,3826,160180881,6,640723524,15,23,0,7,3299,603,0,0,68510039,1153336,2699111658,0,603,419,0,3,1,14,14,4413,3,2697810551,2668973415,82054781,162630587,162646971,1,3,1,8456790556,73389,73389,14,14,14,162630591,7,3,152763,1096973,1515769,22430,2697941623,1073007,66996748,1590
594556.73,9,253952,62,144953,9548615702,6,14417557,837,12,12,2673,979,2,603,1200485,0,21,56988,16,121611022,1208,1,0,4,3826,180740242,6,722831672,15,26,0,7,3299,603,0,0,76723818,1224707,3039696454,0,603,419,0,3,1,14,14,4413,3,3037560444,3009252413,92239296,183434332,183434332,1,3,1,9538585296,73389,73389,14,14,14,183434336,7,3,166165,1227256,1682469,25236,3037560444,1200485,75044143,1590
596562.08,9,253952,62,158842,10463888794,9,18122177,905,13,13,2673,1070,2,603,1278982,0,21,62481,16,121611022,1208,1,0,4,3826,198118082,6,792407712,15,27,0,7,3299,603,0,0,82488215,1225575,3329027951,0,603,419,0,3,1,14,14,4413,3,3326534641,3297181292,101734249,201045356,201045356,1,3,1,10454358544,73389,73389,14,14,14,201045360,7,3,173254,1307721,1789341,27631,3326534641,1278982,80701902,1590
