timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
451036.62,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
453042.21,2,253952,62,8303,546715466,0,594581,55,3,3,6424,108,0,558,57710,0,8,3235,13,95782989,1118,1,0,4,466,10192281,6,40648328,12,17,0,9,186,558,0,0,0,3908892,738,203581785,0,558,291,0,3,1,14,14,943,0,3,203678112,174816263,4504114,10337416,10337416,1,3,1,0,537545664,73389,73389,14,14,14,10337420,5,3,78661,59032,184194,1742,203678112,57710,3724857,1159
455055.64,3,253952,62,17476,1150990222,1,2287118,125,5,5,6424,141,1,558,118284,0,8,6827,15,97641153,1118,1,0,4,466,21655824,6,86494256,14,19,0,9,209,558,0,0,0,8570437,109192,391776854,0,558,291,0,3,1,14,14,943,0,3,392088565,365087794,10951861,21964850,21964850,1,3,1,0,1142172232,73389,73389,14,14,14,21964854,5,3,87704,121197,275104,3251,392088565,118284,8295668,1159
457063.54,3,253952,62,28245,1860186216,1,3070619,230,5,5,6424,244,2,558,224105,0,8,11101,15,100138815,1118,1,0,4,466,35089116,6,140291780,14,19,0,9,209,558,0,0,0,15500233,460663,622806755,0,558,291,0,3,1,14,14,943,0,3,622980984,588177641,18983588,35597165,35613549,1,3,1,0,1851052612,73389,73389,14,14,14,35597169,5,3,93656,229523,433176,5229,622980984,224105,15067622,1159
459074.48,7,253952,62,39375,2592775254,1,4906573,339,6,6,6424,297,2,567,326381,0,8,15462,16,104184037,1136,1,0,4,466,48967107,6,195868428,15,20,0,9,297,567,0,0,0,22745619,837682,850405612,0,567,301,0,3,1,14,14,943,0,3,849597106,819131398,28409331,49682199,49682199,1,3,1,0,2583474380,73389,73389,14,14,14,49682203,5,3,102867,334251,569021,7076,849597106,326381,22177400,1202
461086.91,11,253952,62,51380,3383613242,1,7234723,428,6,6,6424,379,2,567,438541,0,8,20188,16,107948629,1136,1,0,4,466,63962142,6,255784092,15,20,0,9,297,567,0,0,0,29883597,1257936,1097235348,0,567,301,0,3,1,14,14,943,0,3,1096703331,1067992774,38252853,64891252,64891252,1,3,1,0,3374345136,73389,73389,14,14,14,64891256,5,3,110424,448945,703215,9133,1096703331,438541,29181438,1202
463092.35,11,253952,62,62152,4093645342,3,11260032,493,6,6,6424,446,8,567,516524,0,8,24380,16,110458357,1136,1,0,4,466,77294408,6,309177632,15,20,0,9,297,567,0,0,0,35290291,1404526,1322458487,0,567,301,0,3,1,14,14,943,0,3,1321972629,1291681010,47826755,78543825,78543825,1,3,1,0,4084278932,73389,73389,14,14,14,78543829,5,3,121369,528840,809042,10997,1321972629,516524,34482518,1202
465103.16,13,253952,62,73030,4810600126,3,12602657,555,7,7,6424,517,10,576,595478,0,8,28710,16,114117332,1154,1,0,4,466,90971521,6,363821524,15,21,0,9,297,576,0,0,0,40839242,1557694,1548730386,0,576,306,0,3,1,14,14,943,0,3,1547913017,1517724679,54830595,92302894,92319278,1,3,1,0,4799750520,73389,73389,14,14,14,92302898,5,3,128562,609745,918798,12879,1547913017,595478,39921922,1227
467114.42,13,253952,62,83720,5514956624,4,14769374,646,8,8,6424,591,10,585,683665,0,8,32925,16,117428715,1172,1,0,4,466,104313417,6,417189096,15,22,0,9,297,585,0,0,0,47371797,1969203,1768877364,0,585,318,0,3,1,14,14,943,0,3,1768081760,1739153386,63949073,105867514,105867514,1,3,1,0,5504258792,73389,73389,14,14,14,105851134,5,3,135911,700032,1031269,14714,1768081760,683665,46342239,1260
469122.75,16,253952,62,94773,6243995574,4,15473946,748,8,8,6424,661,10,585,778378,0,8,37281,16,118357797,1172,1,0,4,466,118141149,6,472564596,15,22,0,9,297,585,0,0,0,54351932,2363979,1998560301,0,585,318,0,3,1,14,14,943,0,3,1996611297,1968696809,72001191,119892601,119892601,1,3,1,0,6234415284,73389,73389,14,14,14,119892605,5,3,147291,796979,1172912,16606,1996611297,778378,53180962,1260
