timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
395914.13,5,253952,62,14988,987031704,3,4492487,124,8,8,1799,153,4,558,159305,0,6,5863,12,97991067,1118,1,0,4,780,18481596,7,73861540,11,22,3,299,558,0,0,8679866,525628,339183865,0,558,648,0,3,1,14,14,1332,3,340050142,313503472,13681837,18792831,18825599,1,3,1,977227244,73389,73389,14,14,14,18792835,10,3,94018,162416,368948,2880,340050142,159305,8311224,2079
397924.37,9,253952,62,29472,1940900538,3,5758253,215,9,9,1799,224,4,558,296283,0,6,11552,12,99813033,1118,1,0,4,780,36603917,7,146415668,11,23,3,299,558,0,0,17042549,990789,641512121,0,558,648,0,3,1,14,14,1332,3,641159429,613982244,23740111,37143294,37143294,1,3,1,1931451320,73389,73389,14,14,14,37143298,10,3,102416,302413,510873,5329,641159429,296283,16532282,2079
399929.38,13,253952,62,41301,2719625022,6,9508664,288,9,9,1799,318,4,558,380377,0,6,16216,12,101116161,1118,1,0,4,780,51328056,7,205312224,11,23,3,299,558,0,0,22944543,1024178,891666880,0,558,648,0,3,1,14,14,1332,3,891339589,858849544,33457940,52127289,52127289,1,3,1,2709767092,73389,73389,14,14,14,52110909,10,3,110496,388654,637868,7439,891339589,380377,22307507,2079
401938.23,14,253952,62,52548,3461076306,6,11397772,348,11,11,1799,387,4,567,459072,0,6,20650,12,105402703,1136,1,0,4,780,65425276,7,261701104,11,25,3,299,567,0,0,28564507,1153682,1122039224,0,567,654,0,3,1,14,14,1332,3,1121571921,1092303543,41081660,66375719,66392103,1,3,1,3451537420,73389,73389,14,14,14,66375723,10,3,117954,469344,755281,9348,1121571921,459072,27810273,2107
403953.84,26,253952,62,65632,4322627638,7,13500914,444,12,12,1799,470,5,567,568454,0,6,25794,12,107272933,1136,1,0,4,780,81744499,7,326913328,11,26,3,299,567,0,0,35840288,1499993,1397501706,0,567,654,0,3,1,14,14,1332,3,1396177059,1363818713,50792791,82944644,82961028,1,3,1,4313121520,73389,73389,14,14,14,82944648,10,3,124543,581383,898525,11612,1396177059,568454,34943090,2107
405961.41,29,253952,62,78305,5158172756,7,16009485,541,12,12,1799,564,5,567,670132,0,6,30800,12,108527797,1136,1,0,4,780,97588668,7,390225536,11,26,3,299,567,0,0,42957435,1819897,1655521626,0,567,654,0,3,1,14,14,1332,3,1654725020,1626499014,60715460,99031956,99031956,1,3,1,5149661744,73389,73389,14,14,14,99031960,10,3,126564,685631,1015834,13782,1654725020,670132,41943178,2107
407975.38,45,253952,62,90155,5938599278,8,17794601,636,12,12,1799,623,5,567,767112,0,6,35455,12,110784139,1136,1,0,4,780,112392319,7,449504696,11,26,3,299,567,0,0,49738982,2312536,1900900520,0,567,654,0,3,1,14,14,1332,3,1899460690,1872407394,69756833,114013792,114030176,1,3,1,5928717216,73389,73389,14,14,14,114013796,10,3,131414,784981,1147244,15781,1899460690,767112,48593566,2107
409982.00,46,253952,62,101460,6683525868,8,18990451,722,12,12,1799,702,5,567,859949,0,6,39910,12,113221471,1136,1,0,4,780,126531544,7,505996976,11,26,3,299,567,0,0,56131258,2820238,2137075045,0,567,654,0,3,1,14,14,1332,3,2135398532,2106904697,77816943,128354493,128354493,1,3,1,6674433668,73389,73389,14,14,14,128354497,10,3,137357,880142,1263545,17747,2135398532,859949,54869773,2107
411993.38,49,253952,62,112579,7416335158,8,20291390,804,12,12,1799,777,8,567,952926,0,6,44295,12,114222949,1136,1,0,4,780,140411312,7,561515884,11,26,3,299,567,0,0,62478886,3237332,2368174625,0,567,654,0,3,1,14,14,1332,3,2366591859,2337645553,85850667,142433050,142449434,1,3,1,7406518632,73389,73389,14,14,14,142433054,10,3,146072,975414,1403430,19668,2366591859,952926,61077767,2107
413999.91,51,253952,62,123531,8139032490,8,21553516,885,12,12,1799,843,8,576,1051885,0,6,48607,12,116544920,1154,1,0,4,780,154100363,7,616272264,11,26,3,299,576,0,0,68830035,3677447,2596507136,0,576,665,0,3,1,14,14,1332,3,2594104661,2565305100,93889535,156333098,156333098,1,3,1,8129321128,73389,73389,14,14,14,156333102,10,3,152973,1076628,1537436,21552,2594104661,1051885,67295131,2142
