timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
577481.21,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
579486.49,1,253952,62,18066,1188703248,5,5806574,0,73,9,9,461,166,0,567,154119,0,3,7052,12,100069531,1136,1,0,4,691,22300104,7,89200416,11,23,2,12585,567,0,0,8625326,146895,407551634,0,567,588,0,3,1,14,14,1300,3,407873337,377076529,14593066,22684031,22684031,1,3,1,1179569644,73389,73389,14,14,14,22684035,7,3,91117,157382,352726,3429,407873337,154119,8272942,1863
581496.11,3,253952,62,34353,2261771166,6,7670690,0,161,12,12,461,286,6,576,275380,0,3,13482,12,104056610,1154,1,0,4,691,42639718,7,170429476,11,26,2,12585,576,0,0,16600013,256259,743600207,0,576,592,0,3,1,14,14,1300,3,744019199,714983647,24543080,43297201,43313585,1,3,1,2250602516,73389,73389,14,14,14,43280821,7,3,109054,281537,546477,6253,744019199,275380,16054174,1883
583504.63,12,253952,62,53913,3551449962,6,8600000,0,292,13,13,461,392,6,576,452201,0,3,21173,12,106831790,1154,1,0,4,691,67090871,7,268169484,11,27,2,12585,576,0,0,27675095,547459,1149645754,0,576,592,0,3,1,14,14,1300,3,1150079039,1121091925,36589216,68114138,68114138,1,3,1,3541935208,73389,73389,14,14,14,68114142,7,3,114868,462248,739146,9587,1150079039,452201,26936996,1883
585517.99,16,253952,62,73562,4844849912,7,10771819,0,421,13,13,461,535,6,585,618276,0,3,28926,12,109235418,1172,1,0,4,691,91639036,7,366426708,11,27,2,12585,585,0,0,38788091,884821,1558895397,0,585,602,0,3,1,14,14,1300,3,1558134580,1528413274,50416926,92978956,92978956,1,3,1,4834905744,73389,73389,14,14,14,92978960,7,3,123322,632280,963056,13011,1558134580,618276,37826477,1915
587524.00,18,253952,62,93248,6141739688,8,12561976,0,556,14,14,461,645,8,630,790481,0,3,36648,12,119473107,1262,1,0,4,691,116151607,7,464541780,11,28,2,12585,630,0,0,49906418,1134839,1978920540,0,630,648,0,3,1,14,14,1300,3,1977241961,1937189390,63536003,117890323,117890323,1,3,1,6130296828,73389,73389,14,14,14,117890327,7,3,132763,808492,1171048,16464,1977241961,790481,48736298,2081
589535.47,21,253952,62,112665,7421105688,8,15281269,0,673,16,16,461,776,10,639,952857,0,3,44275,12,124047779,1280,1,0,4,691,140294713,7,561049852,11,30,2,12585,639,0,0,60832387,1342338,2387732851,0,639,655,0,3,1,14,14,1300,3,2386321519,2340834330,77401864,142410633,142443401,1,3,1,7405352948,73389,73389,14,14,14,142410637,7,3,144776,974783,1377110,19882,2386321519,952857,59457499,2115
591540.60,23,253952,62,132167,8705499278,9,17941571,0,783,16,16,461,904,10,639,1108565,0,3,51924,12,125302643,1280,1,0,4,691,164563509,7,658189452,11,30,2,12585,639,0,0,71298180,1542259,2798988612,0,639,655,0,3,1,14,14,1300,3,2797590519,2745764054,90494859,167107293,167107293,1,3,1,8688727300,73389,73389,14,14,14,167090913,7,3,151010,1134283,1572665,23300,2797590519,1108565,69728113,2115
593549.29,24,253952,62,146800,9670798084,13,22685517,0,842,19,19,461,998,10,648,1202112,0,3,57693,12,129033878,1298,1,0,4,691,182863724,7,731325372,11,33,2,12585,648,0,0,77826763,1598394,3113575142,0,648,659,0,3,1,14,14,1300,3,3111926794,3050483595,102029121,185618993,185618993,1,3,1,9652187668,73389,73389,14,14,14,185618997,7,3,170421,1230307,1714629,25904,3111926794,1202112,76114983,2140
595553.51,24,253952,62,162617,10713920768,15,25696431,0,917,19,19,461,1101,12,648,1314298,0,3,63896,12,130554194,1298,1,0,4,691,202559517,7,810173528,11,33,2,12585,648,0,0,85255021,1665816,3455233793,0,648,659,0,3,1,14,14,1300,3,3453174289,3379784327,112535251,205611286,205611286,1,3,1,10691786904,73389,73389,14,14,14,205611290,7,3,178043,1345304,1859610,28738,3453174289,1314298,83398555,2140
