timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
445286.69,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
447299.06,1,253952,62,10706,704837972,0,892859,0,85,4,4,6612,124,0,558,101798,0,10,4189,14,12,97363635,1118,1,0,4,572,13191976,6,52703320,13,18,9,366,558,0,0,0,6030410,294451,251503078,0,558,482,0,3,1,14,14,1044,3,251670447,224603628,7195502,13380522,13380522,1,3,1,695787176,73389,73389,14,14,14,13380526,6,3,85454,104006,266959,2142,251670447,101798,5763670,1581
449312.83,3,253952,62,22377,1472544138,0,1829117,0,189,4,4,6612,180,1,567,204629,0,10,8749,14,12,101046877,1136,1,0,4,572,27718127,6,110872508,13,18,9,366,567,0,0,0,12807804,654247,497833278,0,567,489,0,3,1,14,14,1044,3,498278291,466503294,15246381,28131267,28131267,1,3,1,1462825916,73389,73389,14,14,14,28131271,6,3,93518,209275,397574,4146,498278291,204629,12410703,1615
451318.14,4,253952,62,32335,2129784970,1,3566000,0,267,4,4,6612,251,1,567,274457,0,10,12668,14,12,104449489,1136,1,0,4,572,40124379,6,160497516,13,18,9,366,567,0,0,0,17677963,740650,704432675,0,567,489,0,3,1,14,14,1044,3,704158995,673305955,21927354,40780098,40780098,1,3,1,2120565128,73389,73389,14,14,14,40780102,6,3,101488,280910,496393,5871,704158995,274457,17182241,1615
453323.55,7,253952,62,41221,2714961310,2,5049098,0,315,5,5,6612,314,1,567,330662,0,10,16175,14,12,106331785,1136,1,0,4,572,51283323,6,205004000,13,19,9,366,567,0,0,0,21742510,740934,890164114,0,567,489,0,3,1,14,14,1044,3,890120302,857627164,27473888,52032859,52032859,1,3,1,2705708700,73389,73389,14,14,14,52032863,6,3,111809,338650,568281,7428,890120302,330662,21175059,1615
455337.16,11,253952,62,51002,3357272054,3,6835807,0,400,7,7,6612,388,1,576,406932,0,10,20036,15,12,109109942,1154,1,0,4,572,63446240,6,253655628,14,21,9,377,576,0,0,0,26837043,876470,1090186109,0,576,500,0,3,1,14,14,1044,3,1089561692,1059815221,34470495,64385951,64385951,1,3,1,3348069484,73389,73389,14,14,14,64385955,6,3,119119,416722,664879,9104,1089561692,406932,26173176,1643
457345.65,12,253952,62,62596,4122405478,3,9220545,0,508,8,8,6612,446,1,576,505451,0,10,24590,16,12,112862468,1154,1,0,4,572,77932326,6,311664756,15,22,9,395,576,0,0,0,33786642,1342618,1330489446,0,576,500,0,3,1,14,14,1044,3,1329724926,1300808672,44235215,79094848,79094848,1,3,1,4112932128,73389,73389,14,14,14,79094852,6,3,126829,517686,793330,11063,1329724926,505451,32994560,1643
459355.10,15,253952,62,74997,4940161002,3,11567316,0,601,8,8,6612,529,3,576,619376,0,10,29482,16,12,114732698,1154,1,0,4,572,93423377,6,373693508,15,22,9,395,576,0,0,0,41092231,1699036,1588550090,0,576,500,0,3,1,14,14,1044,3,1587026190,1558363902,54218187,94805328,94805328,1,3,1,4929877088,73389,73389,14,14,14,94805332,6,3,133484,634349,933902,13205,1587026190,619376,40159837,1643
461362.47,16,253952,62,87290,5751176486,3,13990639,0,704,8,8,6612,612,3,576,723361,0,10,34332,16,12,116047892,1154,1,0,4,572,108830655,6,435072432,15,22,9,395,576,0,0,0,48157768,2046857,1843224471,0,576,500,0,3,1,14,14,1044,3,1841591763,1813645414,64044492,110415345,110415345,1,3,1,5741597972,73389,73389,14,14,14,110415349,6,3,140583,740990,1076400,15323,1841591763,723361,47083119,1643
463367.50,16,253952,62,97849,6445632574,5,17356078,0,758,8,8,6612,679,3,576,794474,0,10,38439,16,12,116916644,1154,1,0,4,572,121913412,6,487653648,15,22,9,395,576,0,0,0,53162486,2119670,2060416744,0,576,500,0,3,1,14,14,1044,3,2058562085,2032289063,72476602,123767417,123767417,1,3,1,6435905716,73389,73389,14,14,14,123767421,6,3,154231,813959,1190115,17118,2058562085,794474,51974324,1643
465374.15,17,253952,62,108702,7159404510,5,18493720,0,831,9,9,6612,754,3,585,877109,0,10,42750,16,12,118357797,1172,1,0,4,572,135473266,6,541893064,15,23,9,395,585,0,0,0,59020833,2371776,2286555179,0,585,511,0,3,1,14,14,1044,3,2285269353,2257078859,79703835,137471745,137504513,1,3,1,7148530772,73389,73389,14,14,14,137471749,6,3,156712,898701,1288843,19010,2285276457,877118,57734166,1676
467390.01,23,253952,62,120146,7914731666,6,20566520,0,916,10,10,6612,825,3,585,976610,0,10,47265,16,12,118357797,1172,1,0,4,572,149783670,6,599134680,15,24,9,395,585,0,0,0,65627557,2799570,2523822333,0,585,511,0,3,1,14,14,1044,3,2522033587,2494866779,88791632,152016802,152016802,1,3,1,7904873736,73389,73389,14,14,14,152016806,6,3,160365,1001550,1417370,20967,2522033587,976610,64212604,1676
469396.53,24,253952,62,132192,8709185712,6,21190861,0,997,10,10,6612,900,6,585,1086153,0,10,52016,16,12,118357797,1172,1,0,4,572,164866245,6,659464980,15,24,9,395,585,0,0,0,72463429,3173861,2773078601,0,585,511,0,3,1,14,14,1044,3,2771145380,2744598378,96600995,167301298,167317682,1,3,1,8699667528,73389,73389,14,14,14,167301302,6,3,164157,1113527,1554786,23032,2771145380,1086153,70911305,1676
471402.15,24,253952,62,140922,9284464218,8,23535365,0,1045,11,11,6612,956,7,585,1137997,0,10,55423,16,12,118671513,1172,1,0,4,572,175732850,6,702931400,15,25,9,395,585,0,0,0,76215670,3173968,2955747071,0,585,511,0,3,1,14,14,1044,3,2953525165,2926071108,102696530,178338908,178355292,1,3,1,9273623248,73389,73389,14,14,14,178338912,6,3,170607,1166712,1638393,24552,2953525165,1137997,74580099,1676
473409.68,27,253952,62,152505,10048563030,8,24772445,0,1119,12,12,6612,1033,8,585,1233445,0,10,60036,16,12,118671513,1172,1,0,4,572,190302143,6,761143920,15,26,9,395,585,0,0,0,82528490,3536076,3196682668,0,585,511,0,3,1,14,14,1044,3,3193854645,3166337958,110596086,193066348,193066348,1,3,1,10039450128,73389,73389,14,14,14,193066352,6,3,181679,1264418,1780589,26554,3193854645,1233445,80750961,1676
475415.13,29,253952,62,163787,10791704774,9,27033430,0,1201,13,13,6612,1104,9,585,1316443,0,10,64399,16,12,118671513,1172,1,0,4,572,204264506,6,816993488,15,27,9,395,585,0,0,0,88123222,3754006,3431613397,0,585,511,0,3,1,14,14,1044,3,3429002855,3400726050,118663639,207327288,207327288,1,3,1,10781019008,73389,73389,14,14,14,207327292,6,3,197756,1349464,1913509,28513,3429002855,1316443,86212998,1676
477420.95,30,253952,62,173585,11436625814,10,29510858,0,1235,14,14,6612,1169,9,585,1379235,0,10,68264,16,12,118671513,1172,1,0,4,572,216456819,6,865827276,15,28,9,395,585,0,0,0,92656929,3774936,3635609096,0,585,511,0,3,1,14,14,1044,3,3633289720,3603348712,125649246,219759697,219759697,1,3,1,11426652308,73389,73389,14,14,14,219743317,6,3,200990,1413791,2003188,30225,3633289720,1379235,90657211,1676
479437.19,33,253952,62,183201,12069667566,11,32119036,0,1288,16,16,6612,1234,9,585,1446901,0,10,72077,16,12,118671513,1172,1,0,4,572,228473495,6,913893980,15,30,9,395,585,0,0,0,97472839,3925298,3835596207,0,585,511,0,3,1,14,14,1044,3,3832563383,3802810899,133204667,231913578,231929962,1,3,1,12058654120,73389,73389,14,14,14,231897198,6,3,217800,1483082,2109972,31890,3832563383,1446901,95366534,1676
481445.89,33,253952,62,194180,12792324470,12,34710379,0,1363,17,17,6612,1299,12,585,1549768,0,10,76418,16,12,118671513,1172,1,0,4,572,242280484,6,969057244,15,31,9,395,585,0,0,0,103778736,4511814,4064334389,0,585,511,0,3,1,14,14,1044,3,4060803208,4030675319,142725203,245802004,245802004,1,3,1,12781704240,73389,73389,14,14,14,245802008,6,3,225181,1588276,2218777,33784,4060803208,1549768,101563862,1676
483451.03,33,253952,62,205833,13559514618,12,37090100,0,1460,17,17,6612,1372,12,594,1647570,0,10,80948,16,12,120169355,1190,1,0,4,572,256674450,6,1026697800,15,31,9,395,594,0,0,0,110132268,4768215,4309645708,0,594,521,0,3,1,14,14,1044,3,4306006895,4272576034,151695150,260532047,260532047,1,3,1,13547666476,73389,73389,14,14,14,260532051,6,3,235201,1688391,2360552,35817,4306006895,1647570,107775861,1708
485463.51,34,253952,62,216134,14239385706,14,40637602,0,1516,18,18,6612,1439,12,603,1715715,0,10,85015,16,12,121981379,1208,1,0,4,572,269498133,6,1077992532,15,32,9,395,603,0,0,0,114956959,4797863,4524163623,0,603,525,0,3,1,14,14,1044,3,4520693501,4486727853,160069724,273569776,273602544,1,3,1,14225628384,73389,73389,14,14,14,273569780,6,3,251220,1758204,2471313,37595,4520693501,1715715,112489985,1734
487473.86,34,253952,62,228343,15043979150,15,42426384,0,1616,19,19,6612,1519,13,603,1822172,0,10,89869,16,12,121981379,1208,1,0,4,572,284924530,6,1139633540,15,33,9,395,603,0,0,0,121983830,5093969,4782384500,0,603,525,0,3,1,14,14,1044,3,4778555753,4739997763,169167942,289055198,289071582,1,3,1,15030870328,73389,73389,14,14,14,289055202,6,3,255200,1867093,2604845,39736,4778555753,1822172,119383588,1734
489483.52,34,253952,62,239355,15770218856,16,44823152,0,1689,20,20,6612,1591,13,621,1920553,4,10,94198,16,12,124865055,1244,1,0,4,572,298613432,6,1194453728,15,34,9,395,621,0,0,0,128333341,5408750,5014791461,0,617,541,4,3,1,14,14,1044,3,5010342213,4969155283,178222876,303004398,303004398,1,3,1,15756228728,73389,73389,14,14,14,303004402,6,3,256273,1967720,2713232,41668,5010342213,1920553,125624952,1798
491490.13,34,253952,62,250929,16531455762,17,47286954,0,1773,21,21,6612,1668,13,630,2026542,6,10,98733,16,12,126307203,1262,1,0,4,572,313034505,6,1252008632,15,35,9,395,630,0,0,0,134716056,5870055,5258994523,0,624,552,6,3,1,14,14,1044,3,5254322771,5209140986,187511022,317613720,317630104,1,3,1,16515913472,73389,73389,14,14,14,317613724,6,3,264121,2077813,2845847,43699,5254322771,2026542,131875297,1828
493499.10,34,253952,62,262441,17289694918,17,48675583,0,1863,22,22,6612,1738,15,630,2120619,6,10,103255,16,12,126307203,1262,1,0,4,572,327367797,6,1309471188,15,36,9,395,630,0,0,0,141079087,6181758,5500544352,0,624,552,6,3,1,14,14,1044,3,5496160785,5448282719,195532126,332169572,332185956,1,3,1,17271965808,73389,73389,14,14,14,332153192,6,3,267375,2174202,2957259,45694,5496160785,2120619,138127151,1828
495511.22,35,253952,62,272696,17965658466,18,51358782,0,1926,22,22,6612,1804,15,648,2213073,6,10,107295,16,12,129247257,1298,1,0,4,572,340179494,6,1360653380,15,36,9,395,648,0,0,0,147150311,6489929,5719708797,0,642,567,6,3,1,14,14,1044,3,5714447177,5661286940,204580748,345164626,345181010,1,3,1,17948560584,73389,73389,14,14,14,345164630,6,3,275170,2268761,3094714,47507,5714447177,2213073,144061129,1894
497516.79,35,253952,62,283191,18657850810,19,53143900,0,1982,22,22,6612,1870,15,648,2297972,6,10,111395,16,12,129560973,1298,1,0,4,572,353186127,6,1412744508,15,36,9,395,648,0,0,0,152681245,6671528,5946422978,0,642,567,6,3,1,14,14,1044,3,5940695203,5880134140,212074590,358421824,358421824,1,3,1,18637934880,73389,73389,14,14,14,358421828,6,3,279560,2355601,3197534,49386,5940695203,2297972,149489461,1894
499522.08,35,253952,62,292784,19289831432,19,55037755,0,2007,22,22,6612,1931,15,657,2362993,6,10,115127,16,12,131373696,1316,1,0,4,572,365090908,6,1460363632,15,36,9,395,657,0,0,0,157237966,6672065,6158975570,0,651,578,6,3,1,14,14,1044,3,6153198030,6080278907,218525620,370495500,370495500,1,3,1,19265766032,73389,73389,14,14,14,370495504,6,3,287692,2422197,3282413,51146,6153198030,2362993,153961478,1921
