timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
383129.34,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0
385139.00,1,253952,62,30911,2036461706,5,8327786,176,16,16,1026,247,0,567,290467,0,5,12122,31,103822057,1136,1,4,4379,38362965,10,153387240,30,30,14,4076,567,17452086,645114,670189591,567,613,0,3,1,14,14,5042,3,671145757,643791012,26303447,38977858,38994242,1,3,1,2025996680,73389,73389,14,14,14,38961478,10,3,122366,296706,562145,5606,671145757,290467,16890558,2363
387145.47,6,253952,62,57457,3784361110,7,13501089,333,16,16,1026,424,1,567,531376,0,5,22568,31,106331785,1136,1,4,4379,71487946,10,285886976,30,30,14,4076,567,32607857,1364379,1226735040,567,613,0,3,1,14,14,5042,3,1226889437,1194220019,47451121,72590844,72607228,1,3,1,3774723920,73389,73389,14,14,14,72590848,10,3,138352,542986,876439,10224,1226889437,531376,31732584,2363
389157.61,8,253952,62,81243,5351670738,8,16619376,469,16,16,1026,569,3,576,747412,0,5,31943,31,109968950,1154,1,4,4379,101224575,10,404898300,30,30,14,4076,576,46259235,1830856,1715914704,576,619,0,3,1,14,14,5042,3,1715398850,1687684456,64514619,102736455,102736455,1,3,1,5341443724,73389,73389,14,14,14,102720075,10,3,151673,763705,1142846,14264,1715398850,747412,45118041,2392
391164.97,9,253952,62,100322,6608028884,9,20779175,595,16,16,1026,694,3,576,922656,0,5,39457,31,110644646,1154,1,4,4379,125075495,10,500172792,30,30,14,4076,576,57361199,2442303,2116434050,576,619,0,3,1,14,14,5042,3,2114941090,2083356854,80478512,126894602,126894602,1,3,1,6598519336,73389,73389,14,14,14,126894606,10,3,160930,942772,1373112,17585,2114941090,922656,55990131,2392
393173.23,13,253952,62,117776,7758434000,9,23929343,723,16,16,1026,815,3,576,1081527,0,5,46339,31,112478678,1154,1,4,4379,146870342,10,587352248,30,30,14,4076,576,67753846,3087161,2475836620,576,619,0,3,1,14,14,5042,3,2474701521,2445419811,94628249,149016815,149016815,1,3,1,7748874412,73389,73389,14,14,14,149016819,10,3,169411,1105134,1582672,20587,2474701521,1081527,66173584,2392
395183.60,31,253952,62,132597,8734762512,10,27041002,833,16,16,1026,904,3,576,1220748,0,5,52172,31,114059324,1154,1,4,4379,165379082,10,661451660,30,30,14,4076,576,76922278,3601844,2785457478,576,619,0,3,1,14,14,5042,3,2783031372,2752867497,107433218,167774719,167791103,1,3,1,8724285420,73389,73389,14,14,14,167774723,10,3,177192,1247403,1753032,23132,2783031372,1220748,75171973,2392
397196.62,40,253952,62,146470,9649928176,10,30119523,941,17,17,1026,991,3,576,1344610,0,5,57630,31,114988406,1154,1,4,4379,182704574,10,730818296,30,31,14,4076,576,85472516,4182984,3072392581,576,619,0,3,1,14,14,5042,3,3070197444,3041001404,119620858,185379266,185379266,1,3,1,9639721864,73389,73389,14,14,14,185379270,10,3,183790,1374089,1916274,25512,3070197444,1344610,83559269,2392
399203.22,41,253952,62,158847,10465483404,13,34133496,1018,17,17,1026,1075,4,576,1448878,0,5,62498,31,116267402,1154,1,4,4379,198117258,10,792469032,30,31,14,4076,576,92604672,4442895,3332363466,576,619,0,3,1,14,14,5042,3,3329386992,3297875536,131028334,201061296,201061296,1,3,1,10455187424,73389,73389,14,14,14,201061300,10,3,189011,1480814,2035028,27672,3329518064,1448944,90572920,2392
401208.35,42,253952,62,169345,11157208726,14,36117341,1080,18,18,1026,1148,5,576,1518340,0,5,66619,31,116858636,1154,1,4,4379,211226179,10,844840088,30,32,14,4076,576,97591604,4463737,3552345278,576,619,0,3,1,14,14,5042,3,3548905628,3516000420,138020854,214339196,214339196,1,3,1,11145638224,73389,73389,14,14,14,214339200,10,3,205018,1551929,2139364,29500,3548905628,1518340,95455710,2392
