timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1195351.98,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
1197357.25,0,0,17017,1120004248,0,0,0,1,1,6026,117,513,123555,2,60,1589,7,0,105752024,1028,1,6,15,111,5,253,513,1963986,26209,367392462,511,454,2,2,1,14,14,3605,1,368345284,330223946,1990329,25184306,25200690,1,2,1,1108109464,73389,73389,14,14,14,25184306,3037,3,323802,125638,829453,2828,368345284,123555,1134589,1687
1199363.30,253952,62,32370,2131765014,11,11527974,39,20,20,6026,119,675,237132,2,60,4907,26,15,140299886,1352,1,25,34,127,5,332,675,5423609,628036,674168243,673,575,2,2,1,14,14,3605,1,678034224,627007415,24491094,48092951,48092951,1,2,1,2116089844,73389,73389,14,14,14,48092951,3037,3,488960,241368,1310340,5192,678034224,237132,4113423,2247
1201368.33,253952,62,41612,2740634150,18,19681425,60,20,20,6026,120,675,289596,2,60,7479,26,15,140299886,1352,1,25,34,127,5,332,675,7698622,714206,855269448,673,575,2,2,1,14,14,3605,1,855767856,805024880,35728716,61927907,61927907,1,2,1,2724107012,73389,73389,14,14,14,61911523,3037,3,489344,295058,1377624,6548,855767856,289596,6321244,2247
1203377.05,253952,62,54402,3583352274,18,22066846,94,23,23,6026,123,675,403900,2,60,11141,26,15,140830790,1352,1,25,37,127,5,332,675,11347516,1467983,1099828260,673,575,2,2,1,14,14,3605,1,1102052144,1051320482,42796425,81085060,81085060,1,2,1,3567021744,73389,73389,14,14,14,81068676,3037,3,505999,411509,1542484,8427,1102052144,403900,9805378,2247
1205388.88,253952,62,67607,4453798742,19,26315628,137,24,24,6026,125,675,525592,2,60,14847,26,15,141361694,1352,1,25,38,127,5,332,675,15416799,2916537,1353959156,673,575,2,2,1,14,14,3605,1,1356200752,1305780517,53420865,100860487,100876871,1,2,1,4437861428,73389,73389,14,14,14,100860487,3037,3,520956,535468,1718707,10366,1356200752,525592,13698551,2247
1207395.22,253952,62,80998,5335904002,21,31041416,176,25,25,6026,127,675,647386,2,60,18613,26,15,141361694,1352,1,25,39,127,5,332,675,19518478,4177425,1611894691,673,575,2,2,1,14,14,3605,1,1614019376,1563623531,64493497,120910568,120926952,1,2,1,5320064992,73389,73389,14,14,14,120910568,3037,3,533304,659601,1895336,12333,1614019376,647386,17623724,2247
1209403.22,253952,62,94506,6226207878,21,34152321,220,25,25,6026,129,675,777193,2,60,22410,26,15,141892598,1352,1,25,39,127,5,332,675,23551342,4868715,1872458759,673,575,2,2,1,14,14,3605,1,1873935152,1823845938,72274892,141144747,141161131,1,2,1,6210368868,73389,73389,14,14,14,141144747,3037,3,541154,791881,2068479,14316,1873935152,777193,21483570,2247
1211414.01,253952,62,108141,7124569374,21,36667014,259,25,25,6026,131,675,905006,2,60,26239,26,15,142158050,1352,1,25,39,127,5,332,675,27599097,5630233,2136044855,673,575,2,2,1,14,14,3605,1,2136865584,2086624560,80119591,161561309,161561309,1,2,1,7107976700,73389,73389,14,14,14,161544925,3037,3,554028,922195,2263575,16322,2136865584,905006,25336359,2247
1213423.05,253952,62,121811,8025224630,21,40397184,310,26,26,6026,134,675,1029712,2,60,30092,26,15,142423502,1352,1,25,40,127,5,332,675,31664640,6212131,2399108731,673,575,2,2,1,14,14,3605,1,2399796016,2349827446,87903712,182035215,182035215,1,2,1,8009549460,73389,73389,14,14,14,182035215,3037,3,559822,1049525,2403099,18328,2399796016,1029712,29262514,2247
