timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
402576.35,0,253952,62,11638,765265960,0,1322910,0,65,5,5,2445,126,0,558,98996,27,4542,16,126,96398355,1118,1,0,4,542,14327162,12,57243976,15,19,10,233,558,0,0,6090185,287404,273751825,0,558,436,3,1,14,14,1068,0,3,274574629,243618963,7691929,14548104,14548104,1,3,1,0,756501440,73389,73389,14,14,14,14548108,10,3,43554,101174,203486,2329,274574629,98996,5886928,1519
404590.39,1,253952,62,24246,1597504452,0,3040616,0,160,5,5,2445,213,0,558,200967,27,9531,16,126,100790379,1118,1,0,4,542,30116736,12,120466944,15,19,10,233,558,0,0,13356814,566004,537422306,0,558,436,3,1,14,14,1068,0,3,537771734,505682416,16936253,30547019,30547019,1,3,1,0,1588445020,73389,73389,14,14,14,30547023,10,3,51122,205687,343292,4518,537771734,200967,13014020,1519
406606.10,2,253952,62,36460,2401689550,1,5158047,0,255,6,6,2445,281,0,558,300106,27,14314,17,126,104518773,1118,1,0,4,542,45355119,12,181420476,16,20,10,2324,558,0,0,20348026,980032,789319098,0,558,436,3,1,14,14,1068,0,3,788690745,758813036,26435420,46012183,46012183,1,3,1,0,2392633548,73389,73389,14,14,14,46012187,10,3,60639,307268,506843,6581,788690745,300106,19841951,1519
408619.43,3,253952,62,48257,3177351602,2,8082269,0,344,6,6,2445,359,0,567,400274,27,18956,17,126,108238213,1136,1,0,4,542,60061432,12,240116472,16,20,10,2324,567,0,0,27037877,1531846,1033811069,0,567,444,3,1,14,14,1068,0,3,1033212495,1003028074,36565163,60937119,60937119,1,3,1,0,3168730220,73389,73389,14,14,14,60937123,10,3,66868,409813,646590,8615,1033212495,400274,26392303,1560
410629.05,5,253952,62,59674,3928447822,2,9329179,0,424,7,7,2445,435,2,567,497401,27,23446,17,126,111085789,1136,1,0,4,542,74273649,12,297094596,16,21,10,2324,567,0,0,33397836,1986160,1270767409,0,567,444,3,1,14,14,1068,0,3,1270046965,1239676367,44628586,75368376,75368376,1,3,1,0,3919155584,73389,73389,14,14,14,75368380,10,3,74360,509242,763403,10587,1270046965,497401,32635686,1560
412648.09,6,253952,62,70879,4668389392,2,12311129,0,504,7,7,2445,505,2,567,592257,27,27871,17,126,113559319,1136,1,0,4,542,88304611,12,353218444,16,21,10,2324,567,0,0,39731968,2454103,1503037825,0,567,444,3,1,14,14,1068,0,3,1502608927,1472656385,54417162,89599978,89599978,1,3,1,0,4659198888,73389,73389,14,14,14,89599982,10,3,80952,607258,893012,12514,1502608927,592257,38840441,1560
414664.31,6,253952,62,82238,5418483836,3,14693680,0,577,7,7,2445,580,2,567,693749,27,32343,17,126,114814183,1136,1,0,4,542,102498366,12,409928820,16,21,10,2324,567,0,0,46110698,2831739,1738146856,0,567,444,3,1,14,14,1068,0,3,1736816432,1709004962,63471130,103995420,103995420,1,3,1,0,5407761872,73389,73389,14,14,14,103995424,10,3,89265,711087,1042140,14456,1736816432,693749,45070280,1560
416677.40,7,253952,62,94371,6217975884,3,15882769,0,660,7,7,2445,658,2,567,793863,27,37131,17,126,115103767,1136,1,0,4,542,117653942,12,470615768,16,21,10,2324,567,0,0,52847087,3001957,1989964306,0,567,444,3,1,14,14,1068,0,3,1988898153,1960508558,71603978,119349770,119398922,1,3,1,0,6206188072,73389,73389,14,14,14,119349774,10,3,98343,813685,1177644,16539,1988898153,793863,51671407,1560
418686.32,11,253952,62,107070,7054621638,3,16224250,0,723,7,7,2445,743,11,567,899645,27,42137,17,126,115103767,1136,1,0,4,542,133536211,12,534144844,16,21,10,2324,567,0,0,60187719,3380278,2251606638,0,567,444,3,1,14,14,1068,0,3,2250187589,2223672770,79639961,135474168,135506936,1,3,1,0,7044656768,73389,73389,14,14,14,135474172,10,3,100262,922006,1291433,18717,2250187589,899645,58898515,1560
420698.31,13,253952,62,119830,7893684442,3,17892225,0,805,8,8,2445,824,11,576,1011747,27,47135,17,126,116602928,1154,1,0,4,542,149386811,12,597482552,16,22,10,2324,576,0,0,67576333,3822007,2518090153,0,576,455,3,1,14,14,1068,0,3,2516127863,2488068946,89119194,151617553,151617553,1,3,1,0,7882408852,73389,73389,14,14,14,151584789,10,3,107442,1036746,1447302,20925,2516127863,1011747,66131526,1593
