timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
464875.93,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
466889.85,5,253952,62,11026,725773294,2,3549103,88,6,6,4810,129,0,567,118810,0,18,4312,15,98513017,1136,1,0,4,4310,13558237,10,54168200,14,20,8,1232,567,0,0,6405214,520443,261193339,0,567,612,0,3,1,14,14,4957,3,261479313,231348769,10456002,13781930,13798314,1,3,1,716660392,73389,73389,14,14,14,13781934,11,3,90446,121262,311816,2237,261479313,118810,6093626,2038
468903.48,6,253952,62,22917,1508536878,2,4268715,186,7,7,4810,187,7,576,224197,0,18,8960,15,101824400,1154,1,0,4,4310,28353627,10,113349828,14,21,8,1232,576,0,0,13382502,892520,508718962,0,576,626,0,3,1,14,14,4957,3,508232468,477880707,18511356,28823269,28839653,1,3,1,1498810020,73389,73389,14,14,14,28823273,11,3,95776,229254,444361,4249,508232468,224197,12938619,2069
470908.60,6,253952,62,32487,2138841492,6,8674112,241,8,8,4810,271,7,576,286115,0,18,12746,16,103405046,1154,1,0,4,4310,40269755,10,161079020,15,22,8,1618,576,0,0,17827306,976838,713056857,0,576,626,0,3,1,14,14,4957,3,712386693,676336924,27439356,40942223,40942223,1,3,1,2128995628,73389,73389,14,14,14,40942227,11,3,105013,292937,519456,5993,712386693,286115,17308517,2069
472919.09,7,253952,62,42536,2801454866,6,9586677,312,10,10,4810,317,8,576,371020,0,18,16705,16,105564860,1154,1,0,4,4310,52906191,10,211560080,15,24,8,1618,576,0,0,23470750,1288962,912038012,0,576,626,0,3,1,14,14,4957,3,911686966,884687313,34289369,53693676,53710060,1,3,1,2792071184,73389,73389,14,14,14,53693680,11,3,114032,380701,646986,7617,911686966,371020,22824636,2069
474924.08,9,253952,62,53110,3498257452,6,10798491,394,10,10,4810,408,9,576,470742,0,18,20862,16,107797070,1154,1,0,4,4310,66061418,10,264181148,15,24,8,1618,576,0,0,29505697,1576052,1133997261,0,576,626,0,3,1,14,14,4957,3,1133559769,1104361710,41753338,67086264,67086264,1,3,1,3488485760,73389,73389,14,14,14,67086268,11,3,122455,482784,782550,9507,1133559769,470742,28724246,2069
476930.78,9,253952,62,62641,4125342532,7,13412134,436,10,10,4810,446,10,576,536244,0,18,24615,16,109643168,1154,1,0,4,4310,77982359,10,311929436,15,24,8,1618,576,0,0,33924730,1577454,1329190699,0,576,626,0,3,1,14,14,4957,3,1328834853,1301639041,48852792,79152192,79166417,1,3,1,4115062048,73389,73389,14,14,14,79135812,11,3,127185,549960,865376,11086,1328834853,536244,33060631,2069
478942.62,9,253952,62,72492,4775277754,7,14877808,487,10,10,4810,526,10,594,612302,0,18,28514,16,114582539,1190,1,0,4,4310,90291488,10,361101348,15,24,8,1618,594,0,0,38477241,1579958,1540068946,0,594,643,0,3,1,14,14,4957,3,1539519722,1506460385,54871898,91628991,91645375,1,3,1,4764707564,73389,73389,14,14,14,91628995,11,3,135454,627879,983340,12867,1539519722,612302,37495367,2135
480956.36,10,253952,62,83609,5506966560,7,16611541,556,12,12,4810,580,10,603,716538,0,18,32853,16,117951930,1208,1,0,4,4310,104089306,10,416357224,15,26,8,1618,603,0,0,44647571,2283202,1772553099,0,603,650,0,3,1,14,14,4957,3,1771257264,1737137709,63471622,105689449,105705833,1,3,1,5495851380,73389,73389,14,14,14,105689453,11,3,142320,734432,1108703,14759,1771257264,716538,43540577,2162
482971.62,12,253952,62,95615,6297821820,8,18937433,655,12,12,4810,672,10,603,825612,0,18,37606,16,120099678,1208,1,0,4,4310,119132974,10,476467292,15,26,8,1618,603,0,0,51372367,2722347,2020208967,0,603,650,0,3,1,14,14,4957,3,2018516865,1986133375,72937201,120898502,120898502,1,3,1,6286722136,73389,73389,14,14,14,120898506,11,3,151559,846021,1254703,16836,2018516865,825612,50119610,2162
484976.47,13,253952,62,106043,6985297470,9,21401279,716,12,12,4810,743,10,603,894145,0,18,41697,16,120099678,1208,1,0,4,4310,132108424,10,528368956,15,26,8,1618,603,0,0,55921180,2722530,2239421887,0,603,650,0,3,1,14,14,4957,3,2237403830,2202691525,79948701,134108707,134108707,1,3,1,6973652796,73389,73389,14,14,14,134108711,11,3,158488,916340,1347612,18660,2237403830,894145,54575707,2162
486986.65,13,253952,62,118467,7804861972,9,22195272,813,14,14,4810,806,10,603,999165,0,18,46592,16,121994040,1208,1,0,4,4310,147677076,10,590587324,15,28,8,1618,603,0,0,62809985,2988283,2496897628,0,603,650,0,3,1,14,14,4957,3,2494492625,2460977210,87876092,149849796,149866180,1,3,1,7792189424,73389,73389,14,14,14,149849800,11,3,173521,1023824,1500768,20759,2494492625,999165,61311614,2162
489000.84,14,253952,62,129794,8550699450,10,26121410,897,14,14,4810,883,11,603,1102876,0,18,51051,16,121994040,1208,1,0,4,4310,161804838,10,647219352,15,28,8,1618,603,0,0,69390836,3319753,2734417745,0,603,650,0,3,1,14,14,4957,3,2732036703,2695907881,98311876,164194815,164194815,1,3,1,8538130412,73389,73389,14,14,14,164194819,11,3,178872,1129944,1616619,22735,2732036703,1102876,67776847,2162
491013.34,14,253952,62,140972,9287628750,10,27623765,966,14,14,4810,959,11,603,1202760,0,18,55464,16,121994040,1208,1,0,4,4310,175780046,10,703055700,15,28,8,1618,603,0,0,75674159,3640744,2966822313,0,603,650,0,3,1,14,14,4957,3,2964476066,2927810373,106791246,178369517,178369517,1,3,1,9275214916,73389,73389,14,14,14,178369521,11,3,183711,1232166,1738243,24669,2964476066,1202760,73938775,2162
493030.48,14,253952,62,152341,10036809974,10,28993430,1043,14,14,4810,1030,11,603,1312699,0,18,59941,16,122295690,1208,1,0,4,4310,189968940,10,759875760,15,28,8,1618,603,0,0,82047614,3948216,3202500726,0,603,650,0,3,1,14,14,4957,3,3200182913,3163736105,114832157,192775754,192792138,1,3,1,10023487272,73389,73389,14,14,14,192759374,11,3,190561,1344550,1876408,26621,3200182913,1312699,80174308,2162
495039.37,14,253952,62,163263,10755381412,10,30613376,1109,14,14,4810,1102,11,612,1411360,0,18,64217,16,123736114,1226,1,0,4,4310,203575836,10,814173880,15,28,8,1618,612,0,0,88200501,4255013,3431715506,0,612,659,0,3,1,14,14,4957,3,3429295985,3390092022,122882012,206576227,206592611,1,3,1,10741963836,73389,73389,14,14,14,206576231,11,3,197119,1445490,2002218,28522,3429295985,1411360,86201610,2195
497044.23,15,253952,62,174261,11479030114,10,31844897,1181,14,14,4810,1170,11,612,1505508,0,18,68498,16,123736114,1226,1,0,4,4310,217189757,10,868702720,15,28,8,1618,612,0,0,94219331,4431563,3661354146,0,612,659,0,3,1,14,14,4957,3,3658066661,3618293269,130299921,220483196,220483196,1,3,1,11465126224,73389,73389,14,14,14,220483200,11,3,204742,1541886,2130341,30412,3658066661,1505508,92092553,2195
