timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
653552.26,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
655557.21,0,0,19302,1270550364,0,0,0,1,1,4939,117,585,120338,8,1802,6,0,120717836,1172,1,5,15,0,4,1677,585,1989871,2617,416543283,585,366,2,1,14,14,410,1,418676932,374685037,1993154,28561125,28577509,1,2,1,1256689500,73389,73389,14,14,14,28561125,9,3,364969,122393,824556,3212,418676932,120338,1165396,1665
657569.63,253952,62,35926,2365872838,11,12871876,37,17,17,4939,120,675,235472,8,5930,22,19,140299886,1352,1,21,31,9,4,2016,675,6004151,726098,742743719,675,428,2,1,14,14,410,1,746322736,695505496,25635743,53409115,53409115,1,2,1,2349280164,73389,73389,14,14,14,53392731,9,3,516327,239841,1317746,5713,746322736,235472,4686619,1890
659580.70,253952,62,50725,3341314594,13,17066329,80,17,17,4939,122,675,352033,8,10079,22,19,140830790,1352,1,21,31,9,4,2016,675,10027869,1285018,1029935741,675,428,2,1,14,14,410,1,1031535408,980571902,35687713,75572288,75588672,1,2,1,3325180672,73389,73389,14,14,14,75572288,9,3,524469,358856,1447658,7889,1031535408,352033,8580576,1890
661584.86,253952,62,61799,4071042038,15,20642832,113,17,17,4939,124,675,408423,8,13206,22,19,141096242,1352,1,21,31,9,4,2016,675,12445348,1301635,1244202163,675,428,2,1,14,14,410,1,1244396336,1193912171,41799636,92169663,92169663,1,2,1,4054744276,73389,73389,14,14,14,92153279,9,3,524857,416506,1512588,9513,1244396336,408423,10933226,1890
663589.03,253952,62,73772,4859951798,18,24949740,152,20,20,4939,126,675,479518,8,16581,22,19,141361694,1352,1,21,34,9,4,2016,675,15273682,1507874,1474994113,675,428,2,1,14,14,410,1,1474820912,1424540418,49296145,110100175,110100175,1,2,1,4844407700,73389,73389,14,14,14,110100175,9,3,537425,489108,1618827,11271,1474820912,479518,13655421,1890
665601.19,253952,62,86102,5672257910,18,26402662,176,22,22,4939,128,675,552669,8,20057,22,19,141627146,1352,1,21,36,9,4,2016,675,18143811,1690541,1711827266,675,428,2,1,14,14,410,1,1712192304,1661973224,53834172,128563167,128563167,1,2,1,5656779348,73389,73389,14,14,14,128563167,9,3,544948,563883,1713731,13082,1712192304,552669,16430752,1890
667610.03,253952,62,101092,6659951590,18,28687827,215,23,23,4939,130,675,665227,8,24256,22,19,141892598,1352,1,21,37,9,4,2016,675,22135224,2260466,1999023349,675,428,2,1,14,14,410,1,2000550704,1950750955,61199750,151007027,151007027,1,2,1,6643588292,73389,73389,14,14,14,150990643,9,3,551198,678750,1861636,15282,2000550704,665227,20274407,1890
669623.16,253952,62,116041,7644958294,22,33620042,255,26,26,4939,133,675,775280,8,28508,22,19,142423502,1352,1,21,40,9,4,2016,675,26226257,2912308,2288324544,675,428,2,1,14,14,410,1,2288778032,2238681689,71557249,173393543,173393543,1,2,1,7628594996,73389,73389,14,14,14,173377159,9,3,563645,791191,2016037,17481,2288778032,775280,24211198,1890
671633.98,253952,62,130915,8625049798,23,35722187,302,28,28,4939,135,675,877360,8,32664,22,19,142688954,1352,1,21,42,9,4,2016,675,30244296,3504627,2574090252,675,428,2,1,14,14,410,1,2575039280,2525147215,78580880,195665371,195681755,1,2,1,8609276324,73389,73389,14,14,14,195665371,9,3,570842,895618,2157402,19665,2575039280,877360,28088029,1890
673638.63,253952,62,144250,9503750494,25,39818952,345,28,28,4939,137,675,965169,8,36408,22,19,142942340,1352,1,21,42,9,4,2016,675,33627883,3837572,2830600053,675,428,2,1,14,14,410,1,2831416112,2782051763,86748901,215639565,215639565,1,2,1,9487419964,73389,73389,14,14,14,215623181,9,3,576568,985304,2275187,21621,2831416112,965169,31353971,1890
675646.31,253952,62,156109,10284864778,26,42379615,370,30,30,4939,139,675,1032381,8,39752,22,19,143473244,1352,1,21,44,9,4,2016,675,36366092,3962982,3058092579,675,428,2,1,14,14,410,1,3058797520,3010321451,92180598,233395886,233395886,1,2,1,10268698088,73389,73389,14,14,14,233379502,9,3,584995,1053997,2372869,23359,3058797520,1032381,33994607,1890
677654.64,253952,62,170396,11226221198,27,44717370,410,32,32,4939,142,675,1142508,8,43822,22,19,144004148,1352,1,21,46,9,4,2016,675,40305444,4298589,3332841697,675,428,2,1,14,14,410,1,3334048720,3285362696,99140900,254785137,254801521,1,2,1,11210546028,73389,73389,14,14,14,254785137,9,3,591019,1166448,2506248,25459,3334048720,1142508,37800733,1890
679660.60,253952,62,185278,12206836990,28,48358769,467,33,33,4939,144,675,1266030,8,47983,22,19,144269600,1352,1,21,47,9,4,2016,675,44572398,4909460,3621350833,675,428,2,1,14,14,410,1,3620703184,3572128402,108153007,277073349,277073349,1,2,1,12191227356,73389,73389,14,14,14,277073349,9,3,600910,1292399,2665094,27646,3620703184,1266030,41908994,1890
681668.83,253952,62,199745,13159989890,29,51995689,523,33,33,4939,146,675,1386164,8,52037,22,19,144535052,1352,1,21,47,9,4,2016,675,48710906,5439719,3898197576,675,428,2,1,14,14,410,1,3899231184,3850711517,116930876,298724744,298741128,1,2,1,13143888736,73389,73389,14,14,14,298724744,9,3,605549,1414891,2806059,29771,3899231184,1386164,45906690,1890
683679.25,253952,62,213568,14070937606,29,55499757,567,34,34,4939,149,675,1509260,8,55977,22,19,145065956,1352,1,21,48,9,4,2016,675,52752779,6100149,4165724306,675,428,2,1,14,14,410,1,4165045200,4117022759,125567963,319434059,319450443,1,2,1,14055098596,73389,73389,14,14,14,319434059,9,3,614670,1540190,2977142,31799,4165045200,1509260,49777620,1890
685686.42,253952,62,227189,14968647050,30,59405851,608,36,36,4939,151,675,1628661,8,59798,22,19,145596860,1352,1,21,50,9,4,2016,675,56746085,6655987,4428144716,675,428,2,1,14,14,410,1,4427189200,4379422288,132632588,339848462,339848462,1,2,1,14952611432,73389,73389,14,14,14,339832078,9,3,622141,1661912,3133560,33799,4427189200,1628661,53627657,1890
687697.30,253952,62,242406,15971217402,33,63825056,657,38,38,4939,153,675,1750679,8,64060,22,19,145596860,1352,1,21,52,9,4,2016,675,61008522,7002454,4720187916,675,428,2,1,14,14,410,1,4720004048,4672469065,143673424,362636386,362636386,1,2,1,15956000984,73389,73389,14,14,14,362636386,9,3,636681,1786339,3313552,36033,4720004048,1750679,57697245,1890
689701.95,253952,62,255499,16834058386,36,68330176,721,38,38,4939,155,675,1846760,8,67737,22,19,146127764,1352,1,21,52,9,4,2016,675,64546384,7226339,4974177549,675,428,2,1,14,14,410,1,4972579792,4924769145,152513220,382225556,382241940,1,2,1,16817924464,73389,73389,14,14,14,382225556,9,3,646414,1884353,3466260,37960,4972579792,1846760,61082501,1890
691711.51,253952,62,266141,17535208826,36,69885291,740,40,40,4939,157,675,1915697,8,70757,22,19,146393216,1352,1,21,54,9,4,2016,675,67014479,7350858,5178353903,675,428,2,1,14,14,410,1,5177183184,5129684580,156687947,398177922,398177922,1,2,1,17519107672,73389,73389,14,14,14,398161538,9,3,654154,1954661,3569104,39521,5177183184,1915697,63447851,1890
693722.64,253952,62,280183,18460508926,36,72567971,795,40,40,4939,159,675,2037148,8,74690,22,19,146658668,1352,1,21,54,9,4,2016,675,71096334,8132789,5448770265,675,428,2,1,14,14,410,1,5447584720,5400149290,164555210,419206725,419206725,1,2,1,18444375004,73389,73389,14,14,14,419190341,9,3,657536,2078440,3738297,41584,5447584720,2037148,67360663,1890
695726.63,253952,62,293681,19349200554,37,74971803,846,41,41,4939,162,675,2142697,8,78584,22,19,146924120,1352,1,21,55,9,4,2016,675,74884399,8694680,5705813283,675,428,2,1,14,14,410,1,5706586955,5660006968,171709751,439404262,439404262,1,2,1,19333787528,73389,73389,14,14,14,439404262,9,3,661345,2186181,3851528,43564,5706586955,2142697,71035635,1890
697732.43,253952,62,304200,20042555518,39,78832593,868,41,41,4939,164,675,2191660,8,81516,22,19,147455024,1352,1,21,55,9,4,2016,675,77172483,8710220,5910898691,675,428,2,1,14,14,410,1,5909093195,5862589169,177884919,455157861,455174245,1,2,1,20026945884,73389,73389,14,14,14,455157861,9,3,662596,2236246,3904499,45109,5909093195,2191660,73270835,1890
699743.24,253952,62,317783,20937050390,39,80691327,910,44,44,4939,167,675,2300165,8,85385,22,19,147720476,1352,1,21,58,9,4,2016,675,81202027,9420198,6169796646,675,428,2,1,14,14,410,1,6169957737,6124037399,184951775,475500695,475500695,1,2,1,20922030580,73389,73389,14,14,14,475500695,9,3,674979,2346903,4063088,47106,6169957737,2300165,77141930,1890
701747.24,253952,62,328139,21619457534,42,85202055,955,44,44,4939,169,675,2363508,8,88320,22,19,148251380,1352,1,21,58,9,4,2016,675,83804070,9534973,6371745256,675,428,2,1,14,14,410,1,6369580393,6323465112,192219233,491002501,491018885,1,2,1,21604110044,73389,73389,14,14,14,491002501,9,3,676178,2411614,4151102,48629,6369580393,2363508,79656069,1890
703757.50,253952,62,339756,22384622560,43,86916234,982,49,49,4939,171,675,2445163,8,91646,22,19,148516832,1352,1,21,63,9,4,2016,675,87051529,9960103,6593570413,675,428,2,1,14,14,410,1,6592475146,6547032151,197966531,508400533,508416917,1,2,1,22369623452,73389,73389,14,14,14,508400533,9,3,687843,2494997,4270900,50336,6592475146,2445163,82783846,1890
705766.63,253952,62,353121,23265289336,45,93298566,1023,49,49,4939,174,675,2563711,8,95451,22,19,148782284,1352,1,21,63,9,4,2016,675,91022776,10679499,6852306360,675,428,2,1,14,14,410,1,6849769482,6804609824,208680054,528415687,528415687,1,2,1,23250290228,73389,73389,14,14,14,528415687,9,3,695484,2615724,4414805,52299,6849769482,2563711,86611323,1890
707770.59,253952,62,363024,23917582688,47,96338650,1059,49,49,4939,176,675,2620630,8,98258,22,19,149578640,1352,1,21,63,9,4,2016,675,93426525,10722703,7043098033,675,428,2,1,14,14,410,1,7039949635,6995223132,215136330,543245749,543245749,1,2,1,23902812956,73389,73389,14,14,14,543245749,9,3,695679,2673866,4482737,53756,7039949635,2620630,88947229,1890
709774.86,253952,62,376253,24789336568,47,98155620,1095,50,50,4939,178,675,2718389,8,101985,22,19,149844092,1352,1,21,64,9,4,2016,675,97011246,10976035,7296071799,675,428,2,1,14,14,410,1,7294360387,7250027820,220890006,563047911,563064295,1,2,1,24774108084,73389,73389,14,14,14,563047911,9,3,700323,2773654,4618109,55697,7294360387,2718389,92396715,1890
