timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
176846.04,0,0,19449,1280184156,0,0,0,1,1,5565,117,0,586,127872,14,1816,14,187,120848971,1173,1,0,13,15,0,12,256,586,0,0,0,1959233,14225,419425150,0,586,424,2,1,14,14,655,1,1,421560516,377538529,1974125,28790501,28790501,1,2,1,1266782044,73389,73389,14,14,14,28790501,10,3,368073,129977,792407,3234,421560516,127872,1166917,1913
178852.32,253952,62,35473,2336185030,11,11954583,44,15,15,5565,120,0,675,247005,14,5787,28,203,140299886,1352,1,0,27,29,26,12,317,675,0,0,0,5836084,875958,737235756,0,675,463,2,1,14,14,655,1,1,737803056,686781229,22530584,52737371,52737371,1,2,1,2320444324,73389,73389,14,14,14,52737371,10,3,498929,251451,1240995,5648,737803056,247005,4594315,2159
180865.45,253952,62,50013,3294387510,13,15258097,81,17,17,5565,122,0,675,357794,14,9892,28,203,140830790,1352,1,0,27,31,26,12,317,675,0,0,0,9944309,1940620,1017094929,0,675,463,2,1,14,14,655,1,1,1017903920,966837453,31807255,74517679,74517679,1,2,1,3278777876,73389,73389,14,14,14,74517679,10,3,507134,364562,1391272,7785,1017903920,357794,8553415,2159
182872.09,253952,62,65348,4304691110,14,18826127,128,19,19,5565,124,0,675,460744,14,14177,28,203,141096242,1352,1,0,27,33,26,12,317,675,0,0,0,13907144,2886239,1310979324,0,675,463,2,1,14,14,655,1,1,1312815920,1262191995,40511955,97469443,97485827,1,2,1,4288655492,73389,73389,14,14,14,97469443,10,3,516239,469748,1542020,10035,1312815920,460744,12365655,2159
184876.13,253952,62,76116,5014364538,17,22896385,151,19,19,5565,126,0,675,512457,14,17220,28,203,141361694,1352,1,0,27,33,26,12,317,675,0,0,0,16248241,2903072,1520266575,0,675,463,2,1,14,14,655,1,1,1520040752,1469721278,47494914,113591682,113608066,1,2,1,4998034008,73389,73389,14,14,14,113591682,10,3,516439,522818,1604472,11616,1520040752,512457,14644400,2159
186888.51,253952,62,88004,5797703738,17,24957815,189,19,19,5565,128,0,675,570489,14,20576,28,203,141627146,1352,1,0,27,33,26,12,317,675,0,0,0,18796117,2908385,1748956981,0,675,463,2,1,14,14,655,1,1,1748892464,1698611465,52136254,131415698,131415698,1,2,1,5781569816,73389,73389,14,14,14,131399314,10,3,517839,582317,1668098,13362,1748892464,570489,17128751,2159
188901.46,253952,62,103311,6806172330,17,27286721,232,22,22,5565,131,0,675,682500,14,24906,28,203,141892598,1352,1,0,27,36,26,12,317,675,0,0,0,22654826,3760159,2042564447,0,675,463,2,1,14,14,655,1,1,2043673392,1993520887,59629179,154326502,154326502,1,2,1,6790366088,73389,73389,14,14,14,154326502,10,3,530638,696570,1818881,15611,2043673392,682500,20836813,2159
190905.43,253952,62,115645,7619006038,20,31429704,269,22,22,5565,133,0,675,752502,14,28374,28,203,142423502,1352,1,0,27,36,26,12,317,675,0,0,0,25537360,4187565,2281351454,0,675,463,2,1,14,14,655,1,1,2281175856,2231091324,67386225,172803719,172803719,1,2,1,7603363636,73389,73389,14,14,14,172803719,10,3,536870,768169,1928156,17423,2281175856,752502,23610176,2159
192911.48,253952,62,128732,8481188354,20,32889934,299,24,24,5565,135,0,675,838072,14,32069,28,203,142688954,1352,1,0,27,38,26,12,317,675,0,0,0,28717013,4496905,2531555018,0,675,463,2,1,14,14,655,1,1,2533096240,2483122740,72325320,192386856,192403240,1,2,1,8465021664,73389,73389,14,14,14,192386856,10,3,544668,855644,2052903,19345,2533096240,838072,26664204,2159
194923.50,253952,62,143919,9481804692,20,35660302,338,25,25,5565,137,0,675,950891,14,36320,28,203,142942340,1352,1,0,27,39,26,12,317,675,0,0,0,32820025,5290650,2824117307,0,675,463,2,1,14,14,655,1,1,2825124656,2775649100,80413356,215125628,215142012,1,2,1,9465527632,73389,73389,14,14,14,215125628,10,3,549789,970767,2194450,21573,2825124656,950891,30626810,2159
