timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
620675.14,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
622687.24,0,253952,62,13870,912543790,1,1659899,0,73,6,6,2417,141,0,558,96779,0,20,5419,18,2,95819187,1118,1,0,4,1038,17131101,6,68459744,17,20,90,11,95,558,0,0,6305625,19450,321201343,0,558,376,0,3,1,14,14,1593,0,3,321471626,290001070,7982979,17376059,17376059,1,3,1,0,903555100,73389,73389,14,14,14,17376063,7,3,84365,99133,263035,2718,321471626,96779,6042837,1430
624696.76,0,253952,62,26595,1751738100,3,4705319,0,161,8,8,2417,203,0,558,174796,0,20,10421,18,2,99825099,1118,1,0,4,1038,33023114,6,132027984,17,22,90,11,95,558,0,0,12366647,50326,579723256,0,558,376,0,3,1,14,14,1593,0,3,581230085,554177133,17110099,33510364,33543132,1,3,1,0,1741686992,73389,73389,14,14,14,33493984,7,3,364052,179197,834588,4838,581230085,174796,11532544,1430
626704.37,0,253952,62,45102,2969970156,3,6691178,0,262,9,9,2417,344,0,558,325723,0,20,17720,19,2,102021111,1118,1,0,4,1038,56104609,6,224418436,18,23,90,11,162,558,0,0,22132348,197061,966974342,0,558,376,0,3,1,14,14,1593,0,3,966384850,937852427,28999610,56935549,56935549,1,3,1,0,2960648580,73389,73389,14,14,14,56935553,7,3,374597,333828,1022471,8072,966384850,325723,21110745,1430
628708.82,0,253952,62,59268,3902721024,6,10653677,0,356,9,9,2417,432,0,567,407690,0,20,23279,19,2,103834123,1136,1,0,4,1038,73784167,6,295136668,18,23,90,11,162,567,0,0,28090085,201037,1261366032,0,567,381,0,3,1,14,14,1593,0,3,1260937003,1231589791,38922598,74870379,74870379,1,3,1,0,3893259740,73389,73389,14,14,14,74870383,7,3,383143,417985,1129388,10515,1260937003,407690,26961798,1461
630713.49,0,253952,62,73169,4818141050,8,13370858,0,447,11,11,2417,515,0,576,489718,0,20,28728,19,2,106588012,1154,1,0,4,1038,91128593,6,364385104,18,25,90,11,162,576,0,0,34061119,215018,1548691405,0,576,386,0,3,1,14,14,1593,0,3,1547895764,1519909938,47618601,92461145,92461145,1,3,1,0,4807979572,73389,73389,14,14,14,92461149,7,3,397050,502114,1245297,12880,1547895764,489718,32817159,1490
632718.20,1,253952,62,86015,5665989176,8,14617762,0,542,12,12,2417,611,0,576,561992,0,20,33796,19,2,109725172,1154,1,0,4,1038,107080126,6,428320504,18,26,90,11,162,576,0,0,39417213,215398,1817358124,0,576,386,0,3,1,14,14,1593,0,3,1816218421,1786906723,54204499,108754972,108771356,1,3,1,0,5655258576,73389,73389,14,14,14,108754976,7,3,406552,576332,1339693,15129,1816218421,561992,38079069,1490
634726.79,1,253952,62,100665,6630912526,9,16878293,0,603,14,14,2417,684,0,585,673684,0,20,39572,19,2,112502134,1172,1,0,4,1038,125451935,6,501743084,18,28,90,11,162,585,0,0,46441998,285278,2131111034,0,585,392,0,3,1,14,14,1593,0,3,2129437961,2091224744,63577984,127289533,127289533,1,3,1,0,6618203780,73389,73389,14,14,14,127273153,7,3,415483,690676,1487507,17692,2129437961,673684,44956315,1520
636738.82,1,253952,62,117843,7762686736,9,18518921,0,691,15,15,2417,810,1,585,823088,0,20,46339,19,2,114999796,1172,1,0,4,1038,146862838,6,587386660,18,29,90,11,162,585,0,0,55260962,468649,2492580542,0,585,392,0,3,1,14,14,1593,0,3,2492119392,2448349253,74216848,149006464,149022848,1,3,1,0,7748336160,73389,73389,14,14,14,149006468,7,3,429597,843567,1680910,20735,2492119392,823088,53582223,1520
638743.30,1,253952,62,135374,8917908870,11,21080491,0,772,15,15,2417,925,1,594,942812,0,20,53213,19,2,118731167,1190,1,0,4,1038,168635415,6,674541660,18,29,90,11,162,594,0,0,63130866,510664,2862702224,0,594,399,0,3,1,14,14,1593,0,3,2862245739,2812984658,84678472,171139028,171171796,1,3,1,0,8898377520,73389,73389,14,14,14,171122648,7,3,445106,966294,1824722,23820,2862245739,942812,61308616,1544
