timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
226969.18,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
228974.02,4,253952,62,18211,1198881664,0,827254,0,88,7,7,2145,172,0,558,139176,0,11,7126,18,11,96736203,1118,1,0,4,1315,22497328,7,89989312,17,21,10,175,558,0,0,8710561,64940,408677713,0,558,280,0,3,1,14,14,1793,0,3,408994618,380061744,9603988,22884513,22884513,1,3,1,0,1189142740,73389,73389,14,14,14,22868133,6,3,90589,142249,326499,3450,408994618,139176,8384391,1287
230983.17,5,253952,62,33421,2201005330,4,5075519,0,124,10,10,2145,241,0,567,235370,0,11,13082,18,11,100707575,1136,1,0,4,1315,41483001,7,165802652,17,24,10,175,567,0,0,15280170,86790,729346103,0,567,286,0,3,1,14,14,1793,0,3,730449960,695814348,20442133,42139970,42156354,1,3,1,0,2190426504,73389,73389,14,14,14,42123590,6,3,98786,240866,449557,6050,730449960,235370,14831197,1313
232992.24,7,253952,62,52912,3485558842,4,7711282,0,263,11,11,2145,393,0,576,408361,0,11,20793,19,11,105657747,1154,1,0,4,1315,65817682,7,263270728,18,25,10,192,576,0,0,26127254,396302,1132883355,0,576,304,0,3,1,14,14,1793,0,3,1134211091,1100240795,34220367,66821961,66854729,1,3,1,0,3474742004,73389,73389,14,14,14,66821965,6,3,107838,417909,664608,9449,1134211091,408361,25463636,1349
235002.23,7,253952,62,74649,4917330342,4,9332154,0,378,12,12,2145,518,0,576,603633,0,11,29325,20,11,108469125,1154,1,0,4,1315,92955793,7,371758496,19,26,10,287,576,0,0,38360749,615777,1583236946,0,576,304,0,3,1,14,14,1793,0,3,1584004260,1551281050,48287534,94330192,94379344,1,3,1,0,4905170016,73389,73389,14,14,14,94330196,6,3,115318,617641,888296,13156,1584004260,603633,37473874,1349
237006.65,10,253952,62,95905,6315498224,5,11315193,0,513,12,12,2145,658,0,594,776343,0,11,37648,20,11,112733537,1190,1,0,4,1315,119393124,7,477572496,19,26,10,287,594,0,0,49568597,835116,2025803092,0,594,319,0,3,1,14,14,1793,0,3,2025809755,1991700038,61656101,121243010,121243010,1,3,1,0,6304636552,73389,73389,14,14,14,121243014,6,3,124542,794502,1098819,16813,2025809755,776343,48471612,1414
239011.65,11,253952,62,112028,7379085168,8,15801149,0,573,13,13,2145,764,1,594,872978,0,11,44028,20,11,115581113,1190,1,0,4,1315,139570795,7,558283180,19,27,10,287,594,0,0,56480697,836073,2365203793,0,594,319,0,3,1,14,14,1793,0,3,2363495891,2326796062,73067687,141675512,141675512,1,3,1,0,7367126656,73389,73389,14,14,14,141675516,6,3,136295,893628,1224076,19614,2363495891,872978,55258724,1414
241023.19,12,253952,62,130894,8623004462,8,17636176,0,683,15,15,2145,893,1,594,1025411,0,11,51480,20,11,117463409,1190,1,0,4,1315,163166651,7,652601900,19,29,10,287,594,0,0,65819025,999463,2758753198,0,594,319,0,3,1,14,14,1793,0,3,2757738359,2718448260,84375366,165577104,165593488,1,3,1,0,8609157472,73389,73389,14,14,14,165560724,6,3,151572,1049602,1422916,22896,2757738359,1025411,64398573,1414
243028.07,13,253952,62,146405,9645192312,11,21423874,0,778,15,15,2145,993,1,594,1147975,0,11,57536,20,11,119345705,1190,1,0,4,1315,182447911,7,729791644,19,29,10,287,594,0,0,73656776,1129459,3089062703,0,594,319,0,3,1,14,14,1793,0,3,3087668307,3041128201,96129059,185199042,185199042,1,3,1,0,9630350216,73389,73389,14,14,14,185199046,6,3,158986,1175110,1573955,25634,3087668307,1147975,72085584,1414
245033.42,14,253952,62,158874,10466302604,12,23307126,0,853,16,16,2145,1076,1,621,1227274,0,11,62453,20,11,125035396,1244,1,0,4,1315,197949877,7,791799508,19,30,10,287,621,0,0,79156380,1130039,3354253376,0,621,344,0,3,1,14,14,1793,0,3,3352196270,3300341783,103510519,200938416,200938416,1,3,1,0,10448797664,73389,73389,14,14,14,200938420,6,3,166905,1256485,1694923,27834,3352196270,1227274,77464436,1485
247043.39,14,253952,62,171787,11317612560,13,25557403,0,922,18,18,2145,1165,1,621,1323938,0,11,67551,20,11,125035396,1244,1,0,4,1315,214085493,7,856277492,19,32,10,287,621,0,0,85601289,1270333,3626041540,0,621,344,0,3,1,14,14,1793,0,3,3623761693,3568653330,112332513,217271488,217304256,1,3,1,0,11297265440,73389,73389,14,14,14,217255108,6,3,177658,1355566,1803621,30099,3623761693,1323938,83800872,1485
249051.51,15,253952,62,186135,12262604696,13,27065746,0,1011,18,18,2145,1243,1,621,1450496,0,11,73198,20,11,125047462,1244,1,0,4,1315,232034120,7,928136480,19,32,10,287,621,0,0,93855086,1558848,3929319474,0,621,344,0,3,1,14,14,1793,0,3,3926996809,3866482636,122393875,235441727,235441727,1,3,1,0,12241265900,73389,73389,14,14,14,235408963,6,3,181924,1485152,1953190,32578,3926996809,1450496,91920372,1485
251063.12,15,253952,62,202027,13310135808,13,27838442,0,1138,18,18,2145,1352,1,621,1595757,0,11,79457,20,11,125373244,1244,1,0,4,1315,251877499,7,1007445408,19,32,10,287,621,0,0,102951221,1764035,4267213759,0,621,344,0,3,1,14,14,1793,0,3,4263655498,4196780164,132433425,255553026,255553026,1,3,1,0,13287905416,73389,73389,14,14,14,255536646,6,3,190075,1633784,2116073,35378,4263655498,1595757,100838978,1485
253071.65,16,253952,62,218844,14418818624,13,28278844,0,1248,18,18,2145,1463,1,621,1742711,0,11,86065,20,11,125686960,1244,1,0,4,1315,272848169,7,1091199196,19,32,10,287,621,0,0,112388348,1958229,4625469491,0,621,344,0,3,1,14,14,1793,0,3,4622511642,4546709070,142477773,276806887,276823271,1,3,1,0,14393958156,73389,73389,14,14,14,276806891,6,3,195230,1784190,2290642,38356,4622511642,1742711,110101869,1485
255076.84,17,253952,62,233396,15375695986,14,30134885,0,1337,18,18,2145,1556,3,630,1847811,0,11,91731,20,11,127417697,1262,1,0,4,1315,290846859,7,1163257940,19,32,10,287,630,0,0,119463306,2017028,4937950713,0,630,350,0,3,1,14,14,1793,0,3,4933810591,4849021044,151383057,295159953,295159953,1,3,1,0,15348317588,73389,73389,14,14,14,295159957,6,3,199335,1891941,2421558,40933,4933810591,1847811,117046171,1510
257083.38,17,253952,62,247834,16327901556,15,32037609,0,1433,21,21,2145,1648,3,648,1952881,0,11,97442,20,11,130415483,1298,1,0,4,1315,308924923,7,1235643696,19,35,10,287,648,0,0,126586527,2117240,5243352166,0,648,367,0,3,1,14,14,1793,0,3,5240687469,5149258574,160551501,313444436,313444436,1,3,1,0,16299110704,73389,73389,14,14,14,313444440,6,3,210138,1999649,2557234,43474,5240687469,1952881,124033982,1569
259090.72,19,253952,62,264449,17423913202,15,34364791,0,1546,21,21,2145,1758,3,648,2093317,0,11,103991,20,11,130741265,1298,1,0,4,1315,329664866,7,1318594964,19,35,10,287,648,0,0,136016330,2367993,5597207643,0,648,367,0,3,1,14,14,1793,0,3,5593504593,5494788722,172563576,334464603,334480987,1,3,1,0,17391307420,73389,73389,14,14,14,334448223,6,3,212696,2143490,2712722,46401,5593504593,2093317,133308638,1569
261096.96,28,253952,62,281219,18527983444,15,36717585,0,1651,21,21,2145,1859,3,648,2235107,0,11,110575,20,11,130741265,1298,1,0,4,1315,350564322,7,1402192524,19,35,10,287,648,0,0,145466652,2554458,5955628959,0,648,367,0,3,1,14,14,1793,0,3,5950806435,5843445356,184401472,355647339,355663723,1,3,1,0,18493661660,73389,73389,14,14,14,355647343,6,3,216562,2288732,2898847,49348,5950806435,2235107,142573177,1569
263111.39,28,253952,62,299171,19710820366,15,38565678,0,1775,21,21,2145,1975,3,684,2386563,0,11,117624,20,11,137061768,1370,1,0,4,1315,372929038,7,1491716152,19,35,10,287,684,0,0,155552866,2875091,6338484327,0,684,405,0,3,1,14,14,1793,0,3,6333169280,6216553455,196774231,378347310,378347310,1,3,1,0,19674060152,73389,73389,14,14,14,378347314,6,3,227209,2443917,3106039,52517,6333169280,2386563,152452548,1695
265116.49,28,253952,62,318071,20956817642,15,39716492,0,1891,21,21,2145,2099,3,720,2546022,0,11,125047,20,11,143682216,1442,1,0,4,1315,396437563,7,1585750252,19,35,10,287,720,0,0,166085694,3111223,6743815965,0,720,442,0,3,1,14,14,1793,0,3,6738516365,6610066849,208674382,402222167,402222167,1,3,1,0,20914700748,73389,73389,14,14,14,402205787,6,3,233273,2607346,3320075,55889,6738516365,2546022,162771715,1824
267121.99,29,253952,62,333312,21960671274,18,43084129,0,1936,22,22,2145,2199,3,738,2630486,0,11,131001,20,11,147550123,1478,1,0,4,1315,415318973,7,1661275892,19,36,10,287,738,0,0,172316791,3112607,7069887223,0,738,452,0,3,1,14,14,1793,0,3,7065939635,6926896604,218270385,421440982,421490134,1,3,1,0,21914931096,73389,73389,14,14,14,421440986,6,3,237451,2694062,3423024,58608,7065939635,2630486,168900107,1878
269128.75,30,253952,62,357853,23578643050,18,44485483,0,2073,26,26,2145,2353,3,792,2842972,0,11,140654,20,11,156589134,1586,1,0,4,1315,445937347,7,1783684716,19,40,10,287,792,0,0,185468191,3329006,7608042828,0,792,503,0,3,1,14,14,1793,0,3,7602439347,7438399776,232712199,452413541,452462693,1,3,1,0,23525504164,73389,73389,14,14,14,452413545,6,3,261508,2911393,3742024,63064,7602439347,2842972,181732971,2078
271133.88,31,253952,62,379540,25005925456,20,48041112,0,2186,26,26,2145,2489,3,972,3009063,2,11,149055,20,11,188097508,1946,1,0,4,1315,472674924,7,1890699696,19,40,10,287,972,0,0,196046787,3474492,8098538595,0,970,670,2,3,1,14,14,1793,0,3,8092765682,7891440423,247292148,479647562,479663946,1,3,1,0,24941673256,73389,73389,14,14,14,479647566,6,3,272859,3081457,3957888,67140,8092765682,3009063,192096109,2633
