timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
470875.50,1,0,0,17647,1161291928,0,0,0,0,1,1,5903,117,0,538,124517,34,1649,10,1,110671974,1078,1,626,0,9,15,8,2724,538,0,626,16,0,0,1954143,24634,380235843,0,538,342,2,1,14,14,2277,1,382894276,342519271,1979636,26118194,26134578,1,2,1,1149200536,73389,73389,14,14,14,26118194,13,3,333309,126616,783188,2939,382894276,124517,1171047,1810
472892.96,1,253952,62,33154,2183410690,6,9463571,0,36,12,12,5903,119,0,675,239084,34,5123,21,1,140299886,1352,1,626,0,20,26,8,2834,675,0,626,16,0,0,5622960,899254,691217948,0,675,402,2,1,14,14,2277,1,693107504,642097951,16714372,49262248,49278632,1,2,1,2167538912,73389,73389,14,14,14,49262248,13,3,487140,243422,1222033,5307,693107504,239084,4401134,2229
474898.79,1,253952,62,48273,3179823966,6,13079087,0,62,14,14,5903,122,0,675,359882,34,9410,21,1,140830790,1352,1,626,0,20,28,8,2834,675,0,626,16,0,0,9864600,2314687,979710476,0,675,402,2,1,14,14,2277,1,984087344,933350835,29352372,71900557,71916941,1,2,1,3163624508,73389,73389,14,14,14,71900557,13,3,498831,366609,1409803,7528,984218416,359917,8455136,2229
476906.32,1,253952,62,64703,4262420390,8,15774058,0,82,14,14,5903,124,0,675,445604,34,14001,21,1,141096242,1352,1,626,0,20,28,8,2834,675,0,626,16,0,0,13513848,2355498,1297575107,0,675,402,2,1,14,14,2277,1,1300626224,1249857799,39634834,96519171,96535555,1,2,1,4246843524,73389,73389,14,14,14,96519171,13,3,504651,454354,1524303,9942,1300626224,445604,11990038,2229
478921.69,1,253952,62,74263,4892129974,12,21528991,0,105,14,14,5903,126,0,675,499273,34,16738,21,1,141361694,1352,1,626,0,20,28,8,2834,675,0,626,16,0,0,15748753,2384637,1484304552,0,675,402,2,1,14,14,2277,1,1484127024,1433950526,49341741,110821071,110837455,1,2,1,4876127124,73389,73389,14,14,14,110821071,13,3,506117,509275,1579913,11342,1484127024,499273,14169417,2229
480932.88,1,253952,62,87114,5738845794,12,23290456,0,138,17,17,5903,128,0,675,602763,34,20333,21,1,141627146,1352,1,626,0,20,31,8,2834,675,0,626,16,0,0,19359853,3690637,1729663203,0,675,402,2,1,14,14,2277,1,1731853104,1681443935,56501230,130076528,130076528,1,2,1,5722646336,73389,73389,14,14,14,130060144,13,3,521673,614868,1745063,13232,1731853104,602763,17615487,2229
482943.03,1,253952,62,100895,6647040998,13,27332253,0,179,18,18,5903,130,0,675,718329,34,24212,21,1,141892598,1352,1,626,0,20,32,8,2834,675,0,626,16,0,0,23181233,4670611,1996139289,0,675,402,2,1,14,14,2277,1,1996880688,1946984020,65135181,150712115,150712115,1,2,1,6631333060,73389,73389,14,14,14,150712115,13,3,530410,732698,1873165,15254,1996880688,718329,21308901,2229
484947.95,1,253952,62,110022,7248638946,16,31535429,0,203,18,18,5903,132,0,675,771361,34,26799,21,1,142423502,1352,1,626,0,20,32,8,2834,675,0,626,16,0,0,25404129,4702801,2172382128,0,675,402,2,1,14,14,2277,1,2173041456,2122849842,72517567,164372880,164389264,1,2,1,7232406720,73389,73389,14,14,14,164372880,13,3,531257,786978,1930888,16598,2173041456,771361,23474158,2229
486957.40,1,253952,62,124319,8190385274,16,33829600,0,245,23,23,5903,134,0,675,877814,34,30807,21,1,142423502,1352,1,626,0,20,37,8,2834,675,0,626,16,0,0,29164533,5905835,2446861624,0,675,402,2,1,14,14,2277,1,2448030512,2398107489,81041528,185788866,185788866,1,2,1,8174710104,73389,73389,14,14,14,185788866,13,3,554300,895684,2112546,18696,2448030512,877814,27053040,2229
488969.77,1,253952,62,139521,9192238038,18,38977837,0,278,23,23,5903,136,0,675,995284,34,35066,21,1,142942340,1352,1,626,0,20,37,8,2834,675,0,626,16,0,0,33121117,7167720,2737991688,0,675,402,2,1,14,14,2277,1,2740714288,2690991145,91788091,208558247,208558247,1,2,1,9175841972,73389,73389,14,14,14,208541863,13,3,566221,1015470,2286355,20929,2740714288,995284,30835964,2229
490987.31,1,253952,62,153777,10131238470,19,44190842,0,316,25,25,5903,139,0,675,1110247,34,39116,21,1,143473244,1352,1,626,0,20,39,8,2834,675,0,626,16,0,0,36990776,8757082,3013613354,0,675,402,2,1,14,14,2277,1,3014101968,2965417145,104325097,229904379,229904379,1,2,1,10115792676,73389,73389,14,14,14,229904379,13,3,582599,1132689,2469754,23018,3014101968,1110247,34522362,2229
492998.86,1,253952,62,168629,11109888182,20,48285501,0,358,25,25,5903,141,0,675,1224886,34,43277,21,1,144004148,1352,1,626,0,20,39,8,2834,675,0,626,16,0,0,41095823,10067038,3300276496,0,675,402,2,1,14,14,2277,1,3300101072,3251405666,115598618,252135247,252151631,1,2,1,11093950868,73389,73389,14,14,14,252135247,13,3,594380,1250320,2629586,25200,3300101072,1224886,38467719,2229
495010.37,1,253952,62,182770,12041676346,20,53711185,0,392,26,26,5903,144,0,675,1329854,34,47309,21,1,144269600,1352,1,626,0,20,40,8,2834,675,0,626,16,0,0,44932404,11065091,3571865887,0,675,402,2,1,14,14,2277,1,3572337616,3523842893,125825180,273303314,273319698,1,2,1,12025345816,73389,73389,14,14,14,273303314,13,3,610475,1357496,2794237,27277,3572337616,1329854,42139785,2229
497015.67,1,253952,62,196522,12947705554,22,57754228,0,436,26,26,5903,146,0,675,1425438,34,51156,21,1,144535052,1352,1,626,0,20,40,8,2834,675,0,626,16,0,0,48673991,12042840,3836887326,0,675,402,2,1,14,14,2277,1,3836840912,3788633870,136106948,293916484,293916484,1,2,1,12931604400,73389,73389,14,14,14,293900100,13,3,620829,1455251,2922597,29295,3836840912,1425438,45753132,2229
499024.42,1,253952,62,206598,13611762618,24,61575845,0,459,26,26,5903,147,0,675,1476196,34,53979,21,1,144800504,1352,1,626,0,20,40,8,2834,675,0,626,16,0,0,50910704,12064950,4032141413,0,675,402,2,1,14,14,2277,1,4030958544,3982683248,142189684,309000498,309016882,1,2,1,13596021912,73389,73389,14,14,14,309000498,13,3,625486,1507297,3002284,30776,4030958544,1476196,47910243,2229
501029.82,1,253952,62,217123,14305245346,24,63337363,0,489,26,26,5903,149,0,675,1526172,34,56943,21,1,145065956,1352,1,626,0,20,40,8,2834,675,0,626,16,0,0,53167518,12066021,4234734012,0,675,402,2,1,14,14,2277,1,4233464784,4185472163,146240448,324772640,324772640,1,2,1,14289996160,73389,73389,14,14,14,324772640,13,3,625746,1558492,3059999,32321,4233464784,1526172,50109423,2229
503036.75,1,253952,62,231819,15273671442,24,64481898,0,524,29,29,5903,152,0,675,1635896,34,61109,21,1,145596860,1352,1,626,0,20,43,8,2834,675,0,626,16,0,0,57053934,12788276,4516684899,0,675,402,2,1,14,14,2277,1,4516580304,4468568184,151878845,346782324,346782324,1,2,1,15258422256,73389,73389,14,14,14,346782324,13,3,642259,1670551,3217566,34481,4516580304,1635896,53838420,2229
505044.27,1,253952,62,246187,16220336278,26,69711839,0,563,30,30,5903,154,0,675,1756739,34,65147,21,1,145862312,1352,1,626,0,20,44,8,2834,675,0,626,16,0,0,61193516,13727916,4794047293,0,675,402,2,1,14,14,2277,1,4792749008,4745316690,163618180,368294455,368310839,1,2,1,16204956020,73389,73389,14,14,14,368294455,13,3,649257,1793764,3352372,36588,4792749008,1756739,57843342,2229
507054.53,1,253952,62,260715,17177486874,27,72582931,0,605,32,32,5903,156,0,675,1887059,34,69215,21,1,146127764,1352,1,626,0,20,46,8,2834,675,0,626,16,0,0,65199208,14645656,5071791481,0,675,402,2,1,14,14,2277,1,5072587728,5025172346,171897773,390044154,390044154,1,2,1,17161221880,73389,73389,14,14,14,390027770,13,3,655839,1926475,3476962,38723,5072587728,1887059,61724583,2229
509059.62,1,253952,62,274409,18080245898,27,75757440,0,656,32,32,5903,158,0,675,1990889,34,73079,21,1,146658668,1352,1,626,0,20,46,8,2834,675,0,626,16,0,0,68800232,15322726,5335639170,0,675,402,2,1,14,14,2277,1,5336566736,5289013019,179360455,410562894,410562894,1,2,1,18064767336,73389,73389,14,14,14,410562894,13,3,663758,2032371,3606626,40737,5336566736,1990889,65196074,2229
511066.78,1,253952,62,285224,18792468614,31,80084593,0,673,35,35,5903,160,1,675,2051894,34,76125,21,1,146658668,1352,1,626,0,20,49,8,2834,675,0,626,16,0,0,71336993,15408604,5546627923,0,675,402,2,1,14,14,2277,1,5544315856,5497179907,187149733,426754987,426754987,1,2,1,18777219428,73389,73389,14,14,14,426754987,13,3,673553,2094741,3691736,42322,5544315856,2051894,67647819,2229
