timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
158767.31,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
160774.00,253952,62,23131,1522827034,0,0,15,24,24,5708,118,675,135495,9,2306,39,81,139768982,1352,1,38,38,14,333,675,2031513,1392,491127112,675,480,2,1,14,14,403,1,500038448,448914620,2269152,34260154,34260154,1,2,1,1507446776,73389,73389,14,14,14,34260154,10,3,231653,137993,620672,3834,500038448,135495,1410931,2554
162779.07,253952,62,35230,2320259782,22,23199940,70,24,24,5708,119,675,193304,9,5687,39,81,140299886,1352,1,38,38,14,333,675,4758550,33204,732492919,675,480,2,1,14,14,403,1,733084464,682110829,29406179,52376923,52376923,1,2,1,2304584612,73389,73389,14,14,14,52376923,10,3,267971,197215,755202,5612,733084464,193304,4003523,2554
164785.05,253952,62,46033,3031961518,23,24711009,95,26,26,5708,121,675,250566,9,8750,39,81,140565338,1352,1,38,40,14,333,675,7168435,45859,940465108,675,480,2,1,14,14,403,1,940833584,890163680,33351068,68542281,68558665,1,2,1,3015860364,73389,73389,14,14,14,68542281,10,3,273699,255920,833171,7197,940833584,250566,6335531,2554
166791.67,253952,62,60137,3961324850,23,28033067,134,28,28,5708,124,675,381393,9,12735,39,81,140830790,1352,1,38,42,14,333,675,11090477,760906,1211658410,675,480,2,1,14,14,403,1,1212545840,1161819854,40994623,89677580,89677580,1,2,1,3945813520,73389,73389,14,14,14,89677580,10,3,283987,389143,1011656,9270,1212545840,381393,10079230,2554
168803.87,253952,62,74543,4910745506,24,32634388,179,29,29,5708,126,675,494616,9,16793,39,81,141361694,1352,1,38,43,14,333,675,15143251,1741271,1489665445,675,480,2,1,14,14,403,1,1489632048,1439399636,51808743,111253088,111253088,1,2,1,4895135872,73389,73389,14,14,14,111253088,10,3,294902,504684,1193685,11384,1489632048,494616,13950113,2554
170812.57,253952,62,89005,5863570726,25,36633860,231,29,29,5708,128,675,626582,9,20851,39,81,141627146,1352,1,38,43,14,333,675,19160664,2823909,1765972514,675,480,2,1,14,14,403,1,1768028976,1717901001,61832287,132896291,132912675,1,2,1,5847436804,73389,73389,14,14,14,132896291,10,3,301486,638991,1356278,13508,1768028976,626582,17805074,2554
172817.18,253952,62,100983,6652808166,27,40316187,268,29,29,5708,130,675,696347,9,24224,39,81,141892598,1352,1,38,43,14,333,675,21987342,3013665,1999516660,675,480,2,1,14,14,403,1,1998715696,1948671769,68964583,150843187,150843187,1,2,1,6637100228,73389,73389,14,14,14,150843187,10,3,303192,710368,1434396,15268,1998715696,696347,20553740,2554
174826.88,253952,62,114551,7547044202,27,42205430,302,33,33,5708,132,675,786059,9,28037,39,81,142423502,1352,1,38,47,14,333,675,25396598,3669431,2258640089,675,480,2,1,14,14,403,1,2260204336,2210036546,75496964,171159286,171175670,1,2,1,7531008584,73389,73389,14,14,14,171159286,10,3,317898,802087,1572818,17263,2260204336,786059,23824698,2554
176832.54,253952,62,125496,8267798664,31,47221716,336,33,33,5708,134,675,841320,9,31129,39,81,142423502,1352,1,38,47,14,333,675,27847629,3768083,2470809211,675,480,2,1,14,14,403,1,2470443824,2420726115,82933202,187547987,187547987,1,2,1,8252111428,73389,73389,14,14,14,187547987,10,3,318491,858684,1638887,18867,2470443824,841320,26209751,2554
178844.99,253952,62,139373,9182538710,31,49703200,371,36,36,5708,136,675,941619,9,35029,39,81,142942340,1352,1,38,50,14,333,675,31424659,4397403,2737143631,675,480,2,1,14,14,403,1,2737830704,2688114541,89966280,208328871,208345255,1,2,1,9166470324,73389,73389,14,14,14,208328871,10,3,331861,961087,1783252,20907,2737830704,941619,29641546,2554
180856.19,253952,62,153590,10118717786,32,54030587,425,37,37,5708,139,675,1056048,9,39065,39,81,143473244,1352,1,38,51,14,333,675,35451637,5412306,3009230557,675,480,2,1,14,14,403,1,3010300880,2961748014,99982316,229619818,229619818,1,2,1,10103271992,73389,73389,14,14,14,229619818,10,3,341625,1080421,1930945,22989,3010300880,1056048,33521972,2554
182862.74,253952,62,168103,11075416246,35,59521538,465,39,39,5708,141,675,1176075,9,43133,39,81,144004148,1352,1,38,53,14,333,675,39481886,6158240,3289740631,675,480,2,1,14,14,403,1,3289877456,3241315007,111328870,251365199,251365199,1,2,1,11060068756,73389,73389,14,14,14,251365199,10,3,348028,1202822,2073028,25122,3289877456,1176075,37410289,2554
184867.88,253952,62,178511,11760700358,37,62524594,489,39,39,5708,143,675,1233360,9,46080,39,81,144004148,1352,1,38,53,14,333,675,41785306,6168118,3490900771,675,480,2,1,14,14,403,1,3490155472,3441660823,116663384,266928667,266945051,1,2,1,11744861348,73389,73389,14,14,14,266928667,10,3,348244,1261401,2132107,26650,3490155472,1233360,39654724,2554
186879.76,253952,62,189814,12505725130,37,64663618,528,40,40,5708,145,675,1298371,9,49274,39,81,144535052,1352,1,38,54,14,333,675,44327297,6185298,3708574921,675,480,2,1,14,14,403,1,3707734992,3659484612,121381774,283867947,283867947,1,2,1,12490189668,73389,73389,14,14,14,283867947,10,3,352922,1327853,2211335,28310,3707734992,1298371,42117577,2554
188893.01,253952,62,204360,13464296694,37,67639501,562,43,43,5708,147,675,1413602,9,53351,39,81,144800504,1352,1,38,57,14,333,675,48234635,7240140,3985800823,675,480,2,1,14,14,403,1,3987966928,3939620356,129416151,305656447,305656447,1,2,1,13448162772,73389,73389,14,14,14,305640063,10,3,371134,1445352,2411146,30448,3987966928,1413602,45825244,2554
190897.48,253952,62,216155,14241541046,41,75005519,605,43,43,5708,149,675,1488890,9,56676,39,81,145065956,1352,1,38,57,14,333,675,51115347,7644014,4215807174,675,480,2,1,14,14,403,1,4214983632,4166848325,141353026,323324815,323324815,1,2,1,14226291860,73389,73389,14,14,14,323324815,10,3,373420,1522174,2513663,32180,4214983632,1488890,48603538,2554
192904.00,253952,62,229078,15093240910,41,76614021,629,46,46,5708,151,675,1581555,9,60318,39,81,145596860,1352,1,38,60,14,333,675,54335549,8075036,4464313924,675,480,2,1,14,14,403,1,4463758288,4415848584,146960710,342668225,342684609,1,2,1,15077401900,73389,73389,14,14,14,342668225,10,3,389691,1616718,2643346,34078,4463758288,1581555,51694190,2554
194916.55,253952,62,243617,16050846950,42,80021264,673,47,47,5708,153,675,1702835,9,64388,39,81,145596860,1352,1,38,61,14,333,675,58351949,8946040,4741933876,675,480,2,1,14,14,403,1,4743465936,4695768179,155952270,364444659,364444659,1,2,1,16035564996,73389,73389,14,14,14,364444659,10,3,393916,1740326,2803479,36212,4743465936,1702835,55550597,2554
196922.88,253952,62,257966,16996532054,43,83836996,725,47,47,5708,156,675,1815339,9,68465,39,81,146127764,1352,1,38,61,14,333,675,62405282,9697420,5020349192,675,480,2,1,14,14,403,1,5019765712,4972283187,165122977,385930055,385930055,1,2,1,16980922420,73389,73389,14,14,14,385930055,10,3,401541,1855190,2958649,38320,5019765712,1815339,59448905,2554
198927.97,253952,62,269579,17761848854,45,87334459,755,47,47,5708,158,675,1881040,9,71742,39,81,146658668,1352,1,38,61,14,333,675,65025009,9974100,5245503886,675,480,2,1,14,14,403,1,5243636688,5195924533,171748905,403328087,403328087,1,2,1,17745714932,73389,73389,14,14,14,403311703,10,3,402590,1922363,3023624,40028,5243636688,1881040,62003764,2554
200935.32,253952,62,283541,18681640622,45,88497924,789,49,49,5708,160,675,1985040,9,75660,39,81,146658668,1352,1,38,63,14,333,675,68554345,10399672,5513687755,675,480,2,1,14,14,403,1,5512203216,5464802102,176952947,424219785,424236169,1,2,1,18665670540,73389,73389,14,14,14,424219785,10,3,412152,2028502,3165207,42077,5512203216,1985040,65391666,2554
