timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
659572.52,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0
661577.48,0,0,19024,1252065904,0,0,0,1,1,4261,117,0,576,120372,36,1776,9,0,118681202,1154,1,0,8,15,7,4020,576,0,0,0,1969258,13066,411562382,0,576,361,2,1,14,14,449,1,412778692,369201534,1983425,28161876,28161876,1,2,1,1239122544,73389,73389,14,14,14,28161876,10,1,3,361370,122336,780197,3167,412778692,120372,1189152,1583
663582.18,253952,62,34228,2254327258,16,16761800,43,18,18,4261,119,0,675,210382,36,5414,26,41,140299886,1352,1,0,25,32,7,4291,675,0,0,0,5162331,343942,713361929,0,675,425,2,1,14,14,449,1,713947952,662803101,28071318,50879946,50879946,1,2,1,2238717624,73389,73389,14,14,14,50879946,10,1,3,477922,214160,1088516,5466,713947952,210382,4074017,1851
665588.96,253952,62,46738,3078429850,16,18257987,60,19,19,4261,121,0,675,281153,36,8940,26,41,140565338,1352,1,0,25,33,7,4291,675,0,0,0,8012642,392404,953996625,0,675,425,2,1,14,14,449,1,954596144,903753099,32319550,69596890,69613274,1,2,1,3062263160,73389,73389,14,14,14,69596890,10,1,3,483077,286639,1173647,7302,954596144,281153,6839315,1851
667602.83,253952,62,61390,4043972362,16,21773651,99,21,21,4261,124,0,675,382834,36,13097,26,41,141096242,1352,1,0,25,35,7,4291,675,0,0,0,11996052,1037294,1233317823,0,675,425,2,1,14,14,449,1,1236400944,1185964037,39349301,91557422,91557422,1,2,1,4028526568,73389,73389,14,14,14,91557422,10,1,3,492519,390639,1315392,9452,1236400944,382834,10681123,1851
669609.54,253952,62,76919,5067255398,18,26536919,145,22,22,4261,126,0,675,489895,36,17441,26,41,141361694,1352,1,0,25,36,7,4291,675,0,0,0,16119170,1489763,1534808628,0,675,425,2,1,14,14,449,1,1535507248,1485156461,50728327,114810131,114810131,1,2,1,5051645764,73389,73389,14,14,14,114810131,10,1,3,500315,500204,1468394,11734,1535507248,489895,14651386,1851
671616.67,253952,62,91575,6033060054,19,28965025,182,23,23,4261,129,0,675,595756,36,21605,26,41,141892598,1352,1,0,25,37,7,4291,675,0,0,0,20115602,1891185,1815446565,0,675,425,2,1,14,14,449,1,1817836336,1767462092,57782237,136762471,136762471,1,2,1,6017548724,73389,73389,14,14,14,136762471,10,1,3,507157,608452,1609974,13888,1817836336,595756,18506383,1851
673621.52,253952,62,104901,6911170926,21,32405962,226,24,24,4261,131,0,675,685930,36,25347,26,41,142158050,1352,1,0,25,38,7,4291,675,0,0,0,23502581,2045561,2072211091,0,675,425,2,1,14,14,449,1,2074082096,2024197666,64660038,156703897,156720281,1,2,1,6894971468,73389,73389,14,14,14,156703897,10,1,3,512073,700698,1741989,15843,2074082096,685930,21761478,1851
675630.61,253952,62,116931,7703816238,22,34920056,247,25,25,4261,133,0,675,754798,36,28739,26,41,142423502,1352,1,0,25,39,7,4291,675,0,0,0,26229358,2134883,2305362713,0,675,425,2,1,14,14,449,1,2305817392,2255852132,70169072,174732713,174732713,1,2,1,7688239372,73389,73389,14,14,14,174732713,10,1,3,515417,771186,1816933,17611,2305817392,754798,24413424,1851
677640.48,253952,62,131925,8691772062,22,37221199,287,27,27,4261,135,1,675,864339,36,32941,26,41,142688954,1352,1,0,25,41,7,4291,675,0,0,0,30227769,2434836,2592957526,0,675,425,2,1,14,14,449,1,2594044720,2544683259,76183986,197184765,197184765,1,2,1,8675408764,73389,73389,14,14,14,197168381,10,1,3,521153,883235,1954396,19810,2594044720,864339,28274524,1851
